Topic,Participant ,ln,  ,Translation,Dm/Ds,Comments
,Samantha 2,,Eeeeh (agree) <Swahili> hata kama si zapwani </Swahili> but <Swahili> hizi eeh </Swahili> mostly <Swahili> nitaenda ile ambayo </Swahili> either <Swahili> itatumia Kiswahili ama Kingereza ama </Swahili> maybe <Swahili> niende yenye kama hiyo kama inabroadcast </Swahili> as in <Swahili> inaair vitu zake </Swahili> in Kigiriam <Swahili> ama Kimijikenda kama huko Coast iko sasa </Swahili> maybe….(interrupted) ,Eeeeh (agree) <English> Even if it's not for Pwani </English> but <English> these eeh </English> mostly <English> I will go the one that is </English> either <English> it will use Swahili or English or </English> maybe <English> I go that it broadcast </English> as in <English> it airs it's things </English> in Giriam <English> or Mijikenda like there in Coast there is now </English> maybe….(interrupted) ,,
,Interviwer,,<Swahili> Kwa hivyo wewe ukisikizwa kwa </Swahili> radio <Swahili> ukiongea Kigiriama watu watasema huyu ni mkigiriama kabisa. ,<English> Therefore when you are been listened in </English>  radio <English> when you speak in Girima people will say this is a Giriama.,,
,Samantha 2,,Eeeeh (agree) <Swahili> siwatajuwa wewe ni mgiriama.,Eeeeh (agree) <English> they will know it mgiriama.,,
,Interviwer,,<Swahili> Hawawezi sema haiya huyu hata….(not clear) ,<English> They will not say hey! This even….(not clear) ,,
,Samantha 2,,Aaaah <Swahili> nitaongea Kigiriama </Swahili> only that maybe <Swahili> kuna zileterms kubwa kubwa zenye </Swahili> maybe <Swahili> sijuhi </Swahili> but <Swahili> nitaongea ile Kigiriama </Swahili> normal <Swahili> ile kila mmoja anaelewa na kima mmoja atajua huyu ni mgiriama </Swahili> only that <Swahili> sitakuwa natumia zile </Swahili> terms <Swahili> kubwa kubwa za Kigirima eeh.,Aaaah <English> I will speak in Giriama <English> only that maybe <English> there are those hard hard terms that </English> maybe <English> I don't know </English> but <English> I will speak that Giriama </English> normal <English> that everyone understand and one will know this is a Giriama </English> only that <English> I wont use those hard hard </English> terms eeh.,,
,Interviwer,,Have you ever been on radio.,Have you ever been on radio.,,
,Samantha 2,,Yah (agree) <Swahili> hapa </Swahili> MU FM (Moi University radio) and then <Swahili> huko </Swahili> home <Swahili> pia kuna </Swahili> local radio station <Swahili> fulani nilikuwa huko. ,Yah (agree) <English> here in </English> MU FM (Moi University radio) and then <English> there at </English> home <English> also there is certain </English> local radio station <English> that I was in there. ,,
,Interviwer,,what were you doing.,what were you doing.,,
,Samantha 2,,<Swahili> Hapa kama hapa </Swahili> MU sometimes <Swahili> huwa naenda </Swahili> news <Swahili> huwa naenda </Swahili> news maybe some programs <Swahili> fulani. </Swahili> ,<English> Like here </English> MU sometimes <English> I always go for <English> news <English> I always go for </English> news maybe some certain programs. ,,
,Interviwer,,In which language.,In which language.,,
,Samantha 2,,Swahili and English.,Swahili and English.,,
,Interviwer,,You can read news in both Swahili and English.,You can read news in both Swahili and English.,,
,Samantha 2,,Yah (agree) I can read Swahili and English.,Yah (agree) I can read Swahili and English.,,
,Interviwer,,When are you reading news next <Swahili>  nisikize.,When are you reading news next <English> so that I can hear.,,
,Samantha 2,,Friday yah <Swahili> nitaenda </Swahili> Friday.,Friday yah <English> I will go there on </English> Friday.,,
,Interviwer,,Is there I can listen to it hear now is it on now <Swahili> ama </Swahili> what time actally. ,Is there I can listen to it hear now is it on now </English> or <English> what time actally.,,
,Samantha 2,,Yah (agree) it's on <Swahili> saa hii huwa </Swahili> week days <Swahili> uko </Swahili> on from Monday to Friday yah.,Yah (agree) it's on <English> now this is always </English> week days <English> there </English> on from Monday to Friday yah.,,
,Interviwer,,Do you still listen to MU FM.,Do you still listen to MU FM.,,
,Samantha 2,,Some do but some <Swahili> huwa wanasema ati inaboeasha huwa hawasikizi wanasema wale ambao wakointrested husikiza sasa kama mimi mwenye nimezoea </Swahili> maybe <Swahili> kwenda huko </Swahili> sometimes <Swahili> utaniona jioni </Swahili> maybe <Swahili> nasikiza nikikuwa kwa </Swahili> room yah.,Some do but some <English> always say that it's boring they don't listen they say those who are intrested listen now like me that I am used </English> maybe <English> going there </English> sometimes <English> you will see me in the evening </English> maybe <English> listening in my </English> room yah. ,,
,Interviwer,,<Swahili> Na unafurahia.</Swahili> But you also think there are a lot to things to be improved.,<English> And are you enjoing. </Swahili> But you also think there are a lot to things to be improved.,,
,Samantha 2,,Yah (agree) there are a lot of things by the way mmh! It has to be improved <Swahili> kwanza </Swahili> by the way it’s just a radio station <Swahili> ya </Swahili> student <Swahili> yenye yani </Swahili> as in <Swahili> ya kuwa ..(interrupted) ,Yah (agree) there are a lot of things by the way mmh! It has to be improved <English> first </English> by the way it’s just a radio station <English> for </English> student <English> that is </English> as in <English> for. ..(interrupted) ,,
,Interviwer,,<Swahili> Hiyo </Swahili> level two <Swahili> ya </Swahili> student <Swahili> ya kuwasaidia kucome-up </Swahili>so for that role you think it’s working well for you to get an exposure how to…(incomplite),<English> That </English> level two <English> for </English> student <English> to help to come-up </English> so for that role you think it’s working well for you to get an exposure how to…(incomplite),,
,Samantha 2,,<Swahili> Kama mimi nilikuwa na shida nikikuja huku yani </Swahili> as in <Swahili> kama in </Swahili> news <Swahili> nitatense kwanza </Swahili> before na sasa hutaona </Swahili> maybe <Swahili> na wezamiss hapa na pale </Swahili> but <Swahili> saa hii nishazoea </Swahili> for the time been.,<English> Like me I use to have problem when I came here as in </English> as in <English> if it's </English> news <English> I will first tense </English> before  and now you will see </English> maybe <English> I can miss here and there </English> but </English> now am used to </English> for the time been.,,
,Interviwer,,<Swahili> Hata </Swahili> radio <Swahili> watu hutense </Swahili> coz I thought <Swahili> unatense mahali unafeel watu wanakuona.,<English> Even </English> radio <English> people tense </English> coz I thought <English> you tense where you feel people are looking at you.,,
,Samantha 2,,"But <Swahili> unajuwa kwamba unasikizwa, kuna watu wanakusikiza </Swahili> so <Swahili> unaweza kutense ukaenda pale utense <Swahili> ama </Swahili> maybe <Swahili> huende hivi </Swahili> studio <Swahili> onaair na uko na watu wengi wamekuzunguka hapo wanakuangalia watakuja kukuona utaair aje ama </Swahili> maybe <Swahili> kuna </Swahili>program <Swahili> fulani inaendelea </Swahili> so maybe <Swahili> kama ni </Swahili> news <Swahili> wanakata </Swahili> then <Swahili> wakimaliza ndio waendele sasa </Swahili> still <Swahili> kutakuwa na watu hapo ndani, </Swahili> and then <Swahili> mwenye </Swahili> maybe <Swahili> atakuwa anakusimamia hapo hata </Swahili> maybe <Swahili> weza kushtuka.","But <English> you know that you are being listened to, there are people listening </English> so <English> you can be tensed when gone there or </English> maybe <English> go like this to </English> studio <English> airing and you are with many people surounding you there looking at you we will come see you while on air </English>  maybe <English> there is certain </English> program <English> in progress </English> so maybe <English> if it's </English> news <English> they want </English> then <English> when they are done is when they can contunue </English> still <English> there will be people inside, </English> and then <English> who  </English> maybe <English> supervising you until </English> maybe <English> you can be scared.",,
,Interviwer,,<Swahili> Sasa <Swahili> if am planning to come to Lamu what will I see in Lamu what is the most striking thing.,<English> Now </English>  if am planning to come to Lamu what will I see in Lamu what is the most striking thing.,,
,Samantha 2,,Lamu <Swahili> sana sana <Swahili> boats (both laughs) that’s the first thing.,Lamu <English> mostly </English> boats (both laughs) that’s the first thing.,,
,Interviwer,,<Swahili> Mimi naongopa maji </Swahili> by the way sana I have a phobia towards… I can't swim.,<English> I fear water </English> by the way sana I have a phobia towards… I can't swim.,,
,Samantha 2,,<Swahili> Maji simbaya.,<English> Water is not bad.,,
,Interviwer,,I am sure <Swahili> wewe </Swahili> you can swim.,I am sure <English> you  </English>  you can swim.,,
,Samantha 2,,I can yah I do swim.,I can yah I do swim.,,
,Interviwer,,So you go to the beach swimming when you are at home.,So you go to the beach swimming when you are at home.,,
,Samantha 2,,<Swahili> Sasa </Swahili> maybe <Swahili> kama ukienda Lamu sasa kitu ya kwanza utaona ni </Swahili> boat <Swahili> juu utafika hapo huwezifika Lamu </Swahili> Island <Swahili> kama haujapanda </Swahili> boat so <Swahili> utapanda </Swahili> boat so <Swahili> utapanda </Swahili> boat <Swahili> ndio ufike lamu </Swahili> Island and the <Swahili> ukifika Lamu </Swahili> Island <Swahili> utaanza kuona watu weusi </Swahili> as in <Swahili> weusi </Swahili> I mean <Swahili> mabui bui watu wengi...(both laugh) ,<English> Now </English>  maybe <English> like you go to Lamu now the first thing to see is </English>  boat <English> because you will get there you cannot get to Lamu </English> Island <English> when you have not board a </English> boat so <English> you will board a </English> boat so <English> you will board a </English>  boat <English> so that you can get to lamu </English> Island and the <English> when you get to Lamu <English> Island <English> you will start to see black people </English> as in <English> black </English> I mean <English> hijab many people...(both laugh) ,,
,Interviwer,,<Swahili> Lakini wewe ni mkristo.,<English> But you are a christian. ,,
,Samantha 2,,Eeeeh (agree) <Swahili> mimi ni mkristo.,Eeeeh (agree) <English> I am a christian.,,
,Interviwer,,<Swahili> Ndio maana hauvai buibui </Swahili> so the majority there are…(interrupted),<English> That's why you don’t wear hijab </English>  so the majority there are…(interrupted),,
,Samantha 2,,<Swahili> Mimi ni mkristo… ni waislamu </Swahili> though <Swahili> utaona sana sana </Swahili> maybe <Swahili> watu wenye wanaishi huko wanakuwa waislamu utakuwa inje hata kama wewe ni </Swahili> tribe <Swahili> ingine simswahili </Swahili> but <Swahili> ukifika kule utakuwa </Swahili> influenced <Swahili> kuna venye hao wanapenda kuinfluence </Swahili> influence <Swahili> watu mbaka utaona umeshakuwa muislamu.,<English> I am a christian...it's muslims </English> though <English> you will see </English> maybe <English> people who live there becomes muslims you will be out even if you are another </English> tribe <English> not a muslim </English> but <English> when you get there you will be </English> influenced <English> there is a way they like to infuence </English> influence <English> people until you become a muslim.,,
,Interviwer,,How dot they do that?,How dot they do that?,,
,Samantha 2,,"Maybe <Swahili> wanakuizia, sana sana </Swahili> maybe as in when maybe <Swahili> watakuita wakwambie hivi na hivi wakuchukuwe mskitini </Swahili> and then <Swahili> wanaanza kuku….(interrupted)",Maybe <English> they shield you mostly </English>  maybe as in when maybe <English> they will call you and tell you this and that they will take you to a mosque </English>  and then <English> they start to….(interrupted),,
,Interviwer,,<Swahili> Wewe ushaenda mskitini?,<English> Have you gone to a mosque.,,
,Samantha 2,,Aaah (disagree) <Swahili> mimi sijawahi ingia mskiti. </Swahili> As in <Swahili> wataanza kukutrite poa.,Aaah (disagree) <English> I have never entered a mosque </English> As in <English> they will start to trite you nicely. ,,
Religion.,Interviwer,,They want to change you to be a muslim.,They want to change you to be a muslim.,,
,Samantha 2,,"<Swahili> Huwa wanapenda kupata ile namba, namba ikuwe kubwa  watakutrite poa kama </Swahili> sister <Swahili> yao nini nini </Swahili> then <Swahili> atakuja atakuambia ""haki siukuetu musilamu sijuhi nini"" </Swahili> then <Swahili> atakuambia vitu mob kuhusu uislamu.","<English> They usually like to get that number, number to be big they will trite you nicely like a </English> sister <English> thier's is what, what  yao nini nini </English> then <English> will come and tell you "" surely can you just be a muslim I don't know what"" </English> then <English> will tell you many things about muslim.",,
,Interviwer,,<Swahili> Na ile Lamu </Swahili> cultural festival have you ever attended.,<English> And the Lamu </English> cultural festival have you ever attended.,,
,Samantha 2,,Eeeeh (agree) have been there <Swahili> kila </Swahili> festival last year but I think...(interrupted) ,Eeeeh (agree) have been there <English> every </English> festival last year but I think...(interrupted) ,,
,Interviwer,,Have always want to come to that festival maybe one day I will come <Swahili> nasikia watu wanafanya </Swahili> racing <Swahili>za punda.,Have always want to come to that festival maybe one day I will come <English> I heard people do donkey </English> racing.,,
,Samantha 2,,<Swahili> Za punda eeeh </Swahili> it's just <Swahili> huwa wanacelebrate </Swahili> culture <Swahili> za Lamu kama sana sana Lamu hakuna </Swahili> means of transport <Swahili> ni Punda.,<English> For donkey eeeh <English> it's just <English> they usually celebrate </English> culture <English> of Lamu mostly Lamu doesn’t have </English> means of transport <English> is donkey. ,,
,Interviwer,,<Swahili> Wewe ushapanda Punda.,<English> Have you ride a  donkey.,,
,Samantha 2,,<Swahili> Nishapanda.,<English> Yes I have.,,
,Interviwer,,<Swahili> Ukienda shambani ama ukinda wapi.,<English> Going to the farm or going where.,,
,Samantha 2,,Aaah (disagree) <Swahili> kama </Swahili> maybe <Swahili> unaenda </Swahili> beach <Swahili> mtu unapata </Swahili> donkey-ride <Swahili> unaridetu hapo.,Aaah (disagree) <English> like </English> maybe <English> you going to the </English> beach <English> somebody gets </Swahili> donkey-ride <Swahili> you just ride there. ,,
,Interviwer,,Donkey <Swahili> unapanda </Swahili> the same donkey itself <Swahili> ama kuna <Swahili> cart.,Donkey <English> you ride </English> the same donkey itself <English>or there is a </English> cart.,,
,Samantha 2,,The donkey itself.,The donkey itself.,,
,Interviwer,,Aaih! (shocked).,Aaih! (shocked).,,
,Samantha 2,,"Eeeh, <Swahili> huwa hawana </Swahili> cart.","Eeeh, <English> they don’t always have </English> cart",,
,Interviwer,,<Swahili> Na wamejuwa </Swahili> the donkeys <Swahili> wanajuwatu.,<English> And they know </English> the donkeys <English> they just know ,,
Lifestyle in Lamu and Culture.,Samantha 2,,Eeeeh (agree) as in <Swahili> ata kuna venye wamelearn </Swahili> languages <Swahili> unamwambiatu na anaujuwatu afanye eeh </Swahili> so <Swahili> unamcontrol kuongea naye na </Swahili> maybe <Swahili> na </Swahili> some signs <Swahili> anajuwatu na Punda wa kule sikama wa huku hawa wa hapa hawawezi pandika (both laugh).,Eeeeh (agree) as in <English> even there is away they have learn </English> languages <English> you just tell it do eeh </English> so <English> you control by talking to it and </English> some signs <English> he/she just know and donkey and donkey for there is not like the one for here they are not rideable (both laugh).,,
,Interviwer,,I think one day I will try it.,I think one day I will try it.,,
,Samantha 2,,<Swahili> Ukuje Lamu utapanda Punda utaona </Swahili>as in <Swahili> Punda </Swahili> maybe <Swahili> atakuwa asharembeswa ukipandatu hivi unaona hushapanda farasi kumbe ni Punda (both laugh).,<English> Come to Lamu ride a donkey you will see </English> as in <English> donkey </English> maybe <English> it will have been decorated when you ride you see you have ride a horse but it's a donkey (both laugh).,,
,Interviwer,,But it's better to <Swahili> panda nini </Swahili> the ...<Swahili> ile ingine inaitwa Camel.,But it's better to <English> ride a donkey the </English> the ...<English> the other one is called Camel. ,,
,Samantha 2,,"Camel, camel <Swahili> pia ziko lamu </Swahili> but <Swahili> kiasi.","Camel, camel <English> are also in Lamu </English> but <English> a few.",,
,Interviwer,,But they are not actually…(interrupted),But they are not actually…(interrupted),,
,Samantha 2,,Eeeeh (agree) <Swahili> siwengi </Swahili> as in <Swahili> utapa wako watu wanafanyiatu biashara utapata </Swahili> maybe <Swahili> umeenda </Swahili> beach <Swahili> umepata au ng'amia tatu na huwa </Swahili> mostly <Swahili> ziko huko ju watu wanataka biashara </Swahili> maybe <Swahili> wakiride mtu wanalipwa </Swahili> so it's just a matter of bussiness. ,Eeeeh (agree) <English> not many </English> as in <English> you will find there are people using it for bussiness </English> maybe <English> you are gone to a </English> beach <English> you find or three Camels and it's </English> mostly <English> there because they want bussiness </English> maybe <English> when they ride a person is paid </English> so it's just a matter of bussiness. ,,
,Interviwer,,Ok thank you for your time.,Ok thank you for your time.,,
,Samantha 2,,"Ok thank you, you are welcome.","Ok thank you, you are welcome.",,
