,,,,,,,,,
Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,,
,,Donna,,"So formal. I'm used to English all through. Yea. In primary we were not allowed to talk any other language eh? Any other language. Just talk English. Only-only Friday. Friday we were allowed to talk Kiswahili starting from <Swahili>hiyo kuimba ya</Swahili> flag, <Swahili>hiyo tunaitaje kwa Kiswahili?</Swahili> Anthem <Swahili>hiyo</Swahili>. So after singing the anthem how do I just start eh <Swahili label='quotation'>""Tafadhali mwalimu?""</Swahili label='quotation'> Apart from Kiswahili lessons is when I'll go and tell the teacher <Swahili label='quotation'>""Habari yako Mwalimu? Ningependa unifanyie hivi na hivi.""</Swahili label='quotation'> How about for the rest? And they are tutoring me also in English. How do I come and start telling you <Swahili label='quotation'>""Tafadhali Mwalimu wa Sayansi, ningependa kukuomba kitabu cha""</Swahili label='quotation'> And then I even put that science text book in Kiswahili now. Yea. So.","So formal. I'm used to English all through. Yea. In primary we were not allowed to talk any other language eh? Any other language. Just talk English. Only-only Friday. Friday we were allowed to talk Kiswahili starting from <English>that singing of the</English> flag, <English>that, what do we call it in Swahili?</English> Anthem <English>that</English>. So after singing the anthem how do I just start eh <English>""Please teacher?""</English> Apart from Kiswahili lessons is when I'll go and tell the teacher <English>""How are you teacher? I would like for you to do this and this for me.""</English> How about for the rest? And they are tutoring me also in English. How do I come and start telling you <English>""Please science teacher, I would like to ask you for the book of""</English> And then I even put that science text book in Kiswahili now. Yea. So.",CS,"SM: Quotation. OLF: ""Please teacher…"", etc. ",,
,,Interviewer,,<Swahili>Ni kwasababu gani mlikuwa mnaambiwa mtumie lugha ya=</Swahili>,<English>For what reason were you all being told to use the language of=</English>,,,,
,,Donna,,<Swahili>Ki-{Kiingereza}?</Swahili>,<English>[English}?</English>,,,,
,,Interviewer,,<Swahili>{Kiingereza} na sio Kiswahili? Ama lugha nyingine.</Swahili>,<English>{English} and not Swahili? Or another language.</English>,,,,
,,Donna,,"It was a school that is ah-that has-that was metropolitan. We have Kisiis, we have Luos, we have Taitas, we have all kinds of those. You are hungry. (she giggles) We have-we have all those kinds of people so <Swahili>hakuna venye</Swahili>-you will start alienating others. I might talk in-if they allow you-and then they were also trying to promote the-the use of English language. Yea. If you want to talk proper English you keep practicing it. So to avoid aah-all those meanderings and to avoid eh-a case scenario whereby your English will not be so good they tell you to speak in English. So they promote, they try to enrich your vocabulary. By the way we are forced to speak not-let me not say forced. If you are required to speak in English, something that I do not have a vocabulary for, if I do not say-if I do not know how to, it requires for something. <Swahili>Nitafanya bidii nijue kuulizia hiyo kitu kwa</Swahili> English, <Swahili>si ndio.</Swahili> So it will make you learn English more. ","It was a school that is ah-that has-that was metropolitan. We have Kisiis, we have Luos, we have Taitas, we have all kinds of those. You are hungry. (she giggles) We have-we have all those kinds of people so <English>there's no that</English>-you will start alienating others. I might talk in-if they allow you-and then they were also trying to promote the-the use of English language. Yea. If you want to talk proper English you keep practicing it. So to avoid aah-all those meanderings and to avoid eh-a case scenario whereby your English will not be so good they tell you to speak in English. So they promote, they try to enrich your vocabulary. By the way we are forced to speak not-let me not say forced. If you are required to speak in English, something that I do not have a vocabulary for, if I do not say-if I do not know how to, it requires for something. <English>I will do my best to know how to ask for that thing in,</English> English, <English>Not so?</English> So it will make you learn English more. ",CS,Unmarked.,,
,,Interviewer,00:43:42mins,Okay. <Swahili>Sawa</Swahili>. The fact that you-you need to use the language will force you to learn the language. Now you talk of more time for English for perfection of English. Don't you think that in giving more time to English you are killing other languages?,Okay. <Swahili>Okay</English>. The fact that you-you need to use the language will force you to learn the language. Now you talk of more time for English for perfection of English. Don't you think that in giving more time to English you are killing other languages?,,,,
,,Donna,,"Not really. Look here, mm? My Kipsigis is still good despite the fact that I'm speaking English the whole time. Whatever you have grasped-I know there is this thing that we were told in-in Social Linguistics. [uncertain transcription]. There's a certain age whereby you acquire language. So if I acquired Kipsigis at an earlier age and Kiswahili and English at the same time, it will not disappear. Yea, so there's no way I will kill those other languages, I just-I'll just have-(she laughs) you're hungry. By the way I'm seeing a bottle of wine over there, the next time you should be having such interviews there should be tea. So there's no way you will kill those other languages. There's a certain age to where you will know the language. You will acquire the vocabulary for the language. So those other years it will just be adding the vocabulary. How there is the main stream eh? How to construct a sentence and MAJOR things that have been around you, the naming, <Swahili>zakuname, za kurequest, za kuinquire</Swahili>, you'll know them. So how else will you be killing it? Or maybe you are killing Kiswahili on the other hand. Look now my Kiswahili is lame, then English because I've been using English more. But I don't know why for the mother tongue it is still good. I'll still know it. Yea. So=","Not really. Look here, mm? My Kipsigis is still good despite the fact that I'm speaking English the whole time. Whatever you have grasped-I know there is this thing that we were told in-in Social Linguistics. [uncertain transcription]. There's a certain age whereby you acquire language. So if I acquired Kipsigis at an earlier age and Kiswahili and English at the same time, it will not disappear. Yea, so there's no way I will kill those other languages, I just-I'll just have-(she laughs) you're hungry. By the way I'm seeing a bottle of wine over there, the next time you should be having such interviews there should be tea. So there's no way you will kill those other languages. There's a certain age to where you will know the language. You will acquire the vocabulary for the language. So those other years it will just be adding the vocabulary. How there is the main stream eh? How to construct a sentence and MAJOR things that have been around you, the naming, <English>of to name,of to request, of to inquire</English>, you'll know them. So how else will you be killing it? Or maybe you are killing Kiswahili on the other hand. Look now my Kiswahili is lame, then English because I've been using English more. But I don't know why for the mother tongue it is still good. I'll still know it. Yea. So=",CS,Unmarked.,,
,,Interviewer,,So your {Kiswahili} has been affected by=,So your {Kiswahili} has been affected by=,,,,
,,Donna,,{And then}. ,{And then}. ,,,,
,,Interviewer,,Your use of English.,Your use of English.,,,,
,,Donna,,Yes my Kiswahili has been affected by my use of English.,Yes my Kiswahili has been affected by my use of English.,,,,
,,Interviewer,,But not your mother tongue.,But not your mother tongue.,,,,
,,Donna,,"But not my mother tongue. And then Kiswahili is funny. It's been changing. Like you-when you were learning probably there's this-<Swahili label='exemplification'>zilikuwa zinaitwaje? Iya, awa, muwa, kivi</Swahili label='exemplification'>?","But not my mother tongue. And then Kiswahili is funny. It's been changing. Like you-when you were learning probably there's this-<English>what were they called? Iya, awa, muwa, kivi</English>?",CS,SM: Exemplification.,,
,,Interviewer,,<Swahili>Ngeli.</Swahili>,<English>Noun classi.</English>,,,,
,,Donna,,"<Swahili>Ngeli! Ngeli zimeshinda zikibadilika</Swahili>. In my case it was ""muwa""-no, in your case it was ""muwa"". In my case I came to a point whereby they were telling me it's ""awa"". So you see it's been changing. The structure, the systems, they've been improving it. I don't know if it's improving it or just making alterations here and there. But for Kipsigis, ""kongoi"" has remained ""kongoi"". There's no additions to it. Yea.","<English>Noun class! Noun classes fail me when they change</English>. In my case it was ""muwa""-no, in your case it was ""muwa"". In my case I came to a point whereby they were telling me it's ""awa"". So you see it's been changing. The structure, the systems, they've been improving it. I don't know if it's improving it or just making alterations here and there. But for Kipsigis, ""kongoi"" has remained ""kongoi"". There's no additions to it. Yea.",CS,Unmarked.,,
,,Interviewer,,And English?,And English?,,,,
,,Donna,,English ehh? There are additions to it. There are alterations to it. But since we've been using it all along and we are always constantly using it we will keep up with the trend.,English ehh? There are additions to it. There are alterations to it. But since we've been using it all along and we are always constantly using it we will keep up with the trend.,,,,
,Topics Spoken Amongst Your Friends,Interviewer,00:46:42mins,"Good. And quite interesting. Now, let's-let's talk about you and your friends nowadays. What would you normally talk about?","Good. And quite interesting. Now, let's-let's talk about you and your friends nowadays. What would you normally talk about?",,,,
,,Donna,,"What we talk about? The [uncertain transcription], like-okay it depends on the kind of friend-friends. As for me I divide my friends into categories. There are those primary friends. Primary friends not primary ile ya primary shule. Primary the term, primary itself means something that is closer, first. So my primary friends are those who are close to me. My secondary friends are those one who are friends of my friends. See these my friends now they might be having friends. So I can know those other people through them. Those would be my secondary friends. Then these secondary friends they might be having their friends. I'll call them tertiary friends. And I am sure everyone else does that only that maybe they don't know the term to divide their friends into. So my primary friends we'll talk about everything. Not, of course, the weather. The weather is borin-a boring subject.","What we talk about? The [uncertain transcription], like-okay it depends on the kind of friend-friends. As for me I divide my friends into categories. There are those primary friends. Primary friends not primary ile ya primary shule. Primary the term, primary itself means something that is closer, first. So my primary friends are those who are close to me. My secondary friends are those one who are friends of my friends. See these my friends now they might be having friends. So I can know those other people through them. Those would be my secondary friends. Then these secondary friends they might be having their friends. I'll call them tertiary friends. And I am sure everyone else does that only that maybe they don't know the term to divide their friends into. So my primary friends we'll talk about everything. Not, of course, the weather. The weather is borin-a boring subject.",,,,
,,Interviewer,,For your close friends.,For your close friends.,,,,
,,Donna,,"Yea, for my close friends.  And then, under those close friends it depends. If it's male we'll talk about something different. If it's women, we will talk about men, boys, mm. Yes.","Yea, for my close friends.  And then, under those close friends it depends. If it's male we'll talk about something different. If it's women, we will talk about men, boys, mm. Yes.",,,,
,,Interviewer,,But you don't talk-you don't talk about boys when you're with men?,But you don't talk-you don't talk about boys when you're with men?,,,,
,,Donna,,"Do I talk about boys when I'm with men? It depends if I'm with the boys or I'm with men. You know boys <Swahili>haimaanishi</Swahili> you are young. They are men who still behave like boys and I'll just call you a boy cuz you're behaving like a boy (she laughs). <Swahili>Haitegemei</Swahili> age. Yea, there are people who are twenty seven and they're behaving like they just turned nineteen. How will you expect me to=","Do I talk about boys when I'm with men? It depends if I'm with the boys or I'm with men. You know boys <English>it doesn't mean</English> you are young. They are men who still behave like boys and I'll just call you a boy cuz you're behaving like a boy (she laughs). <English>It doesn't depend on</English> age. Yea, there are people who are twenty seven and they're behaving like they just turned nineteen. How will you expect me to=",CS,Unmarked.,,
,,Interviewer,,You mean-okay in how they talk?,You mean-okay in how they talk?,,,,
,,Donna,,"Maturity yea. The level of maturity. Whatever even they will say. There are some things I will just not accept you to tell me. Or you might tell me and I'm thinking ""Mm, did you really think well before you told me that?"" Yea. And for my closest friend, mm? We talk about everything now. Everything. ","Maturity yea. The level of maturity. Whatever even they will say. There are some things I will just not accept you to tell me. Or you might tell me and I'm thinking ""Mm, did you really think well before you told me that?"" Yea. And for my closest friend, mm? We talk about everything now. Everything. ",,,,
,,Interviewer,,And you mean everything.,And you mean everything.,,,,
,,Donna,,And I mean everything. (she laughs),And I mean everything. (she laughs),,,,
,,Interviewer,,What in this case-,What in this case-,,,,
,,Donna,,Is everything?,Is everything?,,,,
,,Interviewer,,Is everything?,Is everything?,,,,
,,Donna,,"Mm. It could be men, classwork, mm? Life, job, work, your situations, the future. Yea. Or even hair. Hairstyles. Beauty, yes. Fashion. I love fashion by the way. (she laughs) And I love beauty stuff so I'll find myself once in a while talking about it. But you will not find me talking-but sometimes I do have etu-educational topics. I'll almost said ""etucational"". Yea, but you will not find me talking I don't know-these scores' analysis. This=","Mm. It could be men, classwork, mm? Life, job, work, your situations, the future. Yea. Or even hair. Hairstyles. Beauty, yes. Fashion. I love fashion by the way. (she laughs) And I love beauty stuff so I'll find myself once in a while talking about it. But you will not find me talking-but sometimes I do have etu-educational topics. I'll almost said ""etucational"". Yea, but you will not find me talking I don't know-these scores' analysis. This=",,,,
,,Interviewer,,When you're with friends.,When you're with friends.,,,,
,,Donna,,Yea.,Yea.,,,,
,,Interviewer,,I mean your close-your close friends.,I mean your close-your close friends.,,,,
,,Donna,,Yea. Mm. So we talk about everything ranging from nothing to everything.,Yea. Mm. So we talk about everything ranging from nothing to everything.,,,,
,,Interviewer,00:50:12mins,Okay. How about your-your talked about secondary friends?,Okay. How about your-your talked about secondary friends?,,,,
,,Donna,,"Tertiary friends. (smiling) And where do you place yourself by the way on this list, are you my friend first of all? ","Tertiary friends. (smiling) And where do you place yourself by the way on this list, are you my friend first of all? ",,,Donna either flirts or gets personal in what she otherwise termed a formal situation. Perhaps they know each other from before. Whatever the case this is an instance of 'power/style shift' because Donna is in a sense taking over the interview and changing the power dynamics.,
,,Interviewer,,You have the answer (he laughs),You have the answer (he laughs),,,,
,,Donna,,I don't know.,I don't know.,,,,
,,Interviewer,,I don't need to=,I don't need to=,,,,
,,Donna,,I don't need to?,I don't need to?,,,,
,,Interviewer,,I've yet to find out.,I've yet to find out.,,,,
,,Donna,,"You're yet to find out?  Now these secondary friends we don’t share. You know, communication also it depends on, em, frequency with which you talk with somebody. If we talk more often, we'll have more often things-we'll-we'll more often have things to talk about. If we talk once a week-I meet you next week so I'll just greet you and probably talk about a boring subject like the weather. ","You're yet to find out?  Now these secondary friends we don’t share. You know, communication also it depends on, em, frequency with which you talk with somebody. If we talk more often, we'll have more often things-we'll-we'll more often have things to talk about. If we talk once a week-I meet you next week so I'll just greet you and probably talk about a boring subject like the weather. ",,,,
,,Interviewer,,Okay.,Okay.,,,,
,,Donna,,"Yea, something we can share in common. Cuz you might not know what I-I've experienced the past week I might not have told you this. I might not have told you what I do. You will have no idea what I do. So we just talk about boring subjects like ""Ah, it's raining and it's been raining!"" And then you expa:nd that topic.","Yea, something we can share in common. Cuz you might not know what I-I've experienced the past week I might not have told you this. I might not have told you what I do. You will have no idea what I do. So we just talk about boring subjects like ""Ah, it's raining and it's been raining!"" And then you expa:nd that topic.",,,,
,,Interviewer,,And-and what's the danger of-of um talking the same topic that you talk with your close friends with your secondary friends?,And-and what's the danger of-of um talking the same topic that you talk with your close friends with your secondary friends?,,,,
,,Donna,,"What is the danger? There might go and tell it out. How do I just start telling you about my personal when I-we've not been talking. Yea it doesn't happen. It doesn't occur to me. Mm. So I just cannot start telling them ""So this happened to me"" and maybe that time I'm even sobbing or [uncertain transcription]. Yea.  So you don't tell everybody everything.","What is the danger? There might go and tell it out. How do I just start telling you about my personal when I-we've not been talking. Yea it doesn't happen. It doesn't occur to me. Mm. So I just cannot start telling them ""So this happened to me"" and maybe that time I'm even sobbing or [uncertain transcription]. Yea.  So you don't tell everybody everything.",,,,
,,Interviewer,,Your tertiary friends.,Your tertiary friends.,,,,
,,Donna,,(laughs) My tertiary friends. Oh by the way if I am talking too much just tell me to kind of do this (she laughs). Am I?,(laughs) My tertiary friends. Oh by the way if I am talking too much just tell me to kind of do this (she laughs). Am I?,,"SM: High Power. OLF: ""Oh by the way…""Donna once again takes over the interview by dictating rules to the interviewer. He ignores her and sticks to his question. This is a style shift. An unexpected turn of events.",,
,,Interviewer,,Your tertiary friends.,Your tertiary friends.,,,,
,,Donna,,"Mm, tertiary. That list is long, mm hmm.","Mm, tertiary. That list is long, mm hmm.",,,,
,,Interviewer,,{And I guess} I fall there.,{And I guess} I fall there.,,"SM: Low Power. OLF: Interviewer is bringing himself down to the level of Donna by now engaging her in personal, perhaps flirtatious talk about where he falls in her friendship ranking system. Even his voice lowers and gets softer. Less professional, more friendly. This is a style shift. An unexpected turn of events.",,
,,Donna,,{Those ones} You fall there?,{Those ones} You fall there?,,,,
,,Interviewer,,I am not so sure. You-you are yet to tell me before the end of this interview.,I am not so sure. You-you are yet to tell me before the end of this interview.,,,,
,,Donna,,"Eh, this-eeh-discussion.  Where do you want to place yourself?","Eh, this-eeh-discussion.  Where do you want to place yourself?",,,,
,,Interviewer,,The kitchen cabinet.,The kitchen cabinet.,,,,
,,Donna,,(She laughs) Which is?,(She laughs) Which is?,,,"Judging from her laughter rising, I assume he motioned something to her in response to this question before responding with words.",
,,Interviewer,,(pause before response) Your closest friend.,(pause before response) Your closest friend.,,,,
,,Donna,,Then if you want to come there then work towards it.,Then if you want to come there then work towards it.,,,,
,,Interviewer,,That means I am not there already?,That means I am not there already?,,,,
,,Donna,,"You are not there. (both laugh) But was this sort of eh? Yea, maybe I'm just saying it to=","You are not there. (both laugh) But was this sort of eh? Yea, maybe I'm just saying it to=",,,,
,,Interviewer,,Talk about your tertiary friends please.,Talk about your tertiary friends please.,,,Interviewer resumes professional tone. ,
,,Donna,,My tertiary friends. They are friends of friends of friends. Mm? Those ones-oh God-<Swahili>hiyo sasa itakuwa tu salamu</Swahili> once in a while or you just pass them also. ,My tertiary friends. They are friends of friends of friends. Mm? Those ones-oh God-<English>that one now will just be greetings</English> once in a while or you just pass them also. ,CS,Unmarked.,,
,,Interviewer,,Mm hmm. So=,Mm hmm. So=,,,,
,,Donna,,"<Swahili>Ila tu</Swahili> once in a while. Maybe: we come from the same university and I've seen you somewhere in Kericho. So I'll tend to say hi. And start-start talking things about MOI University cuz we've once shared that. But if we're here within campus, [uncertain transcription] we might even just wave and never say anything or just ""Hi!"". <Swahili>Hata inakuwa ya kufakisha (to fake it)</Swahili>. It might be ""Hi!"" and you just smile and maybe you're {even moody}=","<English>But just</English> once in a while. Maybe: we come from the same university and I've seen you somewhere in Kericho. So I'll tend to say hi. And start-start talking things about MOI University cuz we've once shared that. But if we're here within campus, [uncertain transcription] we might even just wave and never say anything or just ""Hi!"". <English>It even becomes one of faking</English>. It might be ""Hi!"" and you just smile and maybe you're {even moody}=",CS,Unmarked.,,
,,Interviewer,,{You're on a move.},{You're on a move.},,,,
,,Donna,,"That day, yea. Mm. So those are the tertiary friends. There's really nothing much to share about. And then, in life were we talking about life stories here? Mm. In life you don't aah-you don't have a-you don't have so many friend. Okay it's good to have many friends but not-they will-they will also eat your time, mm. Because I believe in-in really investing in friendship. So if you're my friend I will make sure that I invest in that kind of friendship. Ile tu it's transparent and mutual kind of friendship. And then, those other friends, those many, many friends I may not have time for you and as a friend I don't even know if you'll still call me a friend. So if you have a few within your circle, then within the outer circle you can now have those many people whom they will not care. These ones outside the circle, mm, <Swahili>unataka kuniambia nikigonjeka</Swahili> they will come and bring me porridge and fruits or whatever <Swahili>huko kwa</Swahili> dispensary? No, it's just those close friends.","That day, yea. Mm. So those are the tertiary friends. There's really nothing much to share about. And then, in life were we talking about life stories here? Mm. In life you don't aah-you don't have a-you don't have so many friend. Okay it's good to have many friends but not-they will-they will also eat your time, mm. Because I believe in-in really investing in friendship. So if you're my friend I will make sure that I invest in that kind of friendship. Ile tu it's transparent and mutual kind of friendship. And then, those other friends, those many, many friends I may not have time for you and as a friend I don't even know if you'll still call me a friend. So if you have a few within your circle, then within the outer circle you can now have those many people whom they will not care. These ones outside the circle, mm, <English>you want to tell me if I get sick</English> they will come and bring me porridge and fruits or whatever <English>there from the</English> dispensary? No, it's just those close friends.",CS,Unmarked.,,
,,Interviewer,00:55:04mins,"Now, the point was what do we-do you talk about with these close friends maybe?","Now, the point was what do we-do you talk about with these close friends maybe?",,,,
,,Donna,,"Mm. What do we talk about? Eeh, I said from nothing to everything. Ranging from nothing to everything. Somethings you can just be with your friend and you know there are those coded words or languages or something you've-when you'll tend to stay with somebody longer you'll tend to have-find humor in the same kind of things. So she or he might see something funny and I also see it. And we laugh. See, we didn't talk about anything but we-the fact that we've seen that, we laugh. So we would communicated there. So that is nothing to me. Then from-to everything. Now those are the things even the bulbs, even te-something we see on television, a class that you've just had, lecturers, people like you we also talk about people like you. Yea, even clothes fashion everything.","Mm. What do we talk about? Eeh, I said from nothing to everything. Ranging from nothing to everything. Somethings you can just be with your friend and you know there are those coded words or languages or something you've-when you'll tend to stay with somebody longer you'll tend to have-find humor in the same kind of things. So she or he might see something funny and I also see it. And we laugh. See, we didn't talk about anything but we-the fact that we've seen that, we laugh. So we would communicated there. So that is nothing to me. Then from-to everything. Now those are the things even the bulbs, even te-something we see on television, a class that you've just had, lecturers, people like you we also talk about people like you. Yea, even clothes fashion everything.",,"SM: Power. OLF: ""...people like you…"" When Donna says that she and her friends talk about people like the interviewer, from here on the interview changes significantly from being professional to personal. ",,
,,Interviewer,,You mean-when you talk about people like me you mean men?,You mean-when you talk about people like me you mean men?,,,,
,,Donna,,Yes (both laugh). I mean men yes.,Yes (both laugh). I mean men yes.,,,,
,,Interviewer,,Okay. Interesting. . ,Okay. Interesting. . ,,,,
,,Donna,,Oh God.,Oh God.,,,,
,,Interviewer,,I should know what you talk about. Especially when you talk about men. What do you normally talk about?,I should know what you talk about. Especially when you talk about men. What do you normally talk about?,,,,
,,Donna,,"What do we talk about? Oh God. We are now getting personal in this kind of interview. When we talk about eeh-men. If they are good looking or not. Or if they are good looking-they are not good looking and they have other skills. By the way <Swahili>naku</Swahili>-let me now tell you heh, on a personal point of view cuz I see we are headed there. Mm, what somebody has to offer me is what I will see. Okay sometimes you look at the physical but there are-there's more to that. <Swahili label='emphasis'>Huwezi ukakula sura</Swahili label='emphasis'> (she laughs). They say that or rather I say that. So sometimes somebody is just intelligent and you could be liking that aspect of him. Intelligence in the person. Sometimes somebody could just be modest, see? Generous and I do not mean generous in that they give out handouts. They are generous in whatever it is. Somebody can just be known, they have a good heart. They are good. Or rather they can have a straight conversation. You know they are people you can sit with them and you have nothing to talk about so why would you entertain that.  So yea. Those ones.","What do we talk about? Oh God. We are now getting personal in this kind of interview. When we talk about eeh-men. If they are good looking or not. Or if they are good looking-they are not good looking and they have other skills. By the way <English>I am</English>-let me now tell you heh, on a personal point of view cuz I see we are headed there. Mm, what somebody has to offer me is what I will see. Okay sometimes you look at the physical but there are-there's more to that. <English>You can't eat a face</English> (she laughs). They say that or rather I say that. So sometimes somebody is just intelligent and you could be liking that aspect of him. Intelligence in the person. Sometimes somebody could just be modest, see? Generous and I do not mean generous in that they give out handouts. They are generous in whatever it is. Somebody can just be known, they have a good heart. They are good. Or rather they can have a straight conversation. You know they are people you can sit with them and you have nothing to talk about so why would you entertain that.  So yea. Those ones.",CS,"SM: Emphasis. OFL: ""Huwezi ukakula sura""/you can't eat a face. She uses Swahili phrase to emphacize her stance on the futility of choosing a partner solely on the basis of physical appearance.",,
,,Interviewer,,That's what you talk about.,That's what you talk about.,,,,
,,Donna,,Mm. ,Mm. ,,,,
,,Interviewer,,That's great.,That's great.,,,,
,,Donna,,Mm hmm. More questions? (she laughs),Mm hmm. More questions? (she laughs),,,,
,,Interviewer,,What do you want to ask me maybe?,What do you want to ask me maybe?,,Power shift. Interviewer is willingly giving up his power.,,
,,Donna,,Although what I want to ask you? We are still recording? (she laughs),Although what I want to ask you? We are still recording? (she laughs),,,,
,,Interviewer,,Just ask. ,Just ask. ,,,,
,,Donna,,I ask you a question?,I ask you a question?,,,,
,,Interviewer,,"What can you, ask about?","What can you, ask about?",,,,
,,Donna,,"Now, those questions that you were asking me, the one-especially ""What do you normally talk about with your friends?""  I will not ask you that kind of language you are using but what do you normally talk about with your friends?","Now, those questions that you were asking me, the one-especially ""What do you normally talk about with your friends?""  I will not ask you that kind of language you are using but what do you normally talk about with your friends?",,,,
,,Interviewer,,"My friends depending on the kind of friends. We talk about life issues, we talk about academics, financial management, and all that.","My friends depending on the kind of friends. We talk about life issues, we talk about academics, financial management, and all that.",,,The power shift continues. Interviewers voice is very soft as he responds to her question. She reciprocates with a softer voice as well.,
,,Donna,,"Financial management, interesting. Mm. You even categorized it. Maybe I also talk about it but I've never put it in the category of financial management so that's a new aspect to learn. Mm. ","Financial management, interesting. Mm. You even categorized it. Maybe I also talk about it but I've never put it in the category of financial management so that's a new aspect to learn. Mm. ",,,,
,,Interviewer,,"So, it's been very nice and-it has been nice talking to you. Be sure that the kind of information you have given to me will go a long way to meet the objectives of this=","So, it's been very nice and-it has been nice talking to you. Be sure that the kind of information you have given to me will go a long way to meet the objectives of this=",,,,
,,Donna,,Study.,Study.,,,,
,,Interviewer,,Study. Research.  Thanks so much.,Study. Research.  Thanks so much.,,,,
,,Donna,,You're welcome.,You're welcome.,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
