Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,Monica's Comments,,,,,
,,Ronald,,"Ee.  <Swahili>Unajua Kibera kuna</Swahili> hardships.  <Swahili>Sa' nadhani Sheng itatokana huko ni Sheng ina- inahusiana na</Swahili> the environment that you are in.  <Swahili>Sa' kama tu niko</Swahili> around ah- I’m around <Swahili>uchafu</Swahili> (interviewer chuckles), around <Swahili>vitu za ku</Swahili> hustle, <Swahili>hizo matatus</Swahili>, eh, buildings <Swahili>tu ile</Swahili> - the shanties.  <Swahili>Siwezi toa</Swahili> the same, same Sheng <Swahili>kama naishi</Swahili> somewhere in West Lands <Swahili>ni</Swahili> it'll be totally different.  ","Ee.  <English>You know Kibera there are</English> hardships.  <English>Now I think Sheng that will come from there is a Sheng it has-it has to do with</English> the environment that you are in.  <English>Sow if I'm only</English> around ah- I’m around <English>squalor</English> (interviewer chuckles), around <English>things of to</English> hustle, <English>those street buses</English>, eh, buildings <English>just that</English> - the shanties.  <English>I can't come out with</English> the same, same Sheng <English>like if I live</English> somewhere in West Lands <English>it's</English> it'll be totally different.  ",CS,,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,Ronald,,Mhh.  So I think <Swahili>ina</Swahili> depend <Swahili>na</Swahili> the environment [uncertain transcription] <Swahili>pia</Swahili>.,Mhh.  So I think <English>it</English> depend[s] <English>with</English> the environment [uncertain transcription] <English>too</English>.,CS,,,,,,,
,,Interviewer,0:32:02,"Mhh. Okay.  And what does that tell you about the nature of language because that is language.  <Swahili>Unaona</Swahili>- in fact, eh, those who have studied a bit of Sheng, they say, <Swahili>Sheng kuna</Swahili> some bit of Kikuyu, some bit of Luo just as you have said, and then <Swahili>wame</Swahili> mix <Swahili>tu Kiswahili</Swahili> somewhere <Swahili>huku na huku</Swahili> sometimes in <Swahili>hata inatoa</Swahili> English [uncertain transcription] .  It's like it's a combination of a number of languages.  What does that tell you about language?","Mhh. Okay.  And what does that tell you about the nature of language because that is language.  <English>You see</English>- in fact, eh, those who have studied a bit of Sheng, they say, <English>Sheng there is</English> some bit of Kikuyu, some bit of Luo just as you have said, and then <English>they have</English> mix[ed] <English>just Swahili</English> somewhere <English>here and here</English> sometimes in <English>it even uses</English> English [uncertain transcription] .  It's like it's a combination of a number of languages.  What does that tell you about language?",CS,,,,,,,
,,Ronald,,"Yeah, yeah.  Really, really, if people can have uh, Kikuyu words, mix them with English, have words from Luo and mix them with Swahili with English, then form another language called Sheng, that it means language is something that is evolving.  You can form as many, uh, as many, uhm, what can I call them (chuckles).  <Swahili>Yaani unaweza</Swahili> form language <Swahili>zingine</Swahili> from another language.  Through borrowing and also forming other new words.","Yeah, yeah.  Really, really, if people can have uh, Kikuyu words, mix them with English, have words from Luo and mix them with Swahili with English, then form another language called Sheng, that it means language is something that is evolving.  You can form as many, uh, as many, uhm, what can I call them (chuckles).  <English>I mean you can</English> form language <English>others</English> from another language.  Through borrowing and also forming other new words.",CS,,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"Yeah, you are right.  And also I think it's also about eh- because <Swahili>ukiongaleta</Swahili> in some of this Sheng words, <Swahili>ni majina tu tulikuwa nazo</Swahili>, but <Swahili>wamepizatia</Swahili> new meaning.  As in- old words=","Yeah, you are right.  And also I think it's also about eh- because <English>ukiongaleta</English> in some of this Sheng words, <English>they are just names that we had</English>, but <English>they found for them</English> new meaning.  As in- old words=",CS,,,,,,,
,,Ronald,,<Swahili>Wana</Swahili> change new meaning.,<English>They</English> change new meaning.,CS,Unmarked.,,,,,,
,,Interviewer,,new meanings.  ,new meanings.  ,,,,,,,,
,,Ronald,,<Swahili>Wana</Swahili> change meaning.,<English>They</English> change meaning.,CS,Unmarked.,,,,,,
,,Interviewer,,"Mhh.  'Cause <Swahili>kama kitambo ningekuambia</Swahili>- Okay- Some, some, some words are so- <Swahili>hazina heshima</Swahili> they say.  <Swahili>Mtu akisema</Swahili>, ""Ass,"" long time ago, ","Mhh.  'Cause <English>if a while ago I told you</English>- Okay- Some, some, some words are so- <English>they don't have respect</English> they say.  <English>If a person says</English>, ""Ass,"" long time ago, ",CS,Unmarked.,,,,,,
,,Ronald,,long time ago.,long time ago.,,,,,,,,
,,Interviewer,0:33:30,"<Swahili>kuna kitu ilikua inakuja kwa akili yako</Swahili>.  But [uncertain transcription]  <Swahili>mtu akisema</Swahili>, ""Ass, "" eh! Heh! (Sighs) They- it has a new meaning, it was an old word, but it has a new word- a new meaning.  <Swahili>Mtu akisema</Swahili>, ""John.""  John was a name, but there is a way=","<English>there was something that came to your brain</English>.  But [uncertain transcription]  <English>if a person says</English>, ""Ass, "" eh! Heh! (Sighs) They- it has a new meaning, it was an old word, but it has a new word- a new meaning.  <English>If a person says</English>, ""John.""  John was a name, but there is a way=",CS,Unmarked.,"Ronald says some ""mhhs"", ""aahs"" or ""yeahs""  throughout to interviewer's question to indicate that he is listening.",,,,,
,,Ronald,,[Uncertain transcription] connotation.,[Uncertain transcription] connotation.,,,,,,,,
,,Interviewer,,"<Swahili>Kuna</Swahili> connotation <Swahili>yake</Swahili>.  Mhh.  So, yeah, just as you said, language evolving so that <Swahili>tunapata</Swahili> new words combination of those the languages, <Swahili>ama, zile zenye ziko tunazipatia</Swahili> new meaning.","<English>There is</English> connotation <English>of it</English>.  Mhh.  So, yeah, just as you said, language evolving so that <English>we find</English> new words combination of those the languages, <English>or, those that we find for them</English> new meaning.",CS,Unmarked.,,,,,,
,,Ronald,,New meaning.  ,New meaning.  ,,,,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,Ronald,,"<Swahili>Hata</Swahili> according to technological changes <Swahili>ama</Swahili> advancements, <Swahili>tumeona vile</Swahili> mobile phones <Swahili>imeingia</Swahili>.  There are words <Swahili>zimekuwa</Swahili> formed and are now used commonly.  <Swahili>Zimekuwa hata</Swahili> household names, <Swahili>zingine- inakosa tu kuingia kwa</Swahili> dictionary, <Swahili label='quotation'>kamusi.  Inatumika unaona tu, kama ukisema, ""Bamba.""  Bamba</Swahili label='quotation'> is now a scratch card; <Swahili>nisaidie</Swahili> bamba five, bamba twenty, bamba fifty.  But bamba initially, if you look at the, eh, <Swahili>Kiswahili sanifu</Swahili>, meaning of bamba.  It's totally different from the meaning that it now has.  So I think also in future, as technology continues to change, new words will be according more than one meaning.","<English>Even</English> according to technological changes <English>or</English> advancements, <English>we have seen that</English> mobile phones <English>have come in</English>.  There are words <English>that have been</English> formed and are now used commonly.  <English>They have even become</English> household names, <English>others-it is just missing getting into the</English> dictionary, <English>dictionay.  It is used you just see, like if you say, ""Bamba"". Bamba</English> is now a scratch card; <English>help me with</English> bamba five, bamba twenty, bamba fifty.  But bamba initially, if you look at the, eh, <English>standard Swahili</English>, meaning of bamba.  It's totally different from the meaning that it now has.  So I think also in future, as technology continues to change, new words will be according more than one meaning.",CS,SM: Quotation.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"Yeah.  Now earlier you said language identifies you.  Like, <Swahili>kasasa ulisema kama ni Kipsigis ni ku</Swahili> identify <Swahili>na wakipsigis</Swahili>.  Do you think <Swahili>hii</Swahili> story <Swahili>ya</Swahili> language and the culture thing <Swahili label='high solidarity'>ndio imetuletea</Swahili label='high solidarity'> this new things like lesbianism and homosexuality?  Now that- those things <Swahili>ni zilitoka</Swahili> West.  <Swahili>Ukiangalia</Swahili> traditionally, <Swahili>hakukuwa na vitu kama hivyo</Swahili>.","Yeah.  Now earlier you said language identifies you.  Like, <English>now you said that Kipsigis is to</English> identify <English>with Kipsigis people</English>.  Do you think <English>this</English> story <English>of</English> language and the culture thing <English>is what has brought us</English> this new things like lesbianism and homosexuality?  Now that- those things <English>are they came from the</English> West.  <English>If you look at</English> traditionally, <English>there weren't things like that</English>.",CS,SM: High solidarity. ,"Ronald says some ""mhhs"", ""aahs"" or ""yeahs""  throughout to interviewer's question to indicate that he is listening.",,,,,
,,Ronald,0:35:16,[Uncertain transcription],[Uncertain transcription],,,,,,,,
,,Interviewer,,"In fact, it was an abomination.  <Swahili>Lakini siku hizi</Swahili> you have lesbianism, you have homosexuality, we have INCEST, something that was never there in our tradition or society.  Do you think <Swahili>ni</Swahili> as a result of <Swahili>hii</Swahili> English so that English- I mean language <Swahili>inabebananga na</Swahili> culture <Swahili>yake</Swahili>, so <Swahili>ni kama unataka kusambazia hiyo</Swahili> culture <Swahili label='high distance'>yao</Swahili label='high distance'> so that <Swahili label='high distance'>naona hata siku hizi wana</Swahili label='high distance'> fight for their rights (Ronald chuckles).  <Swahili> label='high distance'Wanataka kukuwa</Swahili label='high distance'> recognized.  Do you think that is the reason? ","In fact, it was an abomination.  <English>But these days</English> you have lesbianism, you have homosexuality, we have INCEST, something that was never there in our tradition or society.  Do you think <English>if is</English> as a result of <English>this</English> English so that English- I mean language <English>carries with it</English> culture <English>of it</English>, so <English>it's like if you want to spread that</English> culture <English>of theirs</English> so that <English>I see that even these days they</English> fight for their rights (Ronald chuckles).  <English>They want to be</English> recognized.  Do you think that is the reason? ",CS,SM: High distance. ,"Ronald says some ""mhhs"", ""aahs"" or ""yeahs""  throughout to interviewer's question to indicate that he is listening.",,,,,
,,Ronald,,"Mhh…I really don't think language…<Swahili>ndio imefanya kukawa na</Swahili>- those change in culture.  Okay, others, <Swahili>wanataka waki- wakishaanza kuongea</Swahili> English, maybe they'll start adopting the Western culture, but not all of them.  I can't really blame the English language for homosexuality in Kenya.  I can't blame English for lesbianism.  So I think it is the person, the values of the person <Swahili>ndio ime- imemfanya sa' aka- aka- aka</Swahili> adopt that, uhm, that sexual orientation.  But it's not really the language because <Swahili>uta</Swahili> find <Swahili>kuna wengine hawaongei</Swahili> English, <Swahili>lakini wameona kwa</Swahili> movies, uh, these uh- these people doing this, and they also want to do the same way.  But I can't really blame language for that.","Mhh…I really don't think language…<English>is what has made it to be that there are</English>- those change in culture.  Okay, others, <English>they want when they-when they start to talk</English> English, maybe they'll start adopting the Western culture, but not all of them.  I can't really blame the English language for homosexuality in Kenya.  I can't blame English for lesbianism.  So I think it is the person, the values of the person <English>is what has-has made her/him now s/he has-s/he has-s/he has</English> adopt[ed] that, uhm, that sexual orientation.  But it's not really the language because </English>you will</English> find <English>there are others who don't speak</English> English, <English>but they have seen it in</English> movies, uh, these uh- these people doing this, and they also want to do the same way.  But I can't really blame language for that.",CS,Unmarked.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"So, you've mentioned media.  So media come in.  ","So, you've mentioned media.  So media come in.  ",,,,,,,,
,,Ronald,,"Yeah, media comes in.","Yeah, media comes in.",,,,,,,,
,,Interviewer,,"So <Swahili>inaonekana</Swahili> media then it has a big role to play in influencing people to change their attitudes <Swahili>ama</Swahili> behavior, <Swahili>ama</Swahili> their perception towards something.","So <English>it seems the</English> media then it has a big role to play in influencing people to change their attitudes <English>or</English> behavior, <English>or</English> their perception towards something.",CS,Unmarked.,,,,,,
,,Ronald,,Yes.  It is the media.,Yes.  It is the media.,,,,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,Ronald,,"<Swahili label='high solidarity'>Tunataka kuwa kama wao</Swahili label='high solidarity'>.  Because you see this superstar <Swahili>anafanya hivi</Swahili> and he gets away with it.  Maybe he goes and he robs a bank, <Swahili>anapata hiyo pesa yake</Swahili>.   He goes on to live a really good life which you aire.  Everybody loves money.  So <Swahili>utaona pia</Swahili>, ""I can do the same thing.""  Violence.  <Swahili>Unaona</Swahili> violence has a reward.  It is the only the- the mode of communication that is used there.  English is mainly used in movies.  But I can't say it is because <Swahili>amesikiza in</Swahili> English, <Swahili>ndio ikamfanya a</Swahili> adopt that behavior.  What if it was in Swahili? Or what if it was in Kalenjin maybe?  And still <Swahili>bado iko na</Swahili> violence.  Definitely the person will pick the behavior or that trait.  It is not because it was English <Swahili>ndio sa' nikaamua</Swahili> I'll now pick this trait.  It's not language per say to blame, but plays a role in that.","<English>We want to be like them</English>.  Because you see this superstar <English>s/he does this</English> and he gets away with it.  Maybe he goes and he robs a bank, <English>s/he gets that his/her money</English>.   He goes on to live a really good life which you aire.  Everybody loves money.  So <English>you will see also</English>, ""I can do the same thing.""  Violence.  <English>You see</English> violence has a reward.  It is the only the- the mode of communication that is used there.  English is mainly used in movies.  But I can't say it is because <English>s/he has heard it</English> in English, <English>that's what made him/her to</English> adopt that behavior.  What if it was in Swahili? Or what if it was in Kalenjin maybe?  And still <Englishi>still it has</English> violence.  Definitely the person will pick the behavior or that trait.  It is not because it was English <English>that now I decided</English> I'll now pick this trait.  It's not language per say to blame, but plays a role in that.",CS,SM: High solidarity. ,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,0:38:01,Okay.  <Swahili>Sawa.  Unaweza sema nini kuhusu</Swahili> language <Swahili>ya watu wa matatu</Swahili>?,Okay.  <English>Okay. What can you say about</English> language <English>of people of the the street buses</English>?,CS,Unmarked.,,,,,,
,,Ronald,,"(Laughs)  <Swahili>""Beba, beba, beba, beba</Swahili>?""","(Laughs)  <English>""Carry, carry, carry</English>?""",,,,,,,,
,,Interviewer,,Mhh. Generally.,Mhh. Generally.,,,,,,,,
,,Ronald,,"<Swahili>Ni</Swahili> <Sheng>mbao</Sheng>- <Swahili>ni</Swahili> <Sheng>mbao</Sheng>- yeah, they use uh, Sheng and uh, Swahili.  What we term (smiles)as the  common man's language.  Ahaaha…So their language, some of them gives language differently from others.  <Swahili>Wengine wanatumia</Swahili> language <Swahili label='high distance'>tu, sijui hawafikirii kwanza</Swahili label='high distance'> before they utter what the words <Swahili>ama nini</Swahili>.  Most of them are very disrespectful to their customers.  But mainly, <Swahili>wanatumia</Swahili> language in a persuasive manner.  If they see you carrying luggage, they'll rush to you and try to sweet talk you, even telling you <Swahili>tutakupunguzia</Swahili> maybe 50 shillings.  We'll deduce this for you or you'll arrive there safely, our car is fitted with this, it has the latest music, it has a screen.  So they try to use language in a persuasive way.  But mainly they language they use is Swahili and Sheng.","<English>It's</English> <English>mbao<English>- <English>it's</English> <English>mbao</English>- yeah, they use uh, Sheng and uh, Swahili.  What we term (smiles)as the  common man's language.  Ahaaha…So their language, some of them gives language differently from others.  <English>Others use</English> language <English>just, I don't know they don't first thinkt</English> before they utter what the words <English>or what</English>.  Most of them are very disrespectful to their customers.  But mainly, <English>they use</English> language in a persuasive manner.  If they see you carrying luggage, they'll rush to you and try to sweet talk you, even telling you <English>we will reduce for you</English> maybe 50 shillings.  We'll deduce this for you or you'll arrive there safely, our car is fitted with this, it has the latest music, it has a screen.  So they try to use language in a persuasive way.  But mainly they language they use is Swahili and Sheng.",CS,SM: High distance. ,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,"So, that one defines them as <Swahili label='high distance'>hawa watu wa matatu sasa</Swahili label='high distance'>.","So, that one defines them as <English>these people of the street buses now</English>.",CS,SM: High distance. ,,,,,,
,,Ronald,,<Swahili label='accomodation'>Ukisikia tu wanaongea na</Swahili label='accomodation'> that persuasiveness=,<English>If you just hear them talk with</English> that persuasiveness=,CS,SM: Accomodation. ,,,,,,
,,Interviewer,,<Swahili>utajua tu</Swahili>=,<English>You will just know</English>=,,,,,,,,
,,Ronald,,they really sweet talk you.,they really sweet talk you.,,,,,,,,
,,Interviewer,,<Swahili>Na mama wa sokoni</Swahili>?,<English>And the market saleswomen</English>?,,,,,,,,
,,Ronald,,"<Swahili label='accomodation'>Mama wa sokoni pia</Swahili label='accomodation'> they are sweet talkers, very much.  <Swahili>Kwa sababu wanataka kuuza</Swahili>.  But the language they'll also use Swahili.  I think all this depends on their level of education also, because for one to be a <Swahili>matatu</Swahili> guy, <Swahili>inakwambia</Swahili> their level of education.  <Swahili>Ni</Swahili> some were in high school, ama primary.  <Swahili>Ule mama wa mboga pia</Swahili>...dictates something.  <Swahili>Kama</Swahili> level <Swahili>lake la</Swahili> education <Swahili>lingekuwa</Swahili> higher maybe even up to tertiary level in college, <Swahili>hangekuwa anauza mboga hapo.  Angekuwa anafanya</Swahili> something extra.  <Swahili>Angekuwa hata anafanya kazi ya</Swahili>...maybe <Swahili>hako kwa duka anauza</Swahili>.  So it's their- their level of education <Swahili>ndio imewapatia</Swahili> that- that kind of job.  Though not for all of them, but most of them, their level of education is jsut somewhere down there.","<English>The market women also</English> they are sweet talkers, very much.  <English>Because they want to sell</English>.  But the language they'll also use Swahili.  I think all this depends on their level of education also, because for one to be a <English>street car</English> guy, <English>it tells you</English> their level of education.  <English>It's</English> some were in high school, ama primary.  <English>That vegetable lady also</English>...dictates something.  <English>If</English> level <English>of hers of</English> education <English>were</English> higher maybe even up to tertiary level in college, <English>she wouldn't be selling vegetables there. She would be doing</English> something extra.  <English>She would be even doing work of</English>...maybe <English>that little store selling</English>.  So it's their- their level of education <English>is what has gotten them</English> that- that kind of job.  Though not for all of them, but most of them, their level of education is just somewhere down there.",CS,SM: Accomodation. OLF: Ronald echoes not only the language but also the words that interviewer uses in his response.,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"So they are more conversant with Swahili, which is the language used commonly.  And that's what they'll use.","So they are more conversant with Swahili, which is the language used commonly.  And that's what they'll use.",,,,,,,,
,,Interviewer,,Mhh.,Mhh.,,,,,,,,
,,Ronald,,Mhh.,Mhh.,,,,,,,,
,,Interviewer,,<Swahili>Saa tukimalizia</Swahili>.  Do you think there can never be a society without language?,<English>Now when we finish it</English>.  Do you think there can never be a society without language?,CS,Unmarked.,,,,,,
,,Ronald,,"I don't know.  (Laughs)  Language is used for communication.  So I wonder how people will- will even get along without communicating.  Even if it is using signs, signs stills are- signs are language.  But sign language is not as effective as the verbal language.   So a society without language is just dead.","I don't know.  (Laughs)  Language is used for communication.  So I wonder how people will- will even get along without communicating.  Even if it is using signs, signs stills are- signs are language.  But sign language is not as effective as the verbal language.   So a society without language is just dead.",,,Interviewer says lots of 'mhhs'  throughout to Ronald's response to indicate that she is listening.,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Ronald,,"It is dead, yeah.  How will I t- how will I call for help from someone without using language?  How will I- I mean, it's everything.  Language is just everything.  It so defines us.  ","It is dead, yeah.  How will I t- how will I call for help from someone without using language?  How will I- I mean, it's everything.  Language is just everything.  It so defines us.  ",,,,,,,,
,,Interviewer,,So it's very important.,So it's very important.,,,,,,,,
,,Ronald,,It's very important.,It's very important.,,,,,,,,
,,Interviewer,,"Ha,<Swahili> asante sana kwa muda wako</Swahili>.","Ha,<English> thank you very much for your time</English>.",CS,Unmarked.,,,,,,
,,Ronald,,Mhh.   Thank you.,Mhh.   Thank you.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
