Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/SS,Comments,
,,Andrew,00:33:56mins,"Yes. I want to be. It's my desire that I be more careful, because I dis-I discovered nowadays I deal so much, I get into contact with the: instructors so much [uncertain transcription] so they need to be more [uncertain transcription]","Yes. I want to be. It's my desire that I be more careful, because I dis-I discovered nowadays I deal so much, I get into contact with the: instructors so much [uncertain transcription] so they need to be more [uncertain transcription]",,,
,Popular Topics among Students,Interviewer,,"Mm hmm.  What are you.. people talking about now, you students now in-in-in the hostels, the streets, in campus?  What-what are the main topics, that you talk about?","Mm hmm.  What are you.. people talking about now, you students now in-in-in the hostels, the streets, in campus?  What-what are the main topics, that you talk about?",,,
,,Andrew,,"In the streets, as for me I'll-but I can't deny that I've heard people discuss, but mostly in campus the more local topic now is about HELB eh? HELB issues.  And they are really disturbing. ","In the streets, as for me I'll-but I can't deny that I've heard people discuss, but mostly in campus the more local topic now is about HELB eh? HELB issues.  And they are really disturbing. ",,HELB (Higher Education Loans Board),
,,Interviewer,,Mm hmm.  People are not getting their loans?,Mm hmm.  People are not getting their loans?,,,
,,Andrew,,"Yea, and the economic situation is really-it's a crisis.  And then other matters, mostly people in campus now are talking about campus politics. Now that next semester they are going to have the [uncertain transcription] elections. People are trying to discuss eh? Who, can make this? Who can hold this eh? Trying to=","Yea, and the economic situation is really-it's a crisis.  And then other matters, mostly people in campus now are talking about campus politics. Now that next semester they are going to have the [uncertain transcription] elections. People are trying to discuss eh? Who, can make this? Who can hold this eh? Trying to=",,,
,,Interviewer,,"So do you engage also, are you with them in these discussions?","So do you engage also, are you with them in these discussions?",,,
,,Andrew,,Personally I don't engage.,Personally I don't engage.,,,
,,Interviewer,,You don't?,You don't?,,,
,,Andrew,,"Because, umm, I said-I said that I only hear, them speak but as for me, usually: I think I-only-the only time I have is to maybe look at my books my academic books now {that I'm}=","Because, umm, I said-I said that I only hear, them speak but as for me, usually: I think I-only-the only time I have is to maybe look at my books my academic books now {that I'm}=",,,
,,Interviewer,,{Aah! All the time?},{Aah! All the time?},,,
,,Andrew,,Not all {the time},Not all {the time},,,
,,Interviewer,,{Even when you're with}-your-I'm sure you have a friend.,{Even when you're with}-your-I'm sure you have a friend.,,,
,,Andrew,,Yes I have my-{I have a friend eh?}=,Yes I have my-{I have a friend eh?}=,,,
,,Interviewer,,{Even if it's one.} ,{Even if it's one.} ,,,
,,Andrew,,Yes. ,Yes. ,,,
,,Interviewer,,{Yea what do you talk about? [uncertain transcript]}  ,{Yea what do you talk about? [uncertain transcript]}  ,,,
,,Andrew,,{Of course in the rout-of course with your roommates. Yea. We are} two we talk about-let's say the current situations and the news.,{Of course in the rout-of course with your roommates. Yea. We are} two we talk about-let's say the current situations and the news.,,"Here and in the dialogue leading to this, Andrew seems to step out of his usual quiet respectful mode, asserting his voice and insisting on answering in the same strong manner that the questions are being directed at him, with interruption.  He sounds a bit defensive when he answers with “of course in the room, of course with your roomates”.",
,,Interviewer,,News issues?,News issues?,,,
,,Andrew,,<Swahili>Kidogo tu</Swahili>.,<English>Just a little</English>.,,,
,,Interviewer,,<Swahili>Na nini tena</Swahili>?,<English>And what else</English>?,,,
,,Andrew,,<Swahili>Halafu</Swahili> we have the-releg-religious matters. Yes.,<English>And then</English> we have the-releg-religious matters. Yes.,CS,Unmarked.,
,,Interviewer,,You're a religious person?,You're a religious person?,,,
,,Andrew,,"Yea, even though=. ","Yea, even though=. ",,,
,,Interviewer,,And your roommate is also religious?,And your roommate is also religious?,,,
,,Andrew,,"My roommate is also religious, he's a Christian. Yes. ","My roommate is also religious, he's a Christian. Yes. ",,,
,,Interviewer,,"So you: discuss the bible with him, <Swahili>mnasoma</Swahili> [uncertain transcription]","So you: discuss the bible with him, <English>you read</English> [uncertain transcription]",CS,Unmarked.,
,,Andrew,,A bit of that.,A bit of that.,,,
,,Interviewer,,Okay. Any other thing?,Okay. Any other thing?,,,
,,Andrew,,Concerning the topics? ,Concerning the topics? ,,,
,,Interviewer,,"Yea. Concerning what you talk about with you and with your friend, roommate or your friends, other friends, classmates?","Yea. Concerning what you talk about with you and with your friend, roommate or your friends, other friends, classmates?",,,
,,Andrew,,"Wow. With-aah actually, with classmates when we meet usually we talk about.. books <Swahili>kidogo. Kazi ya darasa</Swahili> .  Yes.","Wow. With-aah actually, with classmates when we meet usually we talk about.. books <Englishi>a little.  Class work</English> .  Yes.",CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Andrew,,"And then, <Swahili>kujuliana hali kidogo tu</Swahili>  and then you part now that you usually don't have much time together.","And then, <English>getting to know how we are doing</English>  and then you part now that you usually don't have much time together.",CS,Unmarked.,
,,Interviewer,,"Yes, the semesters are shorter these days.","Yes, the semesters are shorter these days.",,,
,,Andrew,,Yes.,Yes.,,,
,,Interviewer,,Mm.,Mm.,,,
,,Andrew,,Unlike the other times when you could get ample time to-to visit a friend. Nowadays it's a bit tricky.,Unlike the other times when you could get ample time to-to visit a friend. Nowadays it's a bit tricky.,,,
,,Interviewer,,"It's a bit tricky, you are busy busy most of the time.","It's a bit tricky, you are busy busy most of the time.",,,
,,Andrew,,Yes.<Swahili>Halafu</Swahili> to add on that as well now that I'm a Christian I do fellowship with my friends so much.,Yes.<English>And then</English> to add on that as well now that I'm a Christian I do fellowship with my friends so much.,CS,Unmarked.,
,,Interviewer,,"Aa yea, because your fellowship also and usually those will now be vital matters [uncertain transcription].","Aa yea, because your fellowship also and usually those will now be vital matters [uncertain transcription].",,,
,,Andrew,,Yes.,Yes.,,,
,,Interviewer,,Okay. You had mentioned- <Swahili>uliniambia unataka kuwa</Swahili>  dip-diplomat.[uncertain transcription],Okay. You had mentioned- <English>you told me you want to be</English>  dip-diplomat.[uncertain transcription],CS,Unmarked.,
,,Andrew,,Yes. Just in case.,Yes. Just in case.,,,
,,Interviewer,,Just in case.,Just in case.,,,
,,Andrew,,I like it yea.,I like it yea.,,,
,,Interviewer,,You are now in third year?,You are now in third year?,,,
,,Andrew,,Third year.,Third year.,,,
,,Interviewer,,"So you still have one year.  If you perform well you-you-you can-you can and you're doing linguistics, media and communications?","So you still have one year.  If you perform well you-you-you can-you can and you're doing linguistics, media and communications?",,,
,,Andrew,,I'm doing Bachelor of arts French.,English,,,
,,Interviewer,,"French? So you want to be in the diplomatic field maybe, as a what? Translator or?","French? So you want to be in the diplomatic field maybe, as a what? Translator or?",,,
,,Andrew,,Yea.,Yea.,,,
,,Interviewer,,Mm hmm.  [uncertain transcription],Mm hmm.  [uncertain transcription],,,
,,Andrew,,I guess that's translation yea=,I guess that's translation yea=,,,
,,Interviewer,,The French embassy maybe or-Okay. So I wish you good luck in your class and thank you for your time eh?,The French embassy maybe or-Okay. So I wish you good luck in your class and thank you for your time eh?,,,
,,Andrew,,Okay.,Okay.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
