Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,Notes,,,,,
,,Fred,,"Yea, they type to whatever they stand for. So if let's say you are discussing and someone <Swahili>kila wakati anasisitiza tu yale ambae yeye anaona ni mazuri, ama yale ambao alikuwa anapigania wakati wa</Swahili> maybe campaigns. Then k-<Swahili label='quotation'>unaweza ukajua eti ""huyu mtu""</Swahili label='quotation'>","Yea, they type to whatever they stand for. So if let's say you are discussing and someone <English>everytime just insists on that which s/he thinks is good, or that which s/he was fighting for during the time of</English> maybe campaigns. Then k-<English>then you may be able to know that ""this person""</English>",CS,SM: Quotation.,,,,,,
,,Interviewer,,So you can easily align.,So you can easily align.,,,,,,,,
,,Fred,,Yea. When <Swahili>huyu mtu anaongea</Swahili> seems-they-he stands for this.,Yea. When <English>this person speaks</English> seems-they-he stands for this.,CS,Unmarked.,,,,,,
,Speaking Different Languages with Different People,Interviewer,00:25:22mins,"Soo these languages that you know, do you speak different languages to different people?","Soo these languages that you know, do you speak different languages to different people?",,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,Mm hmm. Where? Example? Or when? For example when?,Mm hmm. Where? Example? Or when? For example when?,,,,,,,,
,,Fred,,"Aah maybe the languages that we speak maybe its Swahili. You see <Swahili>kuna hii Kiswahili [uncertain transcription] mnaweza kuomba nayo</Swahili> [uncertain transcription] that one you can speak to your friends. Then let's say you're with someone who is high-in high rank. [uncertain transcription] that person [uncertain transcription] Kiswahili. <Swahili>Ile Kiswahili unakitumia lazima iwe na kiwangu fulani. Lazima kifikie kiwangu fulani</Swahili>. Then <Swahili>kama pia ni English</Swahili>. You see-wh-when you are with friends, you don't even bother taking turns [uncertain transcription] and all that. But now when you're with some [uncertain transcription] that maybe- matters a lot or are that high in the position you have to ensure that the language that you speak with them is up to date.","Aah maybe the languages that we speak maybe its Swahili. You see <English>there is this Swahili [uncertain transcription] you can ask with it</English> [uncertain transcription] that one you can speak to your friends. Then let's say you're with someone who is high-in high rank. [uncertain transcription] that person [uncertain transcription] Kiswahili. <English>That Swahili that you use must have be of a certain high rank. It must reach a certain level.</English>. Then <English>if also it is English</English>. You see-wh-when you are with friends, you don't even bother taking turns [uncertain transcription] and all that. But now when you're with some [uncertain transcription] that maybe- matters a lot or are that high in the position you have to ensure that the language that you speak with them is up to date.",CS,Unmarked.,,,,,,
,,Interviewer,,Aah so every language that you use is always=,Aah so every language that you use is always=,,,,,,,,
,,Fred,,"Yea, it depends on who am I with.","Yea, it depends on who am I with.",,,,,,,,
,Have You Ever Tried to Change the Way You Talk,Interviewer,00:26:14mins,Mm. Have you ever tried to change anything about the way you talk?  ,Mm. Have you ever tried to change anything about the way you talk?  ,,,,,,,,
,,Fred,,"Mmm, no.","Mmm, no.",,,,,,,,
,,Interviewer,,As a person.,As a person.,,,,,,,,
,,Fred,,No-not.,No-not.,,,,,,,,
,,Interviewer,,Is it the same way you used to speak when you were in secondary?,Is it the same way you used to speak when you were in secondary?,,,,,,,,
,,Fred,,"Yea, it's just the same same way that I used to go=","Yea, it's just the same same way that I used to go=",,,,,,,,
,,Interviewer,,You have never felt the need to adjust the way you speak?,You have never felt the need to adjust the way you speak?,,,,,,,,
,,Fred,,"No, maybe-let's say maybe in um, language-maybe <Swahili>yani</Swahili> let's say the way I use my language maybe that's what I've tried but the way I speak, the way I articulate my words always want that I do it=","No, maybe-let's say maybe in um, language-maybe <English>I mean</English> let's say the way I use my language maybe that's what I've tried but the way I speak, the way I articulate my words always want that I do it=",CS,Unmarked.,,,,,,
,,Interviewer,,But [uncertain transcription] with other students,But [uncertain transcription] with other students,,,,,,,,
,,Fred,,No. ,No. ,,,,,,,,
,,Interviewer,,<Swahili label='elaboration'>Kama unajaribu kuongea kama fulani</Swahili label='elaboration'>. Have you ever seen?,<English>Like if you're trying to speak like a certain</English>. Have you ever seen?,CS,"SM: Elaboration. OLF: He tries asking the question he had asked earlier in Englihs, now in Swahili. He seemed to be searching for a different response.",,,,,,
,,Fred,,"Yea I've seen it with my friends-s-see maybe like we doing the media. See, you find that may-mo-most people they say ""oh I want to speak like Judy Gishuru, {I want to and you see them and they} try and they in-some manage.","Yea I've seen it with my friends-s-see maybe like we doing the media. See, you find that may-mo-most people they say ""oh I want to speak like Judy Gishuru, {I want to and you see them and they} try and they in-some manage.",,,,,,,,
,,Interviewer,,{And they do it and they try to do it} Mm. ,{And they do it and they try to do it} Mm. ,,,,,,,,
,,Fred,,Some manage.,Some manage.,,,,,,,,
,,Interviewer,,And the others?,And the others?,,,,,,,,
,,Fred,,"Others don't (they laugh), they'll start then at the-at the maybe-they'll forget and go back to their normal way of speaking. Like there's a day mm we had gone to the studio, yea maybe to-there's a show for some other person-<Swahili>tulikuwa tume-tulienda. Tulikuwa tumeingia-tumeingilia tu ndani hatukuwa-yani hikuwa rasmi</Swahili>. So <Swahili>kufika huko tukapata kulikuwa na wasichana wengine nafikiri-ilikuwa [uncertain transcription] hao walipata</Swahili> idea. So the way these people they were speaking. They were: they had changed so much that you could even realize that this one this is not the normal way this person-cuz you see they're-they're really trying. <Swahili>Kujaribu sana ili</Swahili> at least they manage that face and you see=","Others don't (they laugh), they'll start then at the-at the maybe-they'll forget and go back to their normal way of speaking. Like there's a day mm we had gone to the studio, yea maybe to-there's a show for some other person-<English>we had-we had gone. We had just entered inside we were not-I mean it wasn't official</English>. So <English>when we got there we found there were other girls I think-it was  [uncertain transcription] they got an</English> idea. So the way these people they were speaking. They were: they had changed so much that you could even realize that this one this is not the normal way this person-cuz you see they're-they're really trying. <English>Trying really hard so that</English> at least they manage that face and you see=",CS,Unmarked.,,,,,,
,,Interviewer,,So you can just see this is fake.,So you can just see this is fake.,,,,,,,,
,,Fred,,<Swahili>Huyu ana-anang'ang'ana tu</Swahili>,<English>This one is just latching on</English>,,,,,,,,
,,Interviewer,,<Swahili>Anang'ang'ana</Swahili>,<English>S/he is latching on</English>,,,,,,,,
,,Fred,,Eeh. [uncertain transcription],Eeh. [uncertain transcription],,,,,,,,
,,Interviewer,,<Swahili label='accomodation'>Na wengine ako</Swahili label='accomodation'> perfect <Swahili>kabisa</Swahili>.,<English>And others are</English> perfect <English>totally</English>.,CS,SM: Accomodation.,,,,,,
,,Fred,,Ee <Swahili label='accomodation'>wengine</Swahili label='accomodation'> they know you cannot even tell.,Ee <English>others</English> they know you cannot even tell.,CS,SM: Accomodation.,,,,,,
,,Interviewer,,Mm.,Mm.,,,,,,,,
,,Fred,,"Like most-most of these comedians who even they-when they imitate some other people unless you see that <Swahili label='quotation'>""ndio huyu Erick Umundi anaongea' unajua kumbe-kumbe sio Muhammad Ali</Swahili label='quotation'>.","Like most-most of these comedians who even they-when they imitate some other people unless you see that <English>""it is this Erick Umundi that is talking, you then know that it is isn't Muhammad Ali</English>.",CS,SM: Quotation.,,,,,,
,,Interviewer,,"Sio. Yea, because he can really do it very well.","Sio. Yea, because he can really do it very well.",,,,,,,,
,,Fred,,He can really do it very well.,He can really do it very well.,,,,,,,,
,,Interviewer,00:28:01mins,"What are the issues that aah, [uncertain transcription] now?","What are the issues that aah, [uncertain transcription] now?",,,,,,,,
,,Fred,,Saa hii?,Saa hii?,,,,,,,,
,,Interviewer,,Yea. [uncertain transcription] topics.,Yea. [uncertain transcription] topics.,,,,,,,,
,,Fred,,"Maybe <Swahili>saa hii</Swahili> students mostly they discuss maybe exams but again cuz they discuss <Swahili>inalingana na</Swahili> which gender.  Like you see me most of my friends have been ladies. And you see ladies when you are with them they discuss relationships. That's what they-they'll just tell you ""Charlie  <Swahili label='quotation'>yangu amefanya hivi"" mara ""Huyu amefanya hivi"" mara ""huyu amefanya hivi""</Swahili label='quotation'>, that's may-when you're with the ladies. So like the all-I'll say most of my friends, in fact nine over ten of my friends are ladies. So I have very few male friends.","Maybe <English>right now</English> students mostly they discuss maybe exams but again cuz they discuss <English>it depends on</English> which gender.  Like you see me most of my friends have been ladies. And you see ladies when you are with them they discuss relationships. That's what they-they'll just tell you ""Charlie  <English>mine has done this"" or ""This one has done this"" or ""This one has done this""</English>, that's may-when you're with the ladies. So like the all-I'll say most of my friends, in fact nine over ten of my friends are ladies. So I have very few male friends.",CS,SM: Quotation.,,,,,,
,,Interviewer,,Very few male friends. Is there a reason for that Okello?,Very few male friends. Is there a reason for that Okello?,,,,,,,,
,,Fred,,Yes. ,Yes. ,,,,,,,,
,,Interviewer,,What is it?,What is it?,,,,,,,,
,,Fred,,"You see me from maybe let's say <Swahili label='refereeing'>tangu nizaliwe yule mtu ambae amekuwa karibu yangu amekuwa mama yangu</Swahili label='refereeing'>. Yea, so I find that maybe these-","You see me from maybe let's say <English>since I was born that person who has been closest to me has been my mother</English>. Yea, so I find that maybe these-",CS,SM: Refereeing.,,,,,,
,,Interviewer,,"Aah, you find yourself comfortable with=","Aah, you find yourself comfortable with=",,,,,,,,
,,Fred,,Comfortable with the ladies=,Comfortable with the ladies=,,,,,,,,
,,Interviewer,,And what they discuss you find it interesting?,And what they discuss you find it interesting?,,,,,,,,
,,Fred,,Not some-at sometimes most [uncertain transcription] but remember they said if you cannot beat them join them. ,Not some-at sometimes most [uncertain transcription] but remember they said if you cannot beat them join them. ,,,,,,,,
,,Interviewer,,Join them.,Join them.,,,,,,,,
,,Fred,,"Yea, being that they're my friends-they all know that if I want to please them and if I want to maintain the friendship I must also just join whatever they are saying. Yea, so <Swahili label='secrecy'>kama ni ma-mambo na  mapenzi ndio wanaingilia</Swahililabel='secrecy'> that's what I also. I also just go there and we fit in and I find that it goes on well. Yea but=","Yea, being that they're my friends-they all know that if I want to please them and if I want to maintain the friendship I must also just join whatever they are saying. Yea, so <English>if it is issues of love that they get into</English> that's what I also. I also just go there and we fit in and I find that it goes on well. Yea but=",CS,SM: Secrecy.,,,,,,
,,Interviewer,,Things-these ladies are just about <Swahili label='accomodation'>mapenzi</Swahili label='accomodation'> or=,Things-these ladies are just about <English>love</English> or=,CS,SM: Accomodation.,,,,,,
,,Fred,,Ah ladies. Ladies in fact ninety percent of their time they'll say is speaking about <Swahili>mapenzi</Swahili>.,Ah ladies. Ladies in fact ninety percent of their time they'll say is speaking about <English>love</English>.,CS,Unmarked.,,,,,,
,,Interviewer,,Have you found an equal who have talked to you about something like politics?,Have you found an equal who have talked to you about something like politics?,,,,,,,,
,,Fred,,Very few.,Very few.,,,,,,,,
,,Interviewer,,Very few (laughs),Very few (laughs),,,,,,,,
,,Fred,,"(laughs) One of out ten they will-but if we-if it goes again too much they'd say ""ah, stop"" and maybe <Swahili label='quotation'>tuseme mtu anataka kukuuliza ""sasa hii nasikia</Swahili label='quotation'> what does the opinion poll say"". Eh, <Swahili>kisha unamwambia kuna venye tunakuja</Swahili> then maybe you start saying-things that <Swahili label='quotation'>haoni kama ni ya maana kwake. Yea, kisha atakwambia ""Ah! Hapana. Jua ache tu</Swahili label='quotation'> I just wanted to know the opinion poll. Just=","(laughs) One of out ten they will-but if we-if it goes again too much they'd say ""ah, stop"" and maybe <English>let's say a person wants to ask you ""Now I hear</English> what does the opinion poll say?"". Eh, <English>then you tell her there is where we are coming</English> then maybe you start saying-things that <English>she doesn't see as being important to her.  Yea, then she will tell you, ""Ah! No. You know just leave it</English> I just wanted to know the opinion poll"". Just=",CS,SM: Quotation.,,,,,,
,,Interviewer,,<Swahili>Hakuna haja</Swahili>,<English>There's no point</English>,,,,,,,,
,,Fred,,<Swahili>Hakuna haja kuingilia mengi</Swahili>.,<English>There's no point in getting into it more</English>.,,,,,,,,
,,Interviewer,,So is it different <Swahili>na wanaume</Swahili>? ,So is it different <English>with men</English>? ,CS,Unmarked.,,,,,,
,,Fred,,Yea <Swahili label='accomodation'>wanaume</Swahili label='accomodation'> is different you see=,Yea <English>men</English> is different you see=,CS,SM: Accomodation.,,,,,,
,,Interviewer,,What will they be talking?,What will they be talking?,,,,,,,,
,,Fred,,<Swahili label='accomodation'>Wanaume</Swahili label='accomodation'> mostly they talk about football.,<English>Men</English> mostly they talk about football.,CS,SM: Accomodation.,,,,,,
,,Interviewer,,Football.,Football.,,,,,,,,
,,Fred,,They tell you now ManU,They tell you now ManU,,,,,,,,
,,Interviewer,,ManU <Swahili>sijui</Swahili>,ManU <English>I don't know</English>,CS,Unmarked.,,,,,,
,,Fred,,"Arsenal, the new signing. That jealousy <Swahili label='quotation'>sijui yule mtu amenunua [uncertain transcription] naenda kuwatwanga</Swahili label='quotation'>. So boys mostly you find that it's football and politics.","Arsenal, the new signing. That jealousy <English>I don’t know, that person bought [uncertain transcription] I am going to squash them</English>. So boys mostly you find that it's football and politics.",CS,SM: Quotation.,,,,,,
,,Interviewer,,[uncertain transcription],[uncertain transcription],,,,,,,,
,,Fred,,They talk about politics again.,They talk about politics again.,,,,,,,,
,,Interviewer,,Okay.,Okay.,,,,,,,,
,,Fred,,And you see but-that's now where I-that's why you see mostly I don’t like being with the boys because when they start talking about politics,And you see but-that's now where I-that's why you see mostly I don’t like being with the boys because when they start talking about politics,,,,,,,,
,,Interviewer,,You are off.,You are off.,,,,,,,,
,,Fred,,I am off because the-the:-yani they argue so much as if they are-let's say you-you-you are talking [uncertain transcription] about someone=,I am off because the-the:-yani they argue so much as if they are-let's say you-you-you are talking [uncertain transcription] about someone=,,,,,,,,
,,Interviewer,,Don't you belong to a political party?,Don't you belong to a political party?,,,,,,,,
,,Fred,,<Swahili>Mimi</Swahili> I don’t belong to any political party.,<English>Me</English> I don’t belong to any political party.,CS,Unmarked.,,,,,,
,,Interviewer,,Mm. So that could be the reason you are,Mm. So that could be the reason you are,,,,,,,,
,,Fred,,Yea you see let's say like during the elections. Even though I don't belong to a political party but I used to support [uncertain transcription]. So you see you are arguing with a friend and that friend insists that Uhuru is the best one so you try to explain your point <Swahili>na kuwa-hupati</Swahili>,Yea you see let's say like during the elections. Even though I don't belong to a political party but I used to support [uncertain transcription]. So you see you are arguing with a friend and that friend insists that Uhuru is the best one so you try to explain your point <English>and to be-you don't get it</English>,CS,Unmarked.,,,,,,
,,Interviewer,,<Swahili>Humshikani</Swahili>,<English>You don't get each other</English>,,,,,,,,
,,Fred,,<Swahili label='accomodation'>Humshikani</Swahili label='accomodation'>. You realize that maybe <Swahili>hata vita inaweza ikatokea</Swahili>. So I really hate to talking about politics.,<English>You don't get each other</English>. You realize that maybe <English>even a fight can break out</English>. So I really hate to talking about politics.,CS,SM: Accomodation.,,,,,,
,,Interviewer,00:30:55mins,Okay. Eeh: what do you want to do after you finish?,Okay. Eeh: what do you want to do after you finish?,,,,,,,,
,,Fred,,<Swahili>Mi nikimaliza shule</Swahili>?,<English>Me when I finish school</English>?,,,,,,,,
,,Interviewer,,Mmm.,Mmm.,,,,,,,,
,,Fred,,<Swahili>Mi si [uncertain transcription] tu nikutafuta kazi na kupata</Swahili>. Then I relax.,<English>Me I don’t' [uncertain transcription] only it is to look for work and find it</English>. Then I relax.,CS,Unmarked.,,,,,,
,,Interviewer,,You relax and enjoy your,You relax and enjoy your,,,,,,,,
,,Fred,,<Swahili>Niachane na ma-kuamkaamka asubuhi asubuhi</Swahili>,<English>Let me part from this waking up early in the morning [business]</English>,,,,,,,,
,,Interviewer,,"Mm. Where would you work, ideally for you? <Swahili label='elaboration'>Ukipata kazi gani ndio unasema</Swahili label='elaboration'> ""this is=","Mm. Where would you work, ideally for you? <English>When you get what job will you then say</English> ""this is=",CS,SM: Elaboration.,,,,,,
,,Fred,,<Swahili>Aa mimi</Swahili>=,<English>Aa I</English>=,,,,,,,,
,,Interviewer,,"What I want to""=","What I want to""=",,,,,,,,
,,Fred,,"<Swahili>Mimi nikiwa</Swahili> studio, that will [uncertain transcription]","<English>Me if I'm in a</English> studio, that will [uncertain transcription]",CS,Unmarked.,,,,,,
,,Interviewer,,Aah! As what in the studio?,Aah! As what in the studio?,,,,,,,,
,,Fred,,Maybe in the studio there maybe a presenter. But mostly maybe a comedian.,Maybe in the studio there maybe a presenter. But mostly maybe a comedian.,,,,,,,,
,,Interviewer,,You seem to be so very comical (Fred laughs). You enjoy that.,You seem to be so very comical (Fred laughs). You enjoy that.,,,,,,,,
,,Fred,,"Aah, that-that's what I enjoy.","Aah, that-that's what I enjoy.",,,,,,,,
,,Interviewer,,And do you think it's necessary that you need this degree that you are doing? To-to do what,And do you think it's necessary that you need this degree that you are doing? To-to do what,,,,,,,,
,,Fred,,Me there are certain things I don't think even are necessay. This our system sometimes I hear people talking about the system. Those you find that whatever they say-they-our system of doing things in Kenya here-you see sometimes <Swahili>hata</Swahili> I say I do like=,Me there are certain things I don't think even are necessay. This our system sometimes I hear people talking about the system. Those you find that whatever they say-they-our system of doing things in Kenya here-you see sometimes <English>even</English> I say I do like=,CS,Unmarked.,,,,,,
,,Interviewer,,<Swahili label='addresee specification'>Sasa wewe</Swahili label='addresee specification'> you are in the wrong place. ,<English>Now you</English> you are in the wrong place. ,CS,SM: Addressee specification.,,,,,,
,,Fred,,Not wrong place. You see there are certain things that are not necessary. Like-like in our course we are doing certain mathematics. Do you think that mathematics is [uncertain transcription] in the studio? ,Not wrong place. You see there are certain things that are not necessary. Like-like in our course we are doing certain mathematics. Do you think that mathematics is [uncertain transcription] in the studio? ,,,,,,,,
,,Interviewer,,"(laughs). No, even-even if you want to be a comedian on radio. They are so many of them. <Swahili>Hawana</Swahili> degree.","(laughs). No, even-even if you want to be a comedian on radio. They are so many of them. <English>They don't have a</English> degree.",CS,Unmarked.,,,,,,
,,Fred,,"Yea, there are so many. That's why I am saying ""mm mm. you see you are just here because it's again the system that has put us here."" They say that now-<Swahili>yani unajua ili upate kazi kwa urahisi utabidi-utabidi uende shuleni</Swahili>","Yea, there are so many. That's why I am saying ""mm mm. you see you are just here because it's again the system that has put us here"" They say that now-<English>I mean you know so that you can get a job easily you will have to-have to go to school</English>",CS,Unmarked.,,,,,,
,,Interviewer,,<Swahili>Ukuwe na</Swahili> degree,<English>You have a</English> degree,CS,Unmarked.,,,,,,
,,Fred,,"Yea, at least <Swahili>ukuwe na</Swahili> degree <Swahili>ya</Swahili>-because even the politicians. You see they want to say that at least you must have a degree. <Swahili>Sasa wana unapata inakuwa ngumu</Swahili>. Like you see recently <Swahili>kulikuwa na hii</Swahili>, story <Swahili>hii ilikuwa</Swahili> I saw it on Facebook and also in the magazine. <Swahili>Kunao mtu anakuaga</Swahili>-he was in ghettofm, whose whom <Swahili>sijui</Swahili> [uncertain transcription] says a lot of [uncertain transcription] there in the morning. See he used to earn some very few amount of money there the [uncertain transcription] employed him.  <Swahili>Saa hii</Swahili> he earns six fifty per month. And you see this someone who never went to school does not even have any degree, he just goes <Swahili>ati</Swahili> he makes noise [uncertain transcription] <Swahili>nininini</Swahili>=","Yea, at least <English>you have a</English> degree <English>of</English>-because even the politicians. You see they want to say that at least you must have a degree. <English>Now they have you find it is hard</English>. Like you see recently <English>there was this story</English>, story <English>this it was</English> I saw it on Facebook and also in the magazine. <English>There is this person he is usually</English>-he was in ghettofm, whose whom <English>I don't know</English> [uncertain transcription] says a lot of [uncertain transcription] there in the morning. See he used to earn some very few amount of money there the [uncertain transcription] employed him.  <English>Now</English> he earns six fifty per month. And you see this someone who never went to school does not even have any degree, he just goes <English>I mean</English> he makes noise [uncertain transcription] <English>whatnot</English>=",CS,Unmarked.,,,,,,
,,Interviewer,,People enjoy it,People enjoy it,,,,,,,,
,,Fred,,And people enjoy it. And you see the-they're also there=,And people enjoy it. And you see the-they're also there=,,,,,,,,
,,Interviewer,, [uncertain transcription] like you if you want to do comedy don't you think you are wasting time here?, [uncertain transcription] like you if you want to do comedy don't you think you are wasting time here?,,,,,,,,
,,Fred,,No. Comedy=,No. Comedy=,,,,,,,,
,,Interviewer,,You could be there already earning money,You could be there already earning money,,,,,,,,
,,Fred,,"No, comedy is not my main thing but-main thing maybe <Swahili>nataka</Swahili> and at least <Swahili>nikuwe</Swahili> maybe an editor. I have a-I have [uncertain transcription] I will need to be here. It's also because of the system. The system demands=","No, comedy is not my main thing but-main thing maybe <English>I want</English> and at least <English>to be</English> maybe an editor. I have a-I have [uncertain transcription] I will need to be here. It's also because of the system. The system demands=",CS,Unmarked.,,,,,,
,,Interviewer,,"You keep saying the system (he laughs), what is this system?","You keep saying the system (he laughs), what is this system?",,,,,,,,
,,Fred,,"You see-that is how the-those people-<Swahili>yani wanasema</Swahili> the system-the system that we are following that is our system of education, the system let's say you want to get job, there are certain rules, the criteria that you have to follow at least you have uuh-<Swahili>umetoka shuleni, uko na</Swahili> degree <Swahili>na si</Swahili> degree you-<Swahili>umepita</Swahili> and that's when you-the employer [uncertain transcription] <Swahili>kazi</Swahili>.","You see-that is how the-those people-<English>I mean they say</English> the system-the system that we are following that is our system of education, the system let's say you want to get job, there are certain rules, the criteria that you have to follow at least you have uuh-<English>you leave school, you have a</English> degree <English>and not</English> degree you-<English>you have passed</English> and that's when you-the employer [uncertain transcription] <English>employment</English>.",CS,Unmarked.,,,,,,
,,Interviewer,,"They will always look at that. You have this, you have that.","They will always look at that. You have this, you have that.",,,,,,,,
,,Fred,,Even experience. And you see that experience maybe <Swahili>utaipata tu kwa kwenda shule</Swahili>.,Even experience. And you see that experience maybe <English>you will only get it by going to school</English>.,CS,Unmarked.,,,,,,
,,Interviewer,,Mm. Wow okay. <Swahili>Asante kwa</Swahili> your time. This has been an interesting conversation. Thank you so much.,Mm. Wow okay. <English>Thank you for</English> your time. This has been an interesting conversation. Thank you so much.,CS,Unmarked.,,,,,,
,,Fred,,You're welcome.,You're welcome.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
