Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments,
,,Interviewer,,"Mmm.  And what's your opinion about gayism, lesbianism? Now that it's something that, it's in our society. <Swahili label='quotation'>Si kama kitambo tungesema ""ahaa, kuko</Swahili> west"". Nowadays <Swahili>wako hapa</Swahili> and..I hear nowadays they even have kind of language they speak. <Swahili>Kama watu ni ma</Swahili>homosexual, <Swahili>mahomo-ma-au</Swahili> {gays na lesbians-}","Mmm.  And what's your opinion about gayism, lesbianism? Now that it's something that, it's in our society. <English>It's not like a while back if you said ""ahaa, it's in the </English> west"". Nowadays <English>they are</English> and..I hear nowadays they even have kind of language they speak. <English>If people are </English>homosexual[s], <English>homosexual or</English> {gays na lesbians-}",CS,SM:  Quotation.,
,,Amanda,,{Even their dress code speaks.},{Even their dress code speaks.},,,
,,Interviewer,,"Yea their dress code. <Swahili>Hata</Swahili> language <Swahili>yenye wanaongea</Swahili>, what-wha-what do you think is the future?","Yea their dress code. <English>Even</English> language <English>that they speak</English>, what-wha-what do you think is the future?",CS,Unmarked.,
,,Amanda,,"Eh, and the way they are fighting for their rights.  Lesbianism and gayism and homosexuality, I don't know which stand I would take. But like I have come to learn, there are so many factors that result to someone being gay and to another person being a lesbian.  From the bringing up, to sexual experiences at a tender age, to the society itself.  So: it might be legalized in future. Because nowadays they are coming out in public. <Swahili>Si kama kitambo eti ukisikia mtu ni gay mpaka mnamtoroka. Siku hizi</Swahili> they have their own associations, they have ah, days that they remember and celebrate, <Swahili>kama-kama</Swahili> in Nairobi there's a newspaper I was seeing <Swahili>unapata</Swahili> all of them are male but, in-gays [uncertain transcription] the one who plays the role of a woman, they're in dresses.  Dinner dresses and make up. In public!  So <Swahili>hisi kama kitambo penye ukisikia yule mtu ni</Swahili> gay, <Swahili>hata yeye mwenyewe hawezi sema</Swahili>, he will die with the feelings. Nowadays they are fighting for their rights with the media, newspapers, eh transexuals <Swahili>ndio hao</Swahili>, so they might be legalized in future here in Kenya. And uh, I think..it's upon a person.","Eh, and the way they are fighting for their rights.  Lesbianism and gayism and homosexuality, I don't know which stand I would take. But like I have come to learn, there are so many factors that result to someone being gay and to another person being a lesbian.  From the bringing up, to sexual experiences at a tender age, to the society itself.  So: it might be legalized in future. Because nowadays they are coming out in public. <English>It's not like the old days when if you hear that a person is gay, you will run away from him. These days</English> they have their own associations, they have ah, days that they remember and celebrate, <English>If-if</English> in Nairobi there's a newspaper I was seeing <English>you get</English> all of them are male but, in-gays [uncertain transcription] the one who plays the role of a woman, they're in dresses.  Dinner dresses and make up. In public!  So <English>imagine if back then when you hear that person is </English> gay, <English>even he himself wouldn't be able to say it</English>, he will die with the feelings. Nowadays they are fighting for their rights with the media, newspapers, eh transexuals <English>there they are</English>, so they might be legalized in future here in Kenya. And uh, I think..it's upon a person.",CS,Unmarked.,
,,Interviewer,,"Okay, we've come to the end.  Thanks for your time.","Okay, we've come to the end.  Thanks for your time.",,,
,,Amanda,,Thank you.,Thank you.,,,
,,,,,,,,
,,,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
,,Amanda,,,,,,
,,Interviewer,,,,,,
