Name of the file,Topic,Participant,CN,Dialogue,Translation,CS,Comments,
,,Interviewer,,"<Swahili>unaweza wataja na ni kwa sababu gani, na ni- na marafika- marafiki hawa ni wa hali gani?  Hasa sema kwamba wanatoka uhn, mijini ama wanatoka wa shambani</Swahili>?","<English>can you mention them and for what reason, and these friends are of what circumstances? In particular mention that they come from the cities or the rural</English>?",,,
,,Peter,,"Aah, <Swahili>marafiki wangu wengi, wametoka mashambani</Swahili>.","Aah, <English>many of my friends, they come from the rural</English>.",,,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,"But there are few of those who are from eh, you know, urban towns-","But there are few of those who are from eh, you know, urban towns-",,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"or urban cities.  <Swahili>Wale ambao wametoka mashambani</Swahili>, when I talk of buying a piece of land, at least those ones will understand me.","or urban cities.  <English>Those who have come from the farms</English>, when I talk of buying a piece of land, at least those ones will understand me.",CS,Unmarked.,
,,Interviewer,,Yea.,Yea.,,,
,,Peter,,"But tell a person from a, the city that you want to buy a piece of land, they wouldn't see the need.","But tell a person from a, the city that you want to buy a piece of land, they wouldn't see the need.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"<Swahili label='distance'>Wao wamekuwa wakijuwa</Swahili label='distance'> the piece of land they have, probably the stocks exchanges, so they would think of investing in such areas.","<English>They have grown up knowing</English> the piece of land they have, probably the stocks exchanges, so they would think of investing in such areas.",CS,SM: Distance,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"<Swahili>Watu ambao wametoka kwa mashambani</Swahili>, they want to build a  house, maybe they want to build estates, a rental estates.  But <Swahili label='distance'>wale watu ambao wako kwa</Swahili label='distance'> cities, they think of, you know they think differently from people from the rural areas.","<English>People who have come from the farms</English>, they want to build a  house, maybe they want to build estates, a rental estates.  But <English>those people who are in the</English> cities, they think of, you know they think differently from people from the rural areas.",CS,SM: Distance,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,<Swahili>Kwa hivo tunazungumza tu tofauti</Swahili>.,<English>So we just speak differently</English>.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,E ee.,E ee.,,,
,,Interviewer,,"Okay  Mhh (clears throat). Even as you talk this friends,","Okay  Mhh (clears throat). Even as you talk this friends,",,,
,,Peter,,Mhh.,Mhh.,,,
,,Interviewer,,"let's talk of, uh, the financial issues.  Do you have the same, like thoughts when you talk about financial issues with all your friends or there are some friends who have got another perspective of finances?","let's talk of, uh, the financial issues.  Do you have the same, like thoughts when you talk about financial issues with all your friends or there are some friends who have got another perspective of finances?",,,
,,Peter,,<Swahili>Bila shaka</Swahili>.,<English>No doubt</English>.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Nitakupea</Swahili> scenario <Swahili>ya</Swahili> my two friends.,<English>I will give you a</English> scenario <English>of</English> my two friends.,CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"<Swahili>Kuna rafiki yangu mmoja, yeye kazi yake ni kutumia pesa</Swahili>. He justs spends and spends and spends.","<English>There is one friend of mine, his job is to spend money</English>. He justs spends and spends and spends.",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Lakini kuna rafiki yangu mwingine</Swahili> whose work or whose idea is saving money.,<English>But there is my other friend</English> whose work or whose idea is saving money.,CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"Aah, I have a friend, I don't want to give names,","Aah, I have a friend, I don't want to give names,",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"but I have a friend who's, who just, you know, buys things, phones, glasses,","but I have a friend who's, who just, you know, buys things, phones, glasses,",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"drinks.  That is one, one of my friends.  And then I have another one who doesn't use anything, just basics, and the rest, he saves.","drinks.  That is one, one of my friends.  And then I have another one who doesn't use anything, just basics, and the rest, he saves.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,And what-,And what-,,,
,,Peter,,"So definitely I would use different language, financial language.  <Swahili>Nikienda kwa huyo anatumia</Swahili>,","So definitely I would use different language, financial language.  <English>If I go to that one who uses</English>,",CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"aah, <Swahili>itakuwa ngumu kuelewana na yeye.  Kwa sababu pia mimi sitaki kutumia kama anavyotumia</Swahili>, probably he has more money than? Than me.","aah, <English>it will be hard to understand with him/her. Because also I don’t want to spend the way he spends</English>, probably he has more money than? Than me.",CS,Unmarked.,
,,Interviewer,,Uh huhn.,Uh huhn.,,,
,,Peter,,"So I would use somebody who will show me <Swahili label='expertise'>hakiba haiozi</Swahili label='expertise'>.  That is eh, what you keep, you know, if you keep something, you just keep it.  It doesn't get eh, rotten,","So I would use somebody who will show me <English>savings don't rot</English>.  That is eh, what you keep, you know, if you keep something, you just keep it.  It doesn't get eh, rotten,",CS,SM: Expertise.,
,,Interviewer,,Mhh.,Mhh.,,,
,,Peter,,so to speak.  Yes.,so to speak.  Yes.,,,
,,Interviewer,,Okay. Do you talk about investment matters?,Okay. Do you talk about investment matters?,,,
,,Peter,,Yes we talk about investment matters.,Yes we talk about investment matters.,,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"<Swahili>Na kama mtu unaona ah, kuna pesa mingi</Swahili>,","<English>And if a person you see , there is a lot of money</English>,",,,
,,Interviewer,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,,
,,Peter,,"<Swahili>labda we utaenda hapo u- umuulize vile wewe pia unaweza na invest yake kwa sababu hii inaonyesha, ame</Swahili> invest <Swahili>pesa pale f- mzuri</Swahili>.",<English>maybe you will go there to-to ask him/her how you too can</English> invest <English>with his/hers because this shows he/she has</English> invest[d] <English>money there well</English>.,CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,<Swahili>Pale pesa ina- iwe ina</Swahili> generate -,<English>There the money it-it should be</English> generate[ing] -,CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,more money.,more money.,,,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,<Swahili>Kwa sababu we pia hauna pesa mingi</Swahili> you want to be like him.,<English>Kwa sababu we pia hauna pesa mingi</English> you want to be like him.,CS,Unmarked.,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,So </Swahili>utaenda umwambia akuonyesha pahali uta</Swahili> invest <Swahili>zako pia</Swahili>.,So </English>you will go tell him/her to show a place you will</English> invest <English>yours also</English>.,CS,Unmarked.,
,,Interviewer,,Okay.,Okay.,,,
,,Peter,,"<Swahili>Kama mtu hana pesa nyingi</Swahili>,","<English>If a person doesn't have a lot of money</English>,",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,"and I have some money, I'd talk to the person and maybe tell him where we can invest.","and I have some money, I'd talk to the person and maybe tell him where we can invest.",,,
,,Interviewer,,Mh hhh.,Mh hhh.,,,
,,Peter,,Yes.,Yes.,,,
,,Interviewer,,<Swahili>Naam. Nishukuru sana kwa muda wako</Swahili>.,<English>Yes. Thank you very much for your time</English>.,,,
,,Peter,,<Swahili>Asante sana</Swahili>.,<English>Thank you very much</English>.,,,
,,Interviewer,,<Swahili>Na nishukuru tena kwa jumla ya mawazo mmenipatia leo</Swahili>.,<English>And I thank you very much for the totality of your thoughts which you have given me today</English>.,,,
,,Peter,,<Swahili>Asante</Swahili>.,<English>Thank you</English>.,,,
,,Interviewer,,Ah.,Ah.,,,
,,Peter,,Thank you.,Thank you.,,,
,,Interviewer,,<Swahili>Siku njema</Swahili>.,<English>Good day</English>.,,,
,,Peter,,"A aa, <Swahili>nawe pia</Swahili>.","A aa, <English>and you too</English>.",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
