Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs,Comments,
,,Amanda,,"Yea, I have written one. Though not yet, I'm not fully done with it.  I could continue with writing books and I also write-","Yea, I have written one. Though not yet, I'm not fully done with it.  I could continue with writing books and I also write-",,,
,,Interviewer,,"What is the book about, can you just give me a small synopsis?","What is the book about, can you just give me a small synopsis?",,,
,,Amanda,,"Aah, the book is about ah, this ah family, a very well up to do family. And then all of a sudden the father-there are four kids. The father dies out of a long illness that ah, what is it called? <Swahili>Inamaliza mali ya familia</Swahili>. So that they were rich and they are left not rich.","Aah, the book is about ah, this ah family, a very well up to do family. And then all of a sudden the father-there are four kids. The father dies out of a long illness that ah, what is it called? <English>It depletes the wealth of the family</English>. So that they were rich and they are left not rich.",,,
,,Interviewer,,"Ooh, because of medical costs they have.","Ooh, because of medical costs they have.",,,
,,Amanda,,"Yes.  And then the mother is unable to cope up with the husband's death. After som:e five, six months, the mother dies. And uh, then, the mother before her death, she: left the four kids, they are very young, in the care of her sisters and brothers and the mother. And then these sisters and brothers instead of taking care of the four children, they come and sell the car, the house to the very tiny things in the house, to plates and cups. So that they are left=","Yes.  And then the mother is unable to cope up with the husband's death. After som:e five, six months, the mother dies. And uh, then, the mother before her death, she: left the four kids, they are very young, in the care of her sisters and brothers and the mother. And then these sisters and brothers instead of taking care of the four children, they come and sell the car, the house to the very tiny things in the house, to plates and cups. So that they are left=",,,
,,Interviewer,,With nothing. ,With nothing. ,,,
,,Amanda,,"With nothing, yes. So:=","With nothing, yes. So:=",,,
,,Interviewer,,Is it accept-did you-your wrote it in Kiswahili or English?,Is it accept-did you-your wrote it in Kiswahili or English?,,,
,,Amanda,,I wrote it in Kiswahili.,I wrote it in Kiswahili.,,,
,,Interviewer,,Wow.,Wow.,,,
,,Amanda,,Yes. So now I-this whole story is about how they struggled.,Yes. So now I-this whole story is about how they struggled.,,,
,,Interviewer,,That's where the story starts now.,That's where the story starts now.,,,
,,Amanda,,Now that's where the story is. How they struggled until the four of them are successful. ,Now that's where the story is. How they struggled until the four of them are successful. ,,,
,,Interviewer,,How far are you from finishing?,How far are you from finishing?,,,
,,Amanda,,"Now I'm done with the story, but I havent started the publishing process.","Now I'm done with the story, but I havent started the publishing process.",,,
,,Interviewer,,Mm hmm. ,Mm hmm. ,,,
,,Amanda,,I wrote it after Form Four. ,I wrote it after Form Four. ,,,
,,Interviewer,,"Aah, okay. So it's been lying somewhere all that time? Have you tried to speak to publishers?","Aah, okay. So it's been lying somewhere all that time? Have you tried to speak to publishers?",,,
,,Amanda,,I was to: speak to one of my lectureres.  Yea. Mm.,I was to: speak to one of my lectureres.  Yea. Mm.,,,
,,Interviewer,,Mm.,Mm.,,,
,,Amanda,,But I am yet to start.,But I am yet to start.,,,
,,Interviewer,,You need somebody-have you given somebody-given somebody {to read}.,You need somebody-have you given somebody-given somebody {to read}.,,,
,,Amanda,,{To: read}?  Yes.,{To: read}?  Yes.,,,
,,Interviewer,,Like a lecturer or professor?,Like a lecturer or professor?,,,
,,Amanda,,Not yet? I have never thought of involving a lecturer. I thought about it this semester.,Not yet? I have never thought of involving a lecturer. I thought about it this semester.,,,
,,Interviewer,,"Just give them to read, then they comment and then they can advice you. I'm sure they have published books themselves. Okay. So thank you for your time and yea. We-I'm glad that you could-could talk about this.","Just give them to read, then they comment and then they can advice you. I'm sure they have published books themselves. Okay. So thank you for your time and yea. We-I'm glad that you could-could talk about this.",,,
,,Amanda,,"Yea, thank you too.","Yea, thank you too.",,,
,,Interviewer,,Thank you.,Thank you.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
