Name of the file,Topic,Participant,CN,Dialogue,Translation,CSs/s,Comments
,,Interviewer,,Mm hhm.,Mm hhm.,,
,,Alvin,,"When uuh maybe I meet-I go to: my former school, to the teachers, I use purely English to speak to them.","When uuh maybe I meet-I go to: my former school, to the teachers, I use purely English to speak to them.",,
,,Interviewer,,Mm hhm.,Mm hhm.,,
,,Alvin,,"So again I have to-it's like maybe I go to buy: kwa mama mboga pale, ","So again I have to-it's like maybe I go to buy: kwa mama mboga pale, ",,
,,Interviewer,,Mm hhm.,Mm hhm.,,
,,Alvin,,"It will be like now that I'm a Swahili or maybe I know English very well, I go there ""how much are you selling tomatoes?"" you know-","It will be like now that I'm a Swahili or maybe I know English very well, I go there ""how much are you selling tomatoes?"" you know-",,
,,Interviewer,,Yea. Mmm.,Yea. Mmm.,,
,,Alvin,,So I have to like choose my words-I mean my language correctly.,So I have to like choose my words-I mean my language correctly.,,
,,Interviewer,,Mm hhm.,Mm hhm.,,
,,Alvin,,"And again when you are speaking to: my: dad, I have to like desert formal-I have to speak to him, using the correct language.  Depending on how he starts the conversation. Yea. And again when I’m speaking-for instance there are words I can use to: my friends, for instance somebody-you start talking to somebody and you-<Sheng label='quotation'>utamwambia, ""Ah, we acha za ovyo!""</Sheng label='quotation'> ","And again when you are speaking to: my: dad, I have to like desert formal-I have to speak to him, using the correct language.  Depending on how he starts the conversation. Yea. And again when I’m speaking-for instance there are words I can use to: my friends, for instance somebody-you start talking to somebody and you-<English>you will tell him ""Ah, stop that foolishness!""</English>",CS,SM: Quotation.
,,Interviewer,,Mmm.,Mmm.,,
,,Alvin,,Using Sheng. So you know you can't use that to your dad or maybe somebody you =,Using Sheng. So you know you can't use that to your dad or maybe somebody you =,,
,,Interviewer,,"Your lecturer, you professor. ","Your lecturer, you professor. ",,
,,Alvin,,"Your lecturer, you professor. You can't use that. Again when we are talking to, maybe my classmates, purely-to them I use purely Swahili. Pure. <Swahili label='elaboration'>Kiswahili sanifu</Swahili label='elaboration''>.","Your lecturer, you professor. You can't use that. Again when we are talking to, maybe my classmates, purely-to them I use purely Swahili. Pure. <English>Standard Swahili</English>.",CS,SM: Elaboration.
,,Interviewer,,Mm hhm.,Mm hhm.,,
,,Alvin,,"Yea. So I at times I do use-maybe I want an assistance at-maybe I've gone to see a lecturer,","Yea. So I at times I do use-maybe I want an assistance at-maybe I've gone to see a lecturer,",,
,,Interviewer,,Yea.,Yea.,,
,,Alvin,,"<Swahili>Kama ni: mhadhiri anayetufunza Kiswahili, nitazungumza naye Kiswahili sanifu.</Swahili>","<English>If it is the lecturer who teaches us Swahili, I will speak with him/her in standard Swahili</English>",,
,,Interviewer,,Mm hhm.,Mm hhm.,,
,,Alvin,,Yea. So I do use.,Yea. So I do use.,,
,,Interviewer,,So these-all these issues come into play when you are choosing a language to ss-to address somebody. ,So these-all these issues come into play when you are choosing a language to ss-to address somebody. ,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,Ookay. And have you ever tried to change the way you talk? Anything about the way you talk?,Ookay. And have you ever tried to change the way you talk? Anything about the way you talk?,,
,,Alvin,,"I think-definitely I've tried changing, ","I think-definitely I've tried changing, ",,
,,Interviewer,,Mm hhm.  Why?  Or when?,Mm hhm.  Why?  Or when?,,
,,Alvin,,"Now, trying to change as in uh developing or: like?-","Now, trying to change as in uh developing or: like?-",,
,,Interviewer,,"Mmm, like-you-you maybe-maybe you have a model somewhere of somebody who speaks in a certain way.  And you probably want to speak like them.  Something like that, have you? Have you tried that?","Mmm, like-you-you maybe-maybe you have a model somewhere of somebody who speaks in a certain way.  And you probably want to speak like them.  Something like that, have you? Have you tried that?",,
,,Alvin,00:02:07mins,"Mmm, I'd say that definitely I've tr-aa-I have.  Because when I came here, my first year, I think the Swahili I was speaking was different.  So when you are taught by=","Mmm, I'd say that definitely I've tr-aa-I have.  Because when I came here, my first year, I think the Swahili I was speaking was different.  So when you are taught by=",,
,,Interviewer,,How-how different was it?,How-how different was it?,,
,,Alvin,,"<Swahili>Uum, utunzi wa sentensi:</Swahili>","<English>Uum, the structuring of the sentences<English>",,
,,Interviewer,,Yea.,Yea.,,
,,Alvin,,"<Swahili>Istilahi nilizokuwa natumia: zilikuwa tofauti mno</Swahili>. I was not that good in Kiswahili.  <Swahili>Sasa nilipokuja, tukaanza kufunza sasa tulikuwa wale wafu-tulikuwa tunafunzwa na: aah-wahadhiri wali-walikuwa ni Wa-Waswahili</Swahili>. ","<English>The terminology I used to use was too different</English>. I was not that good in Kiswahili.  <English>Now, when I came, we started to learn.  We were getting taught by those lecturers who were Swahili</English>. ",,Lecturers who were Swahili means they come from the coast and speak what is considered to be the epitome on Swahili in Kenya.  
,,Interviewer,,Mm hmm.,Mm hmm.,,
,,Alvin,,"<Swahili>Sasa, walikuwa tuna-wanatufunza unaona ""Eh! Nyie wajamaa anavyozungumza Kiswahili. Kiswahili chake ni sanifu, anazungumza kwa ufasaha. Sasa unaona kwamba hata mi siku moja, nifike pale nizungumze jinsi anavyozungumza.  Hasa, sana sana kuna profesa mmoja ambaye alikuwa anatufunza, Profesa Ugechi. Alinifunza mwaka wa kwanza. Sasa alipokuwa ananifunza Kiswahili anachozungumza unashangaa anakwambia mimi nilikozaliwa, mimi nilizaliwa kule Kisi. Sasa una-unaona kwamba kumbe mtu anayetoka jamii fulani ana=</Swahili>","<English>Now, they used to teach us and we'd think, ""Wow! You guys, the way they speak Swahili!  His Swahili is standard, he speaks fluently.  Now you see that even me one day, let me get to that place, let me speak the way he speaks.  Especially, particularly there is one professor who used to teach us, Profesa Ugechi.  He taught me my first year.  Now when he used to teach me, the Swahili he spoke you were shocked when he tells you, I was born in Kisi.  Now you see that much to your surprise, a person who comes from certain societies can=</English>",,
,,Interviewer,,So it is possible <Swahili>kumbe</Swahili> it's possible to change.,So it is possible <English>afterall</English> it's possible to change.,CS,Unmarked.
,,Alvin,,<Swahili>Kumbe unaweza badilika hata mwenyewe uanze kuzungumza Kiswahili sanifu.  Sasa nafikiri kwa njia hiyo nilijaribu-nibadilike niwe kama yeye</Swahili>.  ,<English>So even you yourself can can afterall change and start to speak standard Swahili. Now I think because of that I tried to change to be like him</English>.  ,,
,,Interviewer,,Mm hmm.,Mm hmm.,,
,,Alvin,,<Swahili>Naam</Swahili>.,<English>Yes</English>.,,
,,Interviewer,,How about in-in eeh=,How about in-in eeh=,,
,,Alvin,,English?,English?,,
,,Interviewer,,Circumstances that are not classroom related. ,Circumstances that are not classroom related. ,,
,,Alvin,,Circumstances that are not=,Circumstances that are not=,,
,,Interviewer,,Outside there.,Outside there.,,
,,Alvin,,"Outside classroom.  Now I think, there are some people-for instance if you see the media personalities, <Swahili>utapata mtu anazungumza-</Swahili>for instance <Swahili>mimi</Swahili>,  there's one guy I really:-<Swahili>nilikuwa-</Swahili> I really like envy him. There's a guy called Ferdinand Omondi, he comes from my backyard now.","Outside classroom.  Now I think, there are some people-for instance if you see the media personalities, <English>you will find somebody speaking-</English>for instance <English>me</English>,  there's one guy I really:-<English>I used to-</English> I really like envy him. There's a guy called Ferdinand Omondi, he comes from my backyard now.",CS,Unmarked.
,,Interviewer,,Oh.,Oh.,,
,,Alvin,,"With him, he reports-<Swahili>anaweza zungumza lugha zote mbili kwa ufasaa</Swahili>.","With him, he reports-<English>he can speak both languages fluently</English>.",CS,
,,Interviewer,,Mm hmm.,Mm hmm.,,
,,Alvin,,"If he's reporting sports maybe at 7, uh, he'll talk purely <Swahili label='elaboration'>atazungumza Kiswahili sanifu na, u-u-utaona labda kama hujamsikiliza anapozungumza Kiingereza, utasikia , ""Huyu jamaa anafahamu tu""=</Swahili label='elaboration'>","If he's reporting sports maybe at 7, uh, he'll talk purely <English>he will speak in starndard Swahili and, you-you-you might think, if you hadn't heard him speak English, you will think, ""This guy must not know it""=</English>",CS,SM: Elaboration.
,,Interviewer,,<Swahili>Kiswahili</Swahili>.,<English>Swahili</English>.,,
,,Alvin,,"<Swahili label='accomodation'>Kiswahili tu</Swahili label='accomodation'>.  Come at 9, you'll find Ferdinand speaking English fluently (Interviewer yawns in the background).  <Swahili>Na ukimuona huyo utafikiri huyu jamaa Kiswahili hakifahamu</Swahili>.  ","<English>Just Swahili</English>.  Come at 9, you'll find Ferdinand speaking English fluently (Interviewer yawns in the background).  <English>And when you see him there you'll think this guy doesn't know Swahili</English>.  ",CS,
,,Interviewer,,Mmm. ,Mmm. ,,
,,Alvin,,"<Swahili>Kwa hiyo mara nyingi unaona-unaona huyu jamaa</Swahili>, I'll one day like-want to:=","<English>So many times you think, you think this guy</English>, I'll one day like-want to:=",CS,Unmarked.
,,Interviewer,00:04:17mins,So you-mostly for you it's about model. Some-you want to be like somebody.,So you-mostly for you it's about model. Some-you want to be like somebody.,,
,,Alvin,,"Like somebody, yes. ","Like somebody, yes. ",,
,,Interviewer,,How about your peers? ,How about your peers? ,,
,,Alvin,,My peers=,My peers=,,
,,Interviewer,,You can-like you want to:-to be like somebody who is your peer.  Your-your-a student like you. ,You can-like you want to:-to be like somebody who is your peer.  Your-your-a student like you. ,,
,,Alvin,,Yea. ,Yea. ,,
,,Interviewer,,Has that happened?,Has that happened?,,
,,Alvin,,"Yea. Ii-ii-there's a time it happened. For instance as now that I was speaking Swahili, <Swahili>nimepata kwamba kuna jamaa ambaye yeye Kiswahili-aah, maanake mimi mwanzo mwanzo nilikuwa na-nilikuwa nasumbuka, nilitatizika sana kwanza kuzo-kuwa na uzoefu. Kuzungumza Kiswahili.  Sasa kunajamaa fulani, ambaye tunasoma naye, so jamaa yeye alizalika:-alizaliwa kule: Pwani.</Swahili>","Yea. Ii-ii-there's a time it happened. For instance as now that I was speaking Swahili, <English>I have found that there is this guy who for for Swahili-aah, I mean I in the beginning I used to have a hard time, I had a very hard time at first getting used to-having familiarity.  To speak Swahili.  Now there is this guy, who we study with</English>, so <English>this guy he was born: he was born out there in Pwani</English>.",CS,
,,Interviewer,,Mmm.,Mmm.,,
,,Alvin,,<Swahili>Kiswahili chake ni kwamba anafahamu kabisa.  Anazungumza kwa ufasaha.  Sasa unamuiga unaona huyu jamaa siku moja mimi pia nizungumze. Ni-ni-nikuwe kwa lugha.  Nizungumze jinsi anavyozungumza</Swahili>.  ,"<English>His Swahili was such that he knew it competely.  He speaks fluently.  Now you copy him and you think, this guy, one day I too should speak.  I should grow in the language that I may talk the way he talks</English>.  ",,
,,Interviewer,,<Swahili>Na Sheng</Swahili>?,<English>And Sheng</English>?,,
,,Alvin,,Sheng-,Sheng-,,
,,Interviewer,,"Have you ever had uh-like you said there's this weak, lighter Sheng and there is a strong one.  ","Have you ever had uh-like you said there's this weak, lighter Sheng and there is a strong one.  ",,
,,Alvin,,But=,But=,,
,,Interviewer,,And you said you speak the-the lighter one. ,And you said you speak the-the lighter one. ,,
,,Alvin,,The lighter one.,The lighter one.,,
,,Interviewer,,Have you ever wanted to speak?,Have you ever wanted to speak?,,
,,Alvin,,"Mmm, no with Sheng, I don't think I've-","Mmm, no with Sheng, I don't think I've-",,
,,,,No.,No.,,
,,Alvin,,No. I've never wanted to like be fluent in Sheng=,No. I've never wanted to like be fluent in Sheng=,,
,,Interviewer,,English?,English?,,
,,Alvin,,English I've wanted to be fluent. I've wanted to be fluent.  ,English I've wanted to be fluent. I've wanted to be fluent.  ,,
,,Interviewer,,"You have-you have seen somebody speak and you're like ""I want to-""= ","You have-you have seen somebody speak and you're like ""I want to-""= ",,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"Have you tried to do that, to speak like somebody.","Have you tried to do that, to speak like somebody.",,
,,Alvin,,"Yea, definitely. There was a guy when back in high school [uncertain transcription] he speaks English and you're like ""He! This is the same guy that we-we're in the same school?"" But he speaks differently, and very fluently.  ","Yea, definitely. There was a guy when back in high school [uncertain transcription] he speaks English and you're like ""He! This is the same guy that we-we're in the same school?"" But he speaks differently, and very fluently.  ",,
,,Interviewer,,Yea.,Yea.,,
,,Alvin,,"So you're like ""Mm!  I think I need-I also need to change"".","So you're like ""Mm!  I think I need-I also need to change"".",,
,,Interviewer,,Mmm.,Mmm.,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,So you try to do that.,So you try to do that.,,
,,Alvin,,"You try doing that. Yea. And I think, in as much as at times you'll be faking-you will be faking it but-[uncertain transcription]they say you fake it until you-{you make it}","You try doing that. Yea. And I think, in as much as at times you'll be faking-you will be faking it but-[uncertain transcription]they say you fake it until you-{you make it}",,
,,Interviewer,,{you make it} (they both laugh). So you have done that?,{you make it} (they both laugh). So you have done that?,,
,,Alvin, ,"I, at times I've done that.","I, at times I've done that.",,
,Topics of Interest/ Youth Culture,Interviewer,,At times? ,At times? ,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"How about eeh:...the issues that-kind of topics you are discussing now-in your hostel, with your-your-your students. What kinds of topics are-are of interest to you? ","How about eeh:...the issues that-kind of topics you are discussing now-in your hostel, with your-your-your students. What kinds of topics are-are of interest to you? ",,
,,Alvin,00:06:23mins,"Uuh, my topic of interest?","Uuh, my topic of interest?",,
,,Interviewer,,Mmm. What are you talking about?  Like not just of your interest but what you talk about?,Mmm. What are you talking about?  Like not just of your interest but what you talk about?,,
,,Alvin,,"Oh okay. Generally.  Generally, in campus the-mostly in campus-one, people you will find instances people are talking about academics purely.  ","Oh okay. Generally.  Generally, in campus the-mostly in campus-one, people you will find instances people are talking about academics purely.  ",,
,,Interviewer,,Mm hmm.,Mm hmm.,,
,,Alvin,,"And I-I-I was doing that assignment I've been like trying to search through the net, go through the books and it-nothing is forthcoming.  So you know that is one, academics people will talk about.  ","And I-I-I was doing that assignment I've been like trying to search through the net, go through the books and it-nothing is forthcoming.  So you know that is one, academics people will talk about.  ",,
,,Interviewer,,Yea.,Yea.,,
,,Alvin,,"Another one is maybe sports.  The transfer window is here, who is moving to?","Another one is maybe sports.  The transfer window is here, who is moving to?",,
,,Interviewer,,This is the premiere league.,This is the premiere league.,,
,,Alvin,,This is the premiere league season. You will always hear about it. ,This is the premiere league season. You will always hear about it. ,,
,,Interviewer,,Mm hmm.,Mm hmm.,,
,,Alvin,,Another thing is maybe politics.,Another thing is maybe politics.,,
,,Interviewer,,And why don’t people discuss about local football? That much.,And why don’t people discuss about local football? That much.,,
,,Alvin,,"Local football, I think eh, the performance.","Local football, I think eh, the performance.",,
,,Interviewer,,I do hear-are you a fan of any of the locals' clubs?,I do hear-are you a fan of any of the locals' clubs?,,
,,Alvin,,Mmm. I used to but not that much.  I'm not-[uncertain transcription],Mmm. I used to but not that much.  I'm not-[uncertain transcription],,
,,Interviewer,,How about you-the English premiere league?,How about you-the English premiere league?,,
,,Alvin,,English premier league I'm a Manchester fan (laughter by both).  So you know=,English premier league I'm a Manchester fan (laughter by both).  So you know=,,
,,Interviewer,,(continued laughter) I'm also one so I'm happy to hear that. Eh he?,(continued laughter) I'm also one so I'm happy to hear that. Eh he?,,
,,Alvin,,"Anyways it depends now if you look at the local football, I think the performance is not up to the mark that somebody can envy to-you want to get involved.  ","Anyways it depends now if you look at the local football, I think the performance is not up to the mark that somebody can envy to-you want to get involved.  ",,
,,Interviewer,,Yea. Mmm.,Yea. Mmm.,,
,,Alvin,,"For instance if you look at Harambee Stars, mostly nobody wants to be associated with the dissap-all the time it's dissapointment-all the time [uncertain transcription]","For instance if you look at Harambee Stars, mostly nobody wants to be associated with the dissap-all the time it's dissapointment-all the time [uncertain transcription]",,
,,Interviewer,,"You go to the clubs, Goromayags I see they are fighting, they throw stones-","You go to the clubs, Goromayags I see they are fighting, they throw stones-",,
,,Alvin,,Yeah so.,Yeah so.,,
,,Interviewer,,<Swahili label='elaboration'>Ni nini hii kutupa mawe</Swahili label='elaboration'>? Why-why can't we people do that? Have you ever seen people throwing stones in the English premier league?,<English>What is this thing of throwing stones</English>? Why-why can't we people do that? Have you ever seen people throwing stones in the English premier league?,CS,SM: Elaboration.
,,Alvin,,"No, I think the reason is that uh-mostly, our people are not disciplined.   Discipline is really wanting there. Because-and then another thing, the Luos, the reason why I think there is so much-Luos and uh-maybe there are so-too much egocentric.  ","No, I think the reason is that uh-mostly, our people are not disciplined.   Discipline is really wanting there. Because-and then another thing, the Luos, the reason why I think there is so much-Luos and uh-maybe there are so-too much egocentric.  ",,
,,Interviewer,,Mm hmm.,Mm hmm.,,
,,Alvin,00:08:07mins,They want to win and if they don't win-you-you know when=,They want to win and if they don't win-you-you know when=,,
,,Interviewer,,They want to win at all cost.,They want to win at all cost.,,
,,Alvin,,"At all cost. When you have high expectations and uh, you-you-you come in disappointing-disappointed, you tend to look for other ways of expressing your anger. ","At all cost. When you have high expectations and uh, you-you-you come in disappointing-disappointed, you tend to look for other ways of expressing your anger. ",,
,,Interviewer,,Mmm.,Mmm.,,
,,Alvin,,And the Luos already defined that in the stones. ,And the Luos already defined that in the stones. ,,
,,Interviewer,,Mm hmm. They're using stones.,Mm hmm. They're using stones.,,
,,Alvin,,Using stones to like=,Using stones to like=,,
,,Interviewer,,Throwing stones.,Throwing stones.,,
,,Alvin,,"People, even innocent people they just-you like-you: really [uncertain transcription]=","People, even innocent people they just-you like-you: really [uncertain transcription]=",,
,,Interviewer,,People who are not even involved in actually the football.,People who are not even involved in actually the football.,,
,,Alvin,,"Yea, because seriously you're disappointed, maybe you've been beaten in a match. There are people travelling from work, you go into the streets cause a lot of trouble.","Yea, because seriously you're disappointed, maybe you've been beaten in a match. There are people travelling from work, you go into the streets cause a lot of trouble.",,
,,Interviewer,,Why beat these people in the streets? If there are people to be beaten=,Why beat these people in the streets? If there are people to be beaten=,,
,,Alvin,,You beat your opponents.,You beat your opponents.,,
,,Interviewer,,I think it's the players.,I think it's the players.,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,"No, even your own players because they didn't-they didn’t perform.","No, even your own players because they didn't-they didn’t perform.",,
,,Alvin,,They didn't perform well.,They didn't perform well.,,
,,Interviewer,,Or sack them or something.,Or sack them or something.,,
,,Alvin,,Yea. So:=,Yea. So:=,,
,,Interviewer,,"Aah, what other topics? Apart-you had said academics.","Aah, what other topics? Apart-you had said academics.",,
,,Alvin,,"Sports, politics.","Sports, politics.",,
,,Interviewer,,Politics.,Politics.,,
,,Alvin,,Especially those=,Especially those=,,
,,Interviewer,,[uncertain transcription],[uncertain transcription],,
,,Alvin,,"No, especially politics people talk about the national politics-","No, especially politics people talk about the national politics-",,
,,Interviewer,,Mm hmm.,Mm hmm.,,
,,Alvin,,"Especially now that there are a lot of appointments, there are a lot of like-gov-there's a lot of uuh, wrangles between the senate: and the national assembly:  And now=","Especially now that there are a lot of appointments, there are a lot of like-gov-there's a lot of uuh, wrangles between the senate: and the national assembly:  And now=",,
,,Interviewer,,So you'd be talking that with your people?,So you'd be talking that with your people?,,
,,Alvin,,"Yea. People do talk about it. And another thing, especially after watching a news-you see after watching news you now start ta-analyzing.  But-everything  about it.","Yea. People do talk about it. And another thing, especially after watching a news-you see after watching news you now start ta-analyzing.  But-everything  about it.",,
,,Interviewer,,Mmm.,Mmm.,,
,,Alvin,,"Another thing is politics, at the level: at the university level.  Somebody comes and tells you, ""<Swahili label='quotation'>Bwana:</Swahili label='quotation'> I want to-"" Because right now elections are supposed to be-be-be held, probably at the beginning of next semester. ","Another thing is politics, at the level: at the university level.  Somebody comes and tells you, ""<English>Ma:n</English> I want to-"" Because right now elections are supposed to be-be-be held, probably at the beginning of next semester. ",CS,SM: Quotation.
,,Interviewer,,This is AMUSA?,This is AMUSA?,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,Mm hmm.,Mm hmm.,,
,,Alvin,,"So you find somebody tells you, ""You know I have interest"".  You now start talking you have interest and-like right now with me, I've got like five friends who are vying for the same position.  You approach-somebody else tells you-I equally have friends who want to-be the secre-gen.  So how-how are you going to handle these people? So you know you're like, ""Oh noo"".  You'll have to now like play it cool.","So you find somebody tells you, ""You know I have interest"".  You now start talking you have interest and-like right now with me, I've got like five friends who are vying for the same position.  You approach-somebody else tells you-I equally have friends who want to-be the secre-gen.  So how-how are you going to handle these people? So you know you're like, ""Oh noo"".  You'll have to now like play it cool.",,
,,Interviewer,00:10:02mins,You don't have an interest yourself?,You don't have an interest yourself?,,
,,Alvin,,Noo. Politics=,Noo. Politics=,,
,,Interviewer,,You seem to be someone who can be: a good=,You seem to be someone who can be: a good=,,
,,Alvin,,No. ,No. ,,
,,Interviewer,,Student leader.,Student leader.,,
,,Alvin,,"Noo, politics has never been my thing.  I don't know why, uh, it has never been=","Noo, politics has never been my thing.  I don't know why, uh, it has never been=",,
,,Interviewer,,But you articulate-you e:-you express yourself very well-and I think that is the only qualification a politician needs.,But you articulate-you e:-you express yourself very well-and I think that is the only qualification a politician needs.,,
,,Alvin,,"No.  Right now I don't think that. Most people don't look at that. Cuz for one, in-let's say in campus, ","No.  Right now I don't think that. Most people don't look at that. Cuz for one, in-let's say in campus, ",,
,,Interviewer,,<Swahili>Watu wanataka nini</Swahili>?,<English>What do people want</English>?,,
,,Alvin,,"People for one, people will want you to associate you go to like-you associate with a lot of people, you like-when you go-when it's maybe clubbing, you're there clubbing buying people alcohol. If it's maybe:, uuh, the match there, you're there you're watching with them you-which maybe-which I do. But apart from that, you'll need to like-you know-oil their palms, [uncertain transcription]it happens here.","People for one, people will want you to associate you go to like-you associate with a lot of people, you like-when you go-when it's maybe clubbing, you're there clubbing buying people alcohol. If it's maybe:, uuh, the match there, you're there you're watching with them you-which maybe-which I do. But apart from that, you'll need to like-you know-oil their palms, [uncertain transcription]it happens here.",,
,,Interviewer,,Ah! [uncertain transcription] It happens here?!  <Swahili>Wanafunzi wanapata wapi pesa</Swahili>? ,Ah! [uncertain transcription] It happens here?!  <English>Where do students get money<English>? ,CS,
,,Alvin,,"There are people who have uh-they give a lot of cash. Or maybe in the morning they tell you breakfast.  Mm, you come into:=","There are people who have uh-they give a lot of cash. Or maybe in the morning they tell you breakfast.  Mm, you come into:=",,
,,Interviewer,,"""It's on me. Just sit and""=","""It's on me. Just sit and""=",,
,,Alvin,,"Just have breakfast. And at that particular point, because elections are held by the end of-they're held at the end of the semester.  When people are very broke.  So they are able to compromise a lot.  They easily compromise.  (laughter)","Just have breakfast. And at that particular point, because elections are held by the end of-they're held at the end of the semester.  When people are very broke.  So they are able to compromise a lot.  They easily compromise.  (laughter)",,
,,Interviewer,,(They both laugh) That's interesting.  ,(They both laugh) That's interesting.  ,,
,,Alvin,,"They'll easily compromise.  You'll have to go to state, you'll find people drinking-maybe it's [uncertain transcription], you give one thousand ""Hey! These people be served with bottles.""","They'll easily compromise.  You'll have to go to state, you'll find people drinking-maybe it's [uncertain transcription], you give one thousand ""Hey! These people be served with bottles.""",,
,,Interviewer,,Yea.,Yea.,,
,,Alvin,,"You go to another club, ""These people should be served"" So it's like they're singing-","You go to another club, ""These people should be served"" So it's like they're singing-",,
,,Interviewer,,Mmm.,Mmm.,,
,,Alvin,,Another thing=,Another thing=,,
,,Interviewer,,So it's a money business,So it's a money business,,
,,Alvin,,It is.,It is.,,
,,Interviewer,,Just like the way it is nationally. ,Just like the way it is nationally. ,,
,,Alvin,,It is.,It is.,,
,,Interviewer,,Mmm.,Mmm.,,
,,Alvin,,"And uh, the last one there were allegations that some students were sponsored by people who have interest in the shops.  Somebody wants to=","And uh, the last one there were allegations that some students were sponsored by people who have interest in the shops.  Somebody wants to=",,
,,Interviewer,,"Aah, because these students determine who gets the shop.","Aah, because these students determine who gets the shop.",,
,,Alvin,,"I see, this guy is likely to win, so let me be like a stakeholder.  ","I see, this guy is likely to win, so let me be like a stakeholder.  ",,
,,Interviewer,,A sponsor.,A sponsor.,,
,,Alvin,,A sponsor in that. So money: is another= ,A sponsor in that. So money: is another= ,,
,,Interviewer,,Money changes hands?,Money changes hands?,,
,,Alvin,,Yea.,Yea.,,
,,Interviewer,,Ok. So what are:-you are now in third year?,Ok. So what are:-you are now in third year?,,
,,Alvin,,This is my third year.,This is my third year.,,
,,Interviewer,,What are your plans after: you finish?,What are your plans after: you finish?,,
,,Alvin,,"Aaa, I would like uh-when I finish, I wanted-I take BA Kiswahili and I major in interpretation. Because us, in our faculty you can be: maybe you major in <Swahili>fasihi, lugha na isimu</Swahili> language and linguistics, <Swahili>au tasfiri na ukalimani</Swahili>.  So <Swahili>mimi</Swahili> I di-I do translation.  So I want maybe when I finish up, if I'm able to get money-some finances, I come back for my masters but I wanted to do masters if I can get-I can now a different field, not translation I go to-now I do a media course.  ","Aaa, I would like uh-when I finish, I wanted-I take BA Kiswahili and I major in interpretation. Because us, in our faculty you can be: maybe you major in <English>literature, language and linguistics</English> language and linguistics, <English>or translation and interpretation</English>.  So <English>me</English> I di-I do translation.  So I want maybe when I finish up, if I'm able to get money-some finances, I come back for my masters but I wanted to do masters if I can get-I can now a different field, not translation I go to-now I do a media course.  ",CS,
,,Interviewer,,"Aa, but still in Kiswahili.","Aa, but still in Kiswahili.",,
,,Alvin,,Yea. In Kiswahili.  A media course in Kiswahili.,Yea. In Kiswahili.  A media course in Kiswahili.,,
,,Interviewer,,A media course. ,A media course. ,,
,,Alvin,,Yea. Cuz aah-I've been-I've had that passion=,Yea. Cuz aah-I've been-I've had that passion=,,
,,Interviewer,,"You have interest, for the media=","You have interest, for the media=",,
,,Alvin,,For the media.,For the media.,,
,,Interviewer,,Wewe you want to be like Ferdinand.,Wewe you want to be like Ferdinand.,,
,,Alvin,,(laughs) Whether it's print or uh whatever the [uncertain transcription]=,(laughs) Whether it's print or uh whatever the [uncertain transcription]=,,
,,Interviewer,,Whether it's print or=,Whether it's print or=,,
,,Alvin,,Whether it's print or electronic media.  Wherever. Here.,Whether it's print or electronic media.  Wherever. Here.,,
,,Interviewer,,"Mmm.  Okay, all the best.  And thank you for your time.","Mmm.  Okay, all the best.  And thank you for your time.",,
,,Alvin,,"Okay, thank you.","Okay, thank you.",,
,,Interviewer,,Good. ,Good. ,,
