Topic ,Participant ,Ln,Dialouge,Translation,Cs/Dm,Comments
,Lily 2,,"Yah(agree) with them also, you know obviously before you with someone you have to listen to what they really love like<Swahili>utakuwa unasikia ile lugha anapeda kutumia sana</Swahaili>so like Laura she speaks a lot of Swahili and English but mainly English so I know obviously I would love also, I'll also love the Swahili and English because now that is what she preffers mmh.","Yah(agree) with them also, you know obviously before you with someone you have to listen to what they really love like<English>you will be listening the language which you like using</English>so like Laura she speaks a lot of Swahili and English but mainly English so I know obviously I would love also, I'll also love the Swahili and English because now that is what she preffers mmh.",,
,Interviwer,,"Ok, and have you ever in your life try to change the way you speak?","Ok, and have you ever in your life try to change the way you speak?",,
,Lily 2,,"Yes, and it went so hay wire.","Yes, and  it went so hay wire.",,
,Interviwer,,Hay wire was that?…(not clear),Hay wire was that?…(not clear),,
,Lily 2,,"Ok, I was in school, I was in high school and then<Swahili>nilipata kama</Swahili>had gone for suspension because I was speaking a lot of mother toungue, so when I came back they I have a knew resolution so I was like ok from now onwards bacause Swahili I can't make so I said from now onwards I will speaking to everyone in English so everywhere I was walking I was speakig English, English, English and everyone, feedback came ""Loreta<Swahili>unaringa, Loreta unaringa siku hizi unaringa""","Ok, I was in school, I was in high school and then<English>I found when I</English>had gone for suspension because I was speaking a lot of mother toungue, so when I came back they I have a knew resolution so I was like ok from now onwards bacause Swahili I can't make so I said from now onwards I will speaking to everyone in English so everywhere I was walking I was speakig English, English, English and everyone, feedback came ""Loreta<English>you showeing off, Loreta you are showing off nowadays""",,
,Interviwer,,"<Swahili>Umeanza kuringa siku hizi</Swahili>did it have something to do with, what were you suspended, can you tell me why you were suspended.","<English>You have started to show-off nowadays</English>did it have something to do with, what were you suspended, can you tell me why you were suspended.",,
,Lily 2,,I was suspended for speaking mother toungue.,I was suspended for speaking mother toungue,,
,Interviwer,,Oooh! So when you came back you will know what to..(interrupted),Oooh! So when you came back you will know what to..(interrupted),,
,Lily 2,,"I wanted to at list, because it was like everywhere..(interrupted)","I wanted to at list, because it was like everywhere..(interrupted)",,
,Interviwer,,So it was like a forced thing to do.,So it was like a forced thing to do,,
,Lily 2,,"Ok, it was a forced thing I was trying to change but it didn’t go well coz now everywhere I went nobody want to speak to you because you are just speaking in English untill I had to stop I left it<Swahili>nikasema hapana silazima.","Ok, it was a forced thing I was trying to change but it didn’t go well coz now everywhere I went nobody want to speak to you because you are just speaking in English untill I had to stop I left it<English>I said no it's not a must. ",,
,Interviwer,,"And the risk of suspension again, you are in back in your Deluo.","And the risk of suspension again, you are in back in your Deluo.",,
,Lily 2,,"No, now I was avoiding talking, you know l'll talk a lot and you know the more you talk a lot the more prone Luo you are so even I was avoiding people that will make speak mother toungue coz my name was written at around 4.55 AM morning meaning that’s preps time in the morning at five in the morning so meaning probably<Swahili>hiyo ni</Swahili>time<Swahili>nikiwa natembea nikienda</Swahili>class.","No, now I was avoiding talking, you know l'll talk a lot and you know the more you talk a lot the more prone Luo you are so even I was avoiding people that will make speak mother toungue coz my name was written at around  4.55 AM morning meaning that’s preps time in the morning at five in the morning so meaning probably<English>that is</English>time<English>when I am going to</English>class.",,
,Interviwer,,You wake up in the morning (interrupted),You wake up in the morning (interrupted),,
,Lily 2,,"Honestly I think I just meet someone and said, maybe I just said something like<Swahili>""Leo nimechoka""</Swahili>and maybe preffect was passing because it was for 4:50 AM I don’t see how I can do mother toungue right now. (both laugh). ","Honestly I think I just meet someone and said, maybe I just said something like<English>""today am tired ""</English>and maybe preffect was passing because it was for 4:50 AM I don’t see how I can do mother toungue right now. (both laugh)",,
,Interviwer,,So any other incidence apart from that one that was forced on you because of suspension any other time you have tried to change.,So any other incidence apart from that one that was forced on you because of suspension any other time you have tried to change.,,
,Lily 2,,"Ok, have tried a new language have tried French in high school, the French was nice, form 1, form 2 was nice but when it reached form 3 it was kind of hard and I had to say no no no I can't.","Ok, have tried a new language have tried French in high school, the French was nice, form 1, form 2 was nice but when it reached form 3 it was kind of hard and I had to say no no no I can't",,
,Interviwer,,"But like English or Deluo the language that you already know then there is away you speak it like you said ""Laura has some accent that she tries to speak Luo but he had an accent. Have you tried to change the way you speak like Luo.","But like English or Deluo the language that you already know then there is away you speak it like you said ""Laura has some accent that she tries to speak Luo but he had an accent. Have you tried to change the way you speak like Luo.",,
,Lily 2,,No I have never tried why should I?,No I have never tried why should I?,,
,Interviwer,,So when it is the Luo you speak at home is the same Luo you speak to people here.,So when it is the Luo you speak at home is the same Luo you speak to people here.,,
,Lily 2,,Yah(agree) it's the same way coz that’s what have been tought but you know once in a while you get a new vocabulary and you will have to fill it in. ,Yah(agree) it's the same way coz that’s what have been tought but you know once in a while you get a new vocabulary and you will have to fill it in.,,
,Interviwer,,"And am not just talking about vocabulary am talking about because I think there is, you talked  about ""wenging""(show of) there is a possibility of wenging(show of) in Luo.","And am not just talking about vocabulary am talking about because I think there is, you talked  about ""wenging""(show of)  there is a possibility of wenging(show of) in Luo.",,
,Lily 2,,"No mother toungue you cannot…(not clear) ok there is only, there is this Luo from Alego(place) that it is very intresting the way the talk it's very nice but you know if you are not from that side it’s just , it's like British English you know if you are not British you cannot just speak it so there are levels....(interrupted)","No mother toungue you cannot…(not clear) ok there is only, there is this Luo from Alego(place) that it is very intresting the way the talk it's very nice but you know if you are not from that side it’s just , it's like British English you know if you are not British you cannot just speak it so there are levels....(interrupted)",,
,Interviwer,,But have you tried to…to imitate it have you ever tried or there is no reason to do that.,But have you tried to…to imitate it have you ever tried or there is no reason to do that.,,
,Lily 2,,"Have tried but not all the time because you will forget you know them it's part of them but for you, you will forget like I have tried a couple of time but it doesn’t work out.","Have tried but not all the time because you will forget you know them it's part of them but for you, you will forget like I have tried a couple of time but it doesn’t work out.",,
,Interviwer,,How about English.,How about English.,,
,Lily 2,,"English have tried ""wenging' maybe just amongst my friends just to brag.","English have tried ""wenging' maybe just amongst my friends just to brag.",,
,Interviwer,,This braging thing so you also try sometimes.,This braging thing so you also try sometimes.,,
,Lily 2,,"Maybe you meet in<Sheng>tao</Swahili>and you are all friends you know sometimes it's just good yah, from campus and want them to speak mother toungue you know you speak in English and they know you are learned.","Maybe you meet in<Slang>town</English>and you are all friends you know sometimes it's just good yah, from campus and want them to speak mother toungue you know you speak in English and they know you are learned.",,
,Interviwer,,"Would  it be like you want to fit, be like some people.","Would  it be like you want to fit, be like some people.",,
,Lily 2,,"No, not really just to.(interrupted)","No, not really just to.(interrupted)",,
,Interviwer,,"Because there is this group have been in campus also and I know there is this we use to call them ""us guys"" we are that category of people.","Because there is this group have been in campus also and I know there is this we use to call them ""us guys"" we are that category of people.",,
,Lily 2,,"Ok, no in campus have never not really wanted to fit in any group but have just wanted to just brag just to show off a little bit ok like when I joined.(interrupted)","Ok, no in campus have never not really wanted to fit in any group but have just wanted to just brag just to show off a little bit ok like when I joined.(interrupted)",,
,Interviwer,,Even though you people think am. so Luo am also.(interrupted),Even though you people think am . so Luo am also...(interrupted),,
,Lily 2,,"Like when I joined back in October everyone was like ""aaii! You speak a lot of mother tongue and you don’t look like it"" so I had to like keep up with abit of English so that they can know at list I know English or something so people look at you people judge you by the way you dress,by the way you look so they will be like<Swahili>""unakaa hivi unaongea kijaka mingi aje nini mbaya na wewe</Swahili>am like<Swahili>pole nitanaaza kuongea English basi ndio muamini najua English.  ","Like when I joined back in October everyone was like ""aaii! You speak a lot of mother tongue and you don’t look like it"" so I had to like keep up with abit of English so that they can know at list I know English or something so people look at you people judge you by the way you dress,by the way you look so they will be like<English>""you like this, you speak a lot of Luo what's wrong with you</English>am like<English>sorry I will start speaking in English then so that you believe that I know English.",,
,Interviwer,,"How about because I know you are studing media science do you feel a pressure like ""you know that I am in media science I need to change the way I am talking.","How about because I know you are studing media science do you feel a pressure like ""you know that I am in media science I need to change the way I am talking.",,
,Lily 2,,Yah(agree) you know coz when you go to the studio there is this guy we called him Gilly he is always like practice English practice your Swahili read newpapers and that is not what I really do so you know you should be like you will have stop mother tongue coz when I want to represent in English or Swahili it's a challege for me coz I really love mother tongue so.(interrupted),Yah(agree) you know coz when you go to the studio there is this guy we called him Gilly he is always like practice English practice your Swahili read newpapers and that is not what I really do so you know you should be like you will have stop mother tongue coz when I want to represent in English or Swahili it's a challege for me coz I really love mother tongue so.(interrupted),,
,Interviwer,,You wish you were given a chance to present in mother tongue what.(interrupted),You wish you were given a chance to present in mother tongue what.(interrupted),,
,Lily 2,,Ok mother tongue I cannot present in mother tongue again.,Ok mother tongue I cannot present in mother tongue again.,,
,Interviwer,,Why? ,Why?,,
,Lily 2,,"Ok, for me like if you know Okelo him he can present in mother tongue but me I can't coz I don’t have the accent, first they will hear the accent they will have to know what words you know in mother tongue but you know those words they use in the radio sations I wonder if you listen radio sation I don't really hear all of them coz they are very hard.","Ok, for me like if you know Okelo him he can present in mother tongue but me I can't coz I don’t have the accent, first they will hear the accent they will have to know what words you know in mother tongue but you know those words they use in the radio sations I wonder if you listen radio sation I don't really hear all of them coz they are very hard.",,
,Interviwer,,Even though you think you are native and fluent speaker of..(not clear) you are a fluent speaker of…,Even though you think you are native and fluent speaker of…(not clear) you are a fluent speaker of…,,
,Lily 2,,I am a fluent speaker I can speak fluently for long but not deep words but shallowing here but for English you know I want to present in English coz at list English my vocabulary is good my diction is good my choice of words is very nice.,I am a fluent speaker I can speak fluently for long but not deep words but shallowing here but for English you know I want to present in English coz at list English my vocabulary is good my diction is good my choice of words is very nice.,,
,Interviwer,,"It's already good so you don’t feel the need to change or sometimes you feel ""aaii that girl her diction must be"" so I also want to try and...(interrupted)","It's already good so you don’t feel the need to change or sometimes you feel ""aaii that girl her diction must be"" so I also want to try and...(interrupted)",,
,Lily 2,,"Ok, at times you feel that way but not always.","Ok, at times you feel that way but not always.",,
,Interviwer,,You feel you can get by with your own you can servive with your own English.,You feel you can get by with your own you can servive with your own English.,,
,Lily 2,,"Ok, I believe my English is good so I don’t really preffer to be like someone else or something.","Ok, I believe my English is good so I don’t really preffer to be like someone else or something.",,
,Interviwer,,"You just said that you don’t read newpapers with you are not into new paper, you not into news papers a lot and new are you into news?","You just said that you don’t read newpapers with you are not into new paper, you not into news papers a lot and new are you into news?",,
,Lily 2,,Am into news coz at list that I will take my time to watch and do not really focus you know can just watch news and know this what it's happening but for news papers you will have to read you will have to take story from this page and as per now my course  is forcing me to really try and get into news paper coz that's what am going to.,Am into news coz at list that I will take my time to watch and do not really focus you know can just watch news and know this what it's happening but for news papers you will have to read you will have to take story from this page and as per now my course  is forcing me to really try and get into news paper coz that's what am going to.,,
,Interviwer,,"Anything that’s a problem because of our education system the way you probably just choose a course without, don’t you think sometimes it’s good to have that passion…(not clear have always love news, don’t you think it's natural for that person to go in to media?","Anything that’s a problem because of our education system the way you probably just choose a course without, don’t you think sometimes it’s good to have that passion…(not clear have always love news, don’t you think it's natural for that person to go in to media?",,
,Lily 2,,"Yah(agree), for that person it's nice from now all she/he has to work on is just the technical part of it and maybe to pass her grades but for person I want to take law personally yah, but now am in media science I have to keep up with people who..(interrupted)","Yah(agree), for that person it's nice from now all she/he has to work on is just the technical part of it and maybe to pass her grades but for person I want to take law personally yah, but now am in media science I have to keep up with people who..(interrupted)",,
,Interviwer,,Did you find yourself in media?,Did you find yourself in media?,,
,Lily 2,,"Ok media science it was a bit cheaper than law, law you know it's a very expensive so that’s so I had to go something(interrupted)","Ok media science it was a bit cheaper than law, law you know it's a very expensive so that’s so I had to go something.. (interrupted)",,
,Interviwer,,Because of cost.,Because of cost.,,
,Lily 2,,"Yah, cost so I had to go to something  that at list it's good too but somewhere there.","Yah, cost so I had to go to something  that at list it's good too but somewhere there.",,
,Interviwer,,So it was not your first choice ,So it was not your first choice.,,
,Lily 2,,"No, it was not never","No, it was not never.",,
,Interviwer,,What issues do you discuss with your friends(both laughs ) like what topics for example do you.,What issues do you discuss with your friends (both laughs ) like what topics for example do you.,,
,Lily 2,,"Ok, mainly we talk about fashion..(interrupted)","Ok, mainly we talk about fashion..(interrupted)",,
,Interviwer,,Am like you have some really nice bangle.,Am like you have some really nice bangle.,,
,Lily 2,,"Ok, mainly we talk about fashion, we talk about men we cannot lie, we talk about men we talk about love we talk about very little issues but main thing is always boys, boys boys yah.","Ok, mainly we talk about fashion, we talk about men we cannot lie, we talk about men we talk about love we talk about very little issues but main thing is always boys, boys boys yah.",,
,Interviwer,,Boys are boys done.,Boys are boys done.,,
,Lily 2,,"Yah(agree) you ok, we will be like judging the way they are dressed.","Yah(agree) you ok, we will be like judging the way they are dressed.",,
,Interviwer,,That’s why saw and saw is seeing saw and saw now(report),That’s why saw and saw is seeing saw and saw now(report),,
,Lily 2,,"You know this things yah, we will discussing about who is dating who we will discussing...(interrupted)","You know this things yah, we will discussing about who is dating who we will discussing...(interrupted)",,
,Interviwer,,So if I was to put a reconder like this in your room those are the issues I will hear.,So if I was to put a reconder like this in your room those are the issues I will hear.,,
,Lily 2,,"Of course mainly you will be hearing about especially clothing<Swahili>hey ""hiyo inanipendeza""</Swahili>especially when you are seated together..(interrupted)","Of course mainly you will be hearing about especially clothing<English>hey ""I like that""</Englishi>especially when you are seated together..(interrupted)",,
,Interviwer,,<Swahili>Hii nguo inanitoa aje?,<English>How does this cloth fit me?,,
,Lily 2,,"Yah(agree) and then we like sittting in a places where people passes so you can say ""that girl is smart yah<Swahili>umeona hizo viatu? Hizi viatu alinunu wapi""</Swahili>ok that is what ladies discuss mainly gossiping a little yah, but also...(interrupted)","Yah (agree) and then we like sittting in a places where people passes so you can say ""that girl is smart yah,<English>have you seen those shoes?where did you buy these shoes""</English>ok that is what ladies discuss mainly gossiping a little yah, but also...(interrupted)",,
,Interviwer,,What are those gossip things?,What are those gossip things?,,
,Lily 2,,Maybe you are not interms with someone you know like ladies<Swahili>hukosana mara…(not clear) utakuwa unambia mtu aki huyo mischana anakuwa naniudhi hata akifanya nini</Swahili>let me talk about it and stuff.,"Maybe you are not interms with someone you know like ladies<English>you didn’t study then…(not clear) you will be telling someone "" that girl bothers me even when she does something</English>let me talk about it and stuff.",,
,Interviwer,,Other topics like?,Other topics like?,,
,Lily 2,,"Ok, maybe ok, it depends with the environment like if you are in class if you are in the library you will keep to track but if you are ((interrupted).","Ok, maybe ok, it depends with the environment like if you are in class if you are in the library you will keep to track but if you are ((interrupted).",,
,Interviwer,,Although Laura told me something that you people where in the library<Swahili>sijuhi lini</Swahili>and you were talking about holiday going into Lamu<Swahili>sijuhi</Swahili>going where.,Although Laura told me something that you people where in the library<English>I don’t know when</English>and you were talking about holiday going into Lamu<English>I don’t know</English>going where.,,
,Lily 2,,Maybe she was with Slyvia but not me ok you know mmh! first I can say the things we discus come with how you are like for example you know ladies talk about things they way they just happen not like I just sit and say<Swahili >leo naenda kuongea hii na ile</Swahili>maybe Facebook hey!<Swahili>umesoma hii</Swahili>story thats what we discuss yah and then we talk about...(interrupted) ,Maybe she was with Slyvia but not me ok you know mmh! first I can say the things we discus come with how you are like for example you know ladies talk about things they way they just happen not like I just sit and say<English>am going today to talk about this and that</English>maybe Facebook hey!<English>have you read this</English>story thats what we discuss yah and then we talk about...(interrupted),,
,Interviwer,,There is something on Facebook or on WhatsApp (social media ).,There is something on Facebook or on WhatsApp (social media ).,,
,Lily 2,,"Yah(agree) on Facebook, no not really am not on WhatsApp.","Yah(agree) on Facebook, no not really am not on WhatsApp.",,
,Interviwer,,"You are just on Facebook, Twitter.","You are just on Facebook, Twitter.",,
,Lily 2,,"Am on Facebook, Twitter am not an active member I also email a lot yah maily it always Facebook so you know it will be like<Swahili>""ona huyu kitu amepost Facebook ona huyu kitu amepost</Swahili>Facebook then we talk about it for hours and hours and then again something passes again...(not clear)  you can miss something to talk about yah we will always be talking and talking and talking maybe I dont know thats why maybe people find you talkative and then people say am loud so I am use to it.","Am on Facebook, twitter am not an active member I also email a lot yah maily it always Facebook so you know it will be like<English>""look at this thing posted on Facebook, look at this thing posted on</Eglish>Facebook then we talk about it for hours and hours and then again something passes again...(not clear)  you can miss something to talk about yah we will always be talking and talking and talking maybe I dont know thats why maybe people find you talkative and then people say am loud so I am use to it.",,
,Interviwer,,Why always this issues of relationship and Facebook..(interrupted) ,Why always this issues of relationship and Facebook..(interrupted),,
,Lily 2,,"Ok, ladies are fragile you know this is a fragile this..(interrupted)","Ok, ladies are fragile you know this is a fragile this..(interrupted)",,
,Interviwer,,"Passion why, why those specific topic politics economy, you know economy is doing bad in this days.","Passion why, why those specific topic politics economy, you know economy is doing bad in this days.",,
,Lily 2,,"Ok, you know we just talk about things that intrest us you know you can talk about something that and then I talk about things that you now much about I cannot talk about politics and economics and especially I don’t no nothing about economics and politics why should I discus about politicians yet I know like a heart full of them so I'll rather talk about things I am aware.","Ok , you know we just talk about things that intrest us you know you can talk about something that and then I talk about things that you now much about I cannot talk about politics and economics and especially I don’t no nothing about economics and politics why should I discus about politicians yet I know like a heart full of them so I'll rather talk about things I am aware.",,
,Interviwer,,You just know MP(minister of parliament) probably and ...(interrupted),You just know MP(minister of parliament) probably and ...(interrupted),,
,Lily 2,,"The way ministers discuss about minister or something deputy or the president but the rest I leave to the people who are intrested you know obviously men are intrested in football they know all the players but me I also talk about things I know I talk about clothes I talk about the latest fashion I'll talk about the what boost me, intrest me.","The way ministers discuss about minister or something deputy or the president but the rest I leave to the people who are intrested  you know obviously men are intrested in football they know all the players but me I also talk about things I know I talk about clothes I talk about the latest fashion I'll talk about the what boost me, intrest me.",,
,Interviwer,,The kind of music that is…..(interrupted),The kind of music that is…..(interrupted),,
,Lily 2,,Yah(agree) exactly we talk about musicians a lot whom is your prefferd musicians the best song so you know people different prefferences and also it depends with the people you are with like you can with people you can talk about fashion like when I go to my friends like with a friend of mine called Morries when I am with him we talk about cards playing poker now then the topics of discussion<Swahili>itakuwatu</Swahili>cards maybe a few class stuff but..(interrupted),Yah(agree) exactly we talk about musicians a lot whom is your prefferd musicians the best song so you know people different prefferences and also it depends with the people you are with like you can with people you can talk about fashion like when I go to my friends like with a friend of mine called Morries when I am with him we talk about cards playing poker now then the topics of discussion<English>it will be</English>cards maybe a few class stuff but..(interrupted),,,
,Interviwer,,So it also depends with the person who is this person so you relate topics with people.,So it also depends with the person who is this person so you relate topics with people.,,,
,Lily 2,,So people exactly.,So people exactly.,,,
,Interviwer,,"But am sure you meet people who like football and you don’t like football, what would you talk about.","But am sure you meet people who like football and you don’t like football, what would you talk about.",,,
,Lily 2,,"Ok, I will tell them I preffer premier league team, like I preffer, I love Arsenal(Football team)..(interrupted)","Ok, I will tell them I preffer premier league team, like I preffer, I love Arsenal(Football team)..(interrupted)",,,
,Interviwer,,So you know abit of that so that’s nice lets talk about it.(both laugh),So you know abit of that so that’s nice lets talk about it.(both laugh),,,
,Lily 2,,"Ok, I am a Arsenol fun a big Arsenal fun but actually if…(interrupted)","Ok, I am a Arsenal fun a big Arsenal fun but actually if…(interrupted)",,,
,Interviwer,,Now you are not on my side because I am MANU(Manchester united) and I don’t like that..how about like somebody who like talk about economy his influention is doing is…(not proper grammer) would you engange in a discussion?,Now you are not on my side because I am MANU(Manchester united) and I don’t like that..how about like somebody who like talk about economy his influention is doing is…(not proper grammer) would you engange in a discussion?,,,
,Lily 2,,"Rarely ok..(both laugh) I'll just see one maybe one word that I know, I will be so bored, maybe<Swahili>nitasema kitu moja</Swahili>maybe how the economy has affected us maybe it's going to do everything expensive but after just look at the person let him talk then when is done I'll go. ","Rarely ok..(both laugh) I'll just see one maybe one word that I know, I will be so bored, maybe<English>I will say one thing</English>maybe how the economy has affected us maybe it's going to do everything expensive but after just look at the person let  him talk then when is done I'll go. ",,,
,Interviwer,,And just know like<Swahili>nimeshika kabisa.,And just know like<English>I got it very well.,,,
,Lily 2,,"I will yah, mmh!<Swahili>ati alafu nini hiyo umesema</Swahili>trying to keep him up don’t even contribute.","I will yah, mmh!<English>then what is that you are saying</English>trying to keep him up don’t even contribute.",,,
,Interviwer,,"Thank you very much, I think we have had a very good discussion with you thank you for your time.","Thank you very much, I think we have had a very good discussion with you thank you for your time.",,Poor conclusion done by the interviwer.,
