Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/DM/SS,Comments,,,,,,
,,Fred,,Pissed off.,Pissed off.,,,,,,,,
,,Interviewer,,Bothered.,Bothered.,,,,,,,,
,,Fred,,"Aah, you see when a person says for example <Swahili label='exemplification'>“kula”</Swahili label='exemplification'> instead of <Swahili>“kura” ama eeh mtu-watu mmeenda kupiga kura ye [uncertain transcription] mtu aseme “huyu ile siku si tuliamka tukaenda kupiga kula” (he laughs)</Swahili>. So-so you think eeh, maybe whatever you wanted- what may piss those people off is that whatever you wanted them to get he does not get it in the correct way.  And they don’t get it in the way that you wanted it to be:-<Swahili>tuseme</Swahili> you meant <Swahili label='exemplification'>“kula” ye akasikia “kura”. Mm? Ye akasikia ""kura"" sasa unaona kuna</Swahili label='exemplification'> then <Swahili>unapata watu wanakasirika kwasababu hawapati</Swahili> the-your information correctly. I think that is one of the reasons. But again some of our people are just too petty. If you-if somebody knows that instead of saying-instead of saying <Swahili label='exemplification'>“kula”</Swahili label='exemplification'> I say <Swahili>“kura”</Swahili> and people understood that that is my way of speaking why should they now get to be bothered and they know that's how I do it? So some people are just too petty. Like you see mostly we’ll say now for me eti-these people the-being petty is always assocated with women.  They'll say when a women is pregnant they say ”oh my neck” <Swahili>sijui nininini. Hata kama hakuna kitu na</Swahili> leg. These people that make they get pissed off <Swahili>sio ninii</Swahili>, they understand but they-<Swahili>sijui ni nini</Swahili> they are just becoming too petty. <Swahili>Hawana shida. Ni</Swahili> just <Swahili>ni mtu</Swahili> petty <Swahili>na wanapenda tu kusumbuasumbua</Swahili> but <Swahili>hawana shida yoyote.</Swahili>","Aah, you see when a person says for example <English>“eat”</English> instead of <English>“vote” or eeh a person-people you go to cast a vote s/he [uncertain transcription] person says ""this person, that day did we not wake up to go cast an eat” (he laughs)</English>. So-so you think eeh, maybe whatever you wanted- what may piss those people off is that whatever you wanted them to get he does not get it in the correct way.  And they don’t get it in the way that you wanted it to be:-<English>let's say</English> you meant <English>“eat” and s/he heard ""vote"". Mm? S/he heard ""vote"" now you see there is</English> then <English>you find people get angry because they don't get</English> the-your information correctly. I think that is one of the reasons. But again some of our people are just too petty. If you-if somebody knows that instead of saying-instead of saying <English>“eat”</English> I say <English>“vote”</English> and people understood that that is my way of speaking why should they now get to be bothered and they know that's how I do it? So some people are just too petty. Like you see mostly we’ll say now for me eti-these people the-being petty is always assocated with women.  They'll say when a women is pregnant they say ”oh my neck” <English>I don't know what.  Even if there isn't anything with the</English> leg. These people that make they get pissed off <English>they are not</Englishi>, they understand but they-<English>I don't know what it is</English> they are just becoming too petty. <English>They don't have a problem. It's</English> just <English>it's a person</English> petty <English>and they just like to bother</English> but <English>they don't have any [real] problem.</English>",CS,SM: Quotation.,,,,,,
,,Interviewer,00:37:24mins,"Mm hmm. And eh, there is no way you can-do you think you can change the way you talk?","Mm hmm. And eh, there is no way you can-do you think you can change the way you talk?",,,,,,,,
,,Fred,,Yes.,Yes.,,,,,,,,
,,Interviewer,,Now can you get rid of the Luo accent at this stage?,Now can you get rid of the Luo accent at this stage?,,,,,,,,
,,Fred,,This stage (he laughs),This stage (he laughs),,,,,,,,
,,Interviewer,,"Can you say now from today, I’m not speaking English with Luo accent? From now?","Can you say now from today, I’m not speaking English with Luo accent? From now?",,,,,,,,
,,Fred,,"It’s-it can change but you see it’s a matter of practice.  Mm cuz they say practice makes perfect but even some people you can remove them from the village but you cannot remove the village out of them. So (he laughs heartily). <Swahili>Unaweza ukasema ukaamua na useme-hata mimi kuna nyakati nilikuwa nimesema kuna wakati wa</Swahili> information week <Swahili>with</Swahili> Alex [uncertain about last name] <Swahili>alikuwa amekuja huku kwetu</Swahili>.  So when he came <Swahili>alituongelesha alituongelesha kisha kuna mtu alikuwa sasa MC alikuwa ni</Swahili> boy <Swahili>fulani huwa ni</Swahili> 4th year <Swahili>hapa [uncertain transcription] hapa shuleni kwetu hapa</Swahili>, yes.  So <Swahili>aki-mwenyewe mtu alikuwa anazungumza anasimama anasema Kiswahili</Swahili> and <Swahili>nimekuwa nimesema “aah hapo sasa, hapo ndipo”. [uncertain transcription] anaongea kila kitu.</Swahili> Something new and me I don’t know what information science is in Kiswahili <Swahili>na yeye alikuwa anasema sijui kitivo cha nininini</Swahili>, [uncertain transcription] (he laughs). ","It’s-it can change but you see it’s a matter of practice.  Mm cuz they say practice makes perfect but even some people you can remove them from the village but you cannot remove the village out of them. So (he laughs heartily). <English>You can say you decide and you say-even me there was a time I had said during the time of</English> information week <English>with</English> Alex [uncertain about last name] <English>he had come out here to us</English>.  So when he came <English>he spoke to us then there was a person who was this MC, he was a</English> boy <English>certain who is [in]</English> 4th year <English>here [uncertain transcription] here at our school here</English>, yes.  So <English>when he-himself he was standing and speaking in Swahili</English> and <English>I was saying ""Aah, there now. THAT'S where it's at!"" [uncertain transcription] he spoke everything.</English> Something new and me I don’t know what information science is in Kiswahili <English>and he, he was saying I don't know ""faculty of I don't know what""</English>, [uncertain transcription] (he laughs). ",CS,Unmarked.,,,,,,
,,Fred (cont.),,"So <Swahili>kulingana na jinsi ambavyo alikuwa anasema hata mimi nilikuwa nimesema sitaongea Kiswahili-ah sitaongea Kiingereza</Swahili> the whole day. <Swahili>Hata hikuchukua</Swahili> thirty minutes (he laughs) but I know with practice-mm because <Swahili>huwa</Swahili> a person speaks mostly in their environment. Let's say we change in your environment. Yea, <Swahili>tuseme sasa mtu atoke hapa huende mahali ambapo ile lugha inazungumzwa. Tuseme ni Kiswahili peke hakuna lugha nyingine ambapo tena inazungumzwa pale</Swahili>. So you find that with time you’ll also change your way of speaking. Just like <Swahili>mtu atoke hapa aenda kusoma huko Marekani. Akae-akae huko</Swahili> let’s say for <Swahili>hata</Swahili> over ten years. <Swahili>Unajua wakati sasa mtu anarudi</Swahili> at least the-<Swahili>jinsi ambavyo alikuwa anatumia lugha itakuwa imebadilika na jinsi ambavyo atakuwa anaitumia wakati kama huu</Swahili>. Like we used to be told </Swahili>kuna</Swahili>-there’s some presenter who went out in America. I think he stayed there for nine years. When he came back now he had developed that the American accent of speaking but I think that was for-that piece was forced. I think nine-nine years does not qualify you to-now to change your accent the way you speak and now you want to imitate the way they do it. But some people do it.  But to me I think it should even be over 25 years that's when now I will get some other people’s accent. (he laughs)","So <English>based on how he was speaking even me I was said I won't speak Swahili-ah I won't speak English</English> the whole day. <English>I didn't take even</English> thirty minutes (he laughs) but I know with practice-mm because <English>usually</English> a person speaks mostly in their environment. Let's say we change in your environment. Yea, <English>let's say now a  person leaves here and goes to a place where that language is spoken. Let's say it's only Swahili there is no other language which is spoken there</English>. So you find that with time you’ll also change your way of speaking. Just like <English>a person leaves here and goes to study out there in America. S/he lives out there</English> let’s say for <English>even</English> over ten years. <English>You know when the person returns</English> at least the-<English>way that s/he was using the language will have changed from the way s/he will be using it now</English>. Like we used to be told </English>there is</English>-there’s some presenter who went out in America. I think he stayed there for nine years. When he came back now he had developed that the American accent of speaking but I think that was for-that piece was forced. I think nine-nine years does not qualify you to-now to change your accent the way you speak and now you want to imitate the way they do it. But some people do it.  But to me I think it should even be over 25 years that's when now I will get some other people’s accent. (he laughs)",CS,Unmarked.,,,,,,
,,Interviewer,,So the environment will determine=,So the environment will determine=,,,,,,,,
,,Fred,,the environment,the environment,,,,,,,,
,,Interviewer,,because the environment will dictate to you what language you will use. So with the time instead of using the Dholuo noun shift you’ll switch it to English and with time that accent=,because the environment will dictate to you what language you will use. So with the time instead of using the Dholuo noun shift you’ll switch it to English and with time that accent=,,,,,,,,
,,Fred,,"That accent now <Swahili>unapata ile</Swahili> accent <Swahili>ya Kiluo, na ile</Swahili> accent <Swahili>ya Kiluo sasa inaisha [uncertain transcription] kwasababu hapa watu</Swahili> this article that you are not [uncertain transcription] but here in campus you see it’s very difficult. Because let’s say like a room, all we are-all of us are Luos. When I go to class, three quarters of us are Luos there in our class.  When I go to choir in the middle of the choir, you’ll find that almost a quarter of those people there are Luos. So there are just Luos, Luos, Luos everywhere so that <Swahili>ile ni</Swahili>change I'll say that from today I want to change, it’s going to be very difficult because my environment the people that are near me <Swahili>ni wa Luo. Na kila wakati tukikuwanajaa hakuna disc kama ile za</Swahili> high school. ","That accent now <English>you find that</English> accent <English>of Luo, and that</English> accent <English>of Luo now it is finishing [uncertain transcription] because here people</English> this article that you are not [uncertain transcription] but here in campus you see it’s very difficult. Because let’s say like a room, all we are-all of us are Luos. When I go to class, three quarters of us are Luos there in our class.  When I go to choir in the middle of the choir, you’ll find that almost a quarter of those people there are Luos. So there are just Luos, Luos, Luos everywhere so that <English>that I</English>change I'll say that from today I want to change, it’s going to be very difficult because my environment the people that are near me <English>are Luo. And all the time when there are a lot of us there isn't a disc like that one of</English> high school. ",CS,Unmarked.,,,,,,
,,Fred (cont.),,"At least <Swahili>kama ile</Swahili> system <Swahili>ya</Swahili> high school <Swahili>ingekuwa hapa</Swahili> at least that <Swahili>ingesaidia kidogo</Swahili>. Because in high school <Swahili>ama</Swahili> primary <Swahili>kama ungepatikana unaongea Kijaluo hiyo ingekuwa ni kiboko ile mbaya mbovu. Lakini sasa hapo ukikuja hapa</Swahili> provided you communicate <Swahili>hata</Swahili> there’s no [uncertain transcription] about that. In fact there’s association-associations quite a number, <Swahili>ukienda utasikia sijui</Swahili> there Kinyumusa, that is Kisumu district <Swahili>sijui</Swahili> what association, <Swahili>kuna hii ya Waluya</Swahili>. So you find that in all these things-these meetings that they attend them, the language that they speak there is again Luo. In class you have Luos, in room you have Luos so it’s very difficult <Swahili>mtu abadilike ama a</Swahili> change <Swahili>jinsi ambavyo anatumia lugha ingekuwa ngumu</Swahili>. ","At least <English>like that</English> system <English>of</English> high school <English>if it was here</English> at least that <English>would help a little</English>. Because in high school <English>or</English> primary <English>if you were found speaking Luo that would be a very bad beating.  But now when you come here</English> provided you communicate <English>even</English> there’s no [uncertain transcription] about that. In fact there’s association-associations quite a number, <English>if you go you will here I don't know, ukienda utasikia sijui</English> there Kinyumusa, that is Kisumu district <English>I don't know</English> what association, <English>there is this of the Luhya</English>. So you find that in all these things-these meetings that they attend them, the language that they speak there is again Luo. In class you have Luos, in room you have Luos so it’s very difficult <English>for a person to change or s/he</English> change <English>the way that s/he uses language would be hard</English>. ",CS,Unmarked.,,,,,,
,,Interviewer,,"You’ve talked about-what you’re saying is reinforcement.  That is reinforcement in high school. But now negative, that is negative reinforcement where you’d be beaten if you speak=","You’ve talked about-what you’re saying is reinforcement.  That is reinforcement in high school. But now negative, that is negative reinforcement where you’d be beaten if you speak=",,,,,,,,
,,Fred,,"Yea, if you speak, they’ll beat you.","Yea, if you speak, they’ll beat you.",,,,,,,,
,,Interviewer,,If you speak Luo in-in school=,If you speak Luo in-in school=,,,,,,,,
,,Fred,,Yea they beat you.,Yea they beat you.,,,,,,,,
,,Interviewer,,So you think enforcement plays a big role.,So you think enforcement plays a big role.,,,,,,,,
,,Fred,,"Yea it plays a big role. Yea because umm, let’s say in high school-let’s say <Swahili>mi nikitoka</Swahili>-in fact the incident that I remember I was in Class Four. That was my first time cuz eeh, from my Class One to Class Three I was in another school and my dad would put up a home somewhere. So I had to transfer to that school that was nearest to our home. So when I reached there I think it was my second day in that school, it was on a Tuesday so we went now. And each and every evening they used to provide disc, I don’t know whether you know what a disc is.  There are those wooden things they give you if you speak Dholuo, yani if you speak your native language you are given. So there’s a lady <Swahili>alikuwa ananionea tu</Swahili>-she knew that I never-in fact by then I never knew any Kiswahili or any English cuz primary,nursery <Swahili>ni Dholuo mtakuwa mnafundishwa</Swahili> in Dholuo. <Swahili>Mkifika</Swahili> Class One no English something, Kiswahili but everything Dholuo. <Swahili>Sasa watakuwa wanasema</Swahili> aah let's say they were-they're teaching you about uuuh, <Swahili>tuseme hata-aah-tuseme hata ""kikombe""</Swahili>.  They’ll tell you what that <Swahili>kikombe</Swahili> is in your mother tongue.  That <Swahili label='quotation'>hii nyii mnaita ""okombe""</Swahili label='quotation'>, then in Kiswahili <Swahili label='quotation'>tunaita ""kikombe""</Swahili label='quotation'>, then in English you call that “cup”. So they start in Dholuo then you see if you want to teach someone you start from what that person knows. Yea, from known to unknown. <Swahili>Huwezi anzia upa</Swahili>known <Swahili>ulikuja</Swahili> known. ","Yea it plays a big role. Yea because umm, let’s say in high school-let’s say <English>me when I leave</English>-in fact the incident that I remember I was in Class Four. That was my first time cuz eeh, from my Class One to Class Three I was in another school and my dad would put up a home somewhere. So I had to transfer to that school that was nearest to our home. So when I reached there I think it was my second day in that school, it was on a Tuesday so we went now. And each and every evening they used to provide disc, I don’t know whether you know what a disc is.  There are those wooden things they give you if you speak Dholuo, yani if you speak your native language you are given. So there’s a lady <English>she was just picking on me</English>-she knew that I never-in fact by then I never knew any Kiswahili or any English cuz primary,nursery <English>it's Luo, you were bring taught</English> in Dholuo. <English>When you get to</English> Class One no English something, Kiswahili but everything Dholuo. <English>Now they would be saying</English> aah let's say they were-they're teaching you about uuuh, <English>let's say even-aah-let's say even ""cup""</English>.  They’ll tell you what that <English>cup</English> is in your mother tongue.  That <English>this you all call ""okombe""</English>, then in Kiswahili <English>we call it ""kikombe""</English>, then in English you call that “cup”. So they start in Dholuo then you see if you want to teach someone you start from what that person knows. Yea, from known to unknown. <English>You can't start [from not the]</English>known <English>then come to the</English> known. ",CS,SM: Quotation.,,,,,,
,,Fred (cont.),,"So <Swahili>walikuwa wanatuanzisha na Dholuo</Swahili>.  So in fact <Swahili>hata Dholuo</Swahili> we used to be taught it.  From Class One to Class Three <Swahili>mnafundishwa Dholuo</Swahili>. So-like-the in short that we knew Dholuo. So-<Swahili>na hata uko</Swahili> Class One to Three you spoke in that Dholuo <Swahili>hakuna kitu mli-ngefanyiwa</Swahili>.  They expected you still to-because that Dholuo you’re being taught as a subject, <Swahili>ilikuaga</Swahili>. So when we reach Class Four <Swahili>mi sasa hapo nilikuwa nimezowea Dholuo. Eh kisha tulikaa Class Four mnasikia kuna disc</Swahili>. It’s a different school <Swahili>pia</Swahili>. New friends and nobody knows you there. You're the-your second day. So <Swahili>demu fulani akaniita</Swahili>. So <Swahili>yeye aliitwa ati-</Swahili>the last person which has that disc <Swahili>ndio anaenda huko mbele. Kisha unaita</Swahili> who gave it to you. <Swahili>Kisha huyo dame akanita</Swahili> eeh that-that-that sequence. So I asked just in Dholuo <Swahili label='exemplification'>""ati (says sentence in Dholuo?)</Swahili label='exemplification'> And-<Swahili>ati</Swahili> “whom did you give the disc?” (he laughs heartily) Ooh now they say you see now? Mwalimu was saying <Swahili>ulikuwa una</Swahili>harass <Swahili>unaona ameenda amezungumza Dholuo pale?</Swahili> So <Swahili>nikaletwa huko mbele ati “we una-we una-we ni kichwa gumu sana unazungumza Dholuo kwa</Swahili> assembly” So see I just had to keep quiet and they beat me beat me alot. Yea, <Swahili>walinipigapiga</Swahili>.  But I learnt my lesson. ","So <English>they used to start us with Luo</English>.  So in fact <English>even</English> Dholuo we used to be taught it.  From Class One to Class Three <English>you are taught Luo</English>. So-like-the in short that we knew Dholuo. So-<English>and even there in</English> Class One to Three you spoke in that Dholuo <English>there isn't anything that they would do to you</English>.  They expected you still to-because that Dholuo you’re being taught as a subject, <English>it was</English>. So when we reach Class Four <English>I now at that point was accustomed to Luo. Eh then we sat in Class Four you hear there is a disc</English>. It’s a different school <English>also</English>. New friends and nobody knows you there. You're the-your second day. So <English>a certain girl called me</English>. So <English>she was called, that is-</English>the last person which has that disc <English>is the one that has to go up front.  Then you call the person</English> who gave it to you. <English>Then that girl called me</English> eeh that-that-that sequence. So I asked just in Dholuo <English>""Say</English> </Luo>(says sentence in Dholuo)</Luo> And-</English>Say</English> “whom did you give the disc?” (he laughs heartily) Ooh now they say you see now? Mwalimu was saying <English>you were</English>harass[ing] <English>you see, he has gone and spoken Luo there?</English> So <English>I was called to the front ""you, you are-you are-you have a very hard head. You are speaking Luo in</English> assembly!” So see I just had to keep quiet and they beat me beat me alot. Yea, <English>they beat me</English>.  But I learnt my lesson. ",CS,SM: Exemplification.,,,,,,
,,Fred (cont.),,"And now, now I used to not to speak [uncertain transcription] now at least I had started knowing a little, a little. So <Swahili label='quotation'>mtu anasema “twende tucheze” sababu wewe utakua unasema ""twenda tucheze""</Swahili label='quotation'>. [uncertain transcription] Because [uncertain transcription].  (he laughs). So in the end at least-but I think it also helped me. That disc <Swahili>hata</Swahili> it helped me because now I used to also-to style because it’s very painful <Swahili>we kuwa na kila</Swahili> evening <Swahili>unatwangwatwangwa unatwangwatwangwa eti umesema Dholuo</Swahili>. So <Swahili>nilikuwa na</Swahili>-so <Swahili>sikuwa naongea</Swahili> mostly. Just keep quiet. But when I reached Class Five I think now-now I could ask someone <Swahili label='quotation'>akiomba maandazi “basi unipatie maandazi, nipe maandazi”</Swahili label='quotation'> You’d still be-you’re still not that fluent so I think <Swahili>ilikuwa inasaidia</Swahili>. This-this reinforcement idea <Swahili>unakuta tu usiongee hiyo lugha</Swahili> because <Swahili>unajua ukirudi</Swahili> home, <Swahili>ni</Swahili> Dholuo. Anywhere you go it’s just Dholuo so at least whenever they’re using those reinforcement at least <Swahili>ilikuwa inatusaidia</Swahili>. Yea, so I think <Swahili>hiyo pia ni njia moja wapo ambayo ilikuwa inasaidia katika kukuza lugha kama matumizi ya hizi lugha geni Kiswahili na Kiingereza</Swahili>.","And now, now I used to not to speak [uncertain transcription] now at least I had started knowing a little, a little. So <English>a person says ""let's go play"" because you will be saying ""let's go play"" (he says it using incorrect grammar)</English>. [uncertain transcription] Because [uncertain transcription].  (he laughs). So in the end at least-but I think it also helped me. That disc <English>even</English> it helped me because now I used to also-to style because it’s very painful <English>you to be every</English> evening <English>you are beat up, because you are speaking Luo</English>. So <English>I was</English>-so <English>I wasn't speaking</English> mostly. Just keep quiet. But when I reached Class Five I think now-now I could ask someone <English>to ask for maandazi ""get me some maandazi, give me maandazi""</English> You’d still be-you’re still not that fluent so I think <English>it was helping me</English>. This-this reinforcement idea <English>you just find that you don't speak that language</English> because <English>you know when you return</English> home, <English>it's</English> Dholuo. Anywhere you go it’s just Dholuo so at least whenever they’re using those reinforcement at least <English>it was helping us</English>. Yea, so I think <English>that also is one way that was helping in expanding the language like the use of these foreign languages Swahili and English</English>.",CS,SM: Quotation.,,,,,,
,,Interviewer,,"Mm. From what you have said I’ve realized one thing. You say in the rural areas, it’s preventing you from talking in mother tongue. And in the urban areas it’s preventing you-it’s all about preventing you from talking in…in Kiswahili. So there is a disc, but a disc for those who will talk in Kiswahili.","Mm. From what you have said I’ve realized one thing. You say in the rural areas, it’s preventing you from talking in mother tongue. And in the urban areas it’s preventing you-it’s all about preventing you from talking in…in Kiswahili. So there is a disc, but a disc for those who will talk in Kiswahili.",,,,,,,,
,,Fred,,Yea.,Yea.,,,,,,,,
,,Interviewer,,So that it's only English.  And from the rural areas there’s a disc for those who will talk in? {native language},So that it's only English.  And from the rural areas there’s a disc for those who will talk in? {native language},,,,,,,,
,,Fred,,{Native language},{Native language},,,,,,,,
,,Interviewer,,"So do you think this system of education is-is really fair? I think then there should be some measure so that those children in rural areas and those in urban areas be put in the same environment because you do the same exam that’s why in performance of languages in most of these rural areas you’ll find that they really perform very poorly. Apart from specific schools. But now when you come to the urban areas they don’t have a problem with the English, which would be the medium of the-of-of eeeh-the medium that they’ve been using, answering the questions in exams, they are okay with it. But now when you go to the rural areas they have a problem and yet you write the same exam. ","So do you think this system of education is-is really fair? I think then there should be some measure so that those children in rural areas and those in urban areas be put in the same environment because you do the same exam that’s why in performance of languages in most of these rural areas you’ll find that they really perform very poorly. Apart from specific schools. But now when you come to the urban areas they don’t have a problem with the English, which would be the medium of the-of-of eeeh-the medium that they’ve been using, answering the questions in exams, they are okay with it. But now when you go to the rural areas they have a problem and yet you write the same exam. ",,,,,,,,
,,Fred,00:45:57mins,"Yes. And now that’s now the way the system now has really been putting in a challenge. Because you are-for example whatever you’d say I have a classmate when I was telling her that we used to be taught mother tongue <Swahili label='quotation'>alikuwa anacheka ati “nyi mnafundishwa</Swahili label='quotation'> mother tongue [uncertain transcription] primary” And so <Swahili>nilikuwa namwambia si</Swahili> Class One to Three <Swahili>ni</Swahili> mother tongue <Swahili>unafundishwa</Swahili> and it’s just a subject they bring to you <Swahili>eti</Swahili> connect these words, the compounds, this compound things in English. When you connect words. They were also doing them to us but when you take [says a Luo word] plus [speaks in Luo] it becomes [another Luo word] is now the giraffe. So you see that’s how we call it. So that giraffe in Dholuo, it has a compound name so you see, those are the things they used to bring to us. So-and I told her <Swahili>ati sisi tulikuwa tunapewa disc tukizungumza</Swahili> mother tongue. So <Swahili>alikuwa ananiambia wao wanapewa disc wakizungumza Kiswahili, ye alikuwa anatoka Mombasa</Swahili>. ","Yes. And now that’s now the way the system now has really been putting in a challenge. Because you are-for example whatever you’d say I have a classmate when I was telling her that we used to be taught mother tongue <English>she used to laugh that ""you guys were taught</English> mother tongue [uncertain transcription] primary” And so <English>I used to tell her that we</Swahili> Class One to Three <English>it's</English> mother tongue <English>you are taught</English> and it’s just a subject they bring to you <English>to say</English> connect these words, the compounds, this compound things in English. When you connect words. They were also doing them to us but when you take [says a Luo word] plus [speaks in Luo] it becomes [another Luo word] is now the giraffe. So you see that’s how we call it. So that giraffe in Dholuo, it has a compound name so you see, those are the things they used to bring to us. So-and I told her <English>that we, we were given disc when we spoke</English> mother tongue. So <English>she used to tell me that they were given disc when they sp oke Swahili, she was from Mombasa</English>. ",CS,SM: Quotation.,,,,,,
,,Fred (cont.),,"So you see I was also wondering “Wow!” (he laughs) “Why is it that we when we speak in mother tongue we are given a disc? So but she told me that to them that Swahili is now like their mothertongue. So <Swahili>unajua hawataki</Swahili>. So <Swahili>pia inalingana na ile sehemu mtu anatoka</Swahili> cuz they fear in those urban areas they know Swahili is most the language that you speak there so at least <Swahili>wanataka</Swahili> at least we <Swahili>pia ujue-muwe na lugha nyingine. Tofauti</Swahili> apart from this Kiswhaili. But I think that is really a very big problem. But <Swahili>hata unaona</Swahili> when results <Swahili>zilipotoka</Swahili>. We passed Kiswahili more then these people. Eh. So you see, we also passed that like-you see now there’s Kisumu in those our areas you find people pass Swahili then these people that they-<Swahili>watu</Swahili> whatever they always speak Kiswahili, those people they beat us in spoken Kiswahili but we beat them in written Swahili. Yea so I think [uncertain transcription] <Swahili>hakuna shida. Wacha tu ye aongee na hiyo maongezi yake nione itampeleka na acha mi niandike na nipite</Swahili>. (he laughs)","So you see I was also wondering “Wow!” (he laughs) “Why is it that we when we speak in mother tongue we are given a disc? So but she told me that to them that Swahili is now like their mothertongue. So <English>you know they don't want</English>. So <English>also it depends on the area a person comes from</English> cuz they fear in those urban areas they know Swahili is most the language that you speak there so at least <English>they want</English> at least we <English>also you should know-you should have another language. Different</English> apart from this Kiswhaili. But I think that is really a very big problem. But <English>even you see</English> when results <English>came out</English>. We passed Kiswahili more then these people. Eh. So you see, we also passed that like-you see now there’s Kisumu in those our areas you find people pass Swahili then these people that they-<English>people</English> whatever they always speak Kiswahili, those people they beat us in spoken Kiswahili but we beat them in written Swahili. Yea so I think [uncertain transcription] <English>there is no problem. Let them speak with that [good] speaking of theirs and let me write and pass</English>. (he laughs)",CS,SM: Quotation.,,,,,,
,,Interviewer,,I think that's where Sheng comes in.,I think that's where Sheng comes in.,,,,,,,,
,,Fred,,Yea exactly.,Yea exactly.,,,,,,,,
,,Interviewer,,"You know now the problem with urban areas nowadays it is the Sheng. So that even in the-the-their writing the Kiswahili, they are writing Kiswahili Sheng. ","You know now the problem with urban areas nowadays it is the Sheng. So that even in the-the-their writing the Kiswahili, they are writing Kiswahili Sheng. ",,,,,,,,
,,Fred,,<Swahili>Yea. Si wanaongezaongeza hizo Sheng.</Swahili>,<English>Yea. They are adding that Sheng.</English>,,,,,,,,
,,Interviewer,,Yea. That’s now the problems are different. So for them they’re affected by the Sheng that’s why then in written it becomes a problem.,Yea. That’s now the problems are different. So for them they’re affected by the Sheng that’s why then in written it becomes a problem.,,,,,,,,
,,Fred,,<Swahili>Inakuwa shida sana.</Swahili> ,<English>It becomes a big problem</English>. ,,,,,,,,
,Issues You Speak About with Your Friends,Interviewer,00:47:57mins,"What are some of the issues you speak with your friends, nowadays?","What are some of the issues you speak with your friends, nowadays?",,,,,,,,
,,Fred,,"Ooh that's so nice. With my friends, <Swahili>kwanza</Swahili> mostly-you see <Swahili>pia inalingana</Swahili> which friends do I have like let’s say most in our room, when we speak I have friends who like ball. <Swahili>Si unajua tukiwa pale pamoja tulikuwa tunazungumzia</Swahili> ""Oh arsenal wanas""-<Swahili>kama [uncertain transcription] amefanyiwa nini</Swahili>, then again when the-now let’s say you have some other friends that those that too intimate that you are close to. <Swahili>Sasa unajua utazungumza k-unaona demu fulani mahali wewe, eh?</Swahili> (he laughs) So you also speak so many things.","Ooh that's so nice. With my friends, <English>first</English> mostly-you see <English>also it depends</English> which friends do I have like let’s say most in our room, when we speak I have friends who like ball. <English>So you know when we are there together we were talking about</English> ""Oh arsenal wanas""-<English>if [uncertain transcription] has had something done to them</English>, then again when the-now let’s say you have some other friends that those that too intimate that you are close to. <English>Now you know you will speak-you see a certain girl somewhere, eh?</English> (he laughs) So you also speak so many things. ",CS,Unmarked.,,,,,,
,,Fred (cont.),,"Like again in our room we also have a brother who is saved so most <Swahili>utapata ye akikuja</Swahili> room <Swahili>atakuwa anatuongelesha kuhusu uokovu ati nyinyi</Swahili> we are saved, the lord is coming and even though you oppose it, sometimes you question you question and you see when you start questioning he stops and he gets angry <Swahili>na anatoka njee</Swahili>. (he laughs heartily). So mostly, mostly <Swahili>si kuwa tuanona</Swahili> mostly medium like me, me sometimes I like speaking about politics. <Swahili label='elaboration'>Mimi napenda siasa</Swahili label='elaboration'>. I-I defend [uncertain transcription] that is <Swahili>nikisikia</Swahili> someone has negative attitudes towards him I always [uncertain transcription] now to give me your views, why do you think he is not the right man? <Swahili>Kisha akaniambia [uncertain transcription] nimwambie zangu</Swahili> then we see.  But we never come to terms, I always walk out. (he laughs heartily) Because when it’s too much-<Swahili>kama nikiona ni</Swahili> too much <Swahili>sasa siwezi sitaki mimi huwa natoka.</Swahili>","Like again in our room we also have a brother who is saved so most <English>you find when he comes into the</English> room <English>he will be speaking to us about being saved, that you guys</English> we are saved, the lord is coming and even though you oppose it, sometimes you question you question and you see when you start questioning he stops and he gets angry <English>and he goes outside</English>. (he laughs heartily). So mostly, mostly <English>we see</English> mostly medium like me, me sometimes I like speaking about politics. <English>Me I very much like politics</English>. I-I defend [uncertain transcription] that is <English>if I hear</English> someone has negative attitudes towards him I always [uncertain transcription] now to give me your views, why do you think he is not the right man? <English>Then if s/he tells me [uncertain transcription] to tell them mine</English> then we see.  But we never come to terms, I always walk out. (he laughs heartily) Because when it’s too much-<English>if I see it is</English> too much <English>now I can't. I dont' want, I usually walk out.</English>",CS,SM: Elaboration.,,,,,,
,,Interviewer,,"Mmm, <Swahili>unatoka</Swahili>. What about female friends?","Mmm, <English>you leave</English>. What about female friends?",CS,First time interviewer uses Swahili.,,,,,,
,,Fred,,Now the female friends =,Now the female friends =,,,,,,,,
,,Interviewer,,Cuz I think sometimes there’s always additions so what do you think when you talk with your male friends and female friends?,Cuz I think sometimes there’s always additions so what do you think when you talk with your male friends and female friends?,,,,,,,,
